167676-Henrique Bento-9055.94
365082-Branco Saraba-1265.65
573594-Antonio Castelo-13547.21
73684-Anfnia Seixas-9010.19
411472-Odete Vasques-8415.52
176962-Adelino Barra-20845.04
180830-Fulvio Villegas-19359.86
882845-Armanda Amorim-2784.14
568670-Camila Gabeira-11772.57
184183-Moaci Mendoa-19549.47
11874-Antonio Castelo-5606.31
595624-Micaela Chavez-6159.96
728094-Judite Damasceno-19245.69
322157-Silvio Mata-8471.59
273466-Almor Caiado-10105.71
958737-Daniel Vieyra-20467.48
545038-Daniel Vieyra-18154.45
302436-Filomena Barrios-6018.44
891548-Almor Caiado-13654.13
925966-Taercio Mafra-7641.13
918932-Lurdes Cotrim-9021.25
22395-Manuel Capiperibe-32.37
174061-Leonidas Mafra-7919.65
78967-Ermelinda Quintela-7972.88
486054-Tarrataca Soares-8325.61
961557-Judite Damasceno-330.36
973234-Almerinda Palmeira-15285.81
454859-Ubaldo Mainha-20598.84
383154-Antonio Castelo-5172.91
52457-Anfnia Seixas-14682.17
701104-Emiliana Foquio-6446.53
980417-Sara Lameiras-10996.75
255480-Danilo Olaio-8123.66
616238-Quintino Alcantara-11374.44
136375-Flor Portella-8284.47
743716-Zungela Ipiranga-7269.25
615223-Fulvio Villegas-7698.98
931725-Delfim Higuera-7458.69
608773-Letedcia Gago-9332.52
215036-Andreia Moita-3618.21
934697-Silvio Mata-9865.22
779631-Manuel Capiperibe-12205.03
378166-Almor Caiado-16797.58
425692-Liana Cardim-21413.74
277070-Oliveira Carmona-13050.27
205766-Fulvio Villegas-1812.87
654166-Honorina Lira-8169.02
716363-Cassandra Varejo-7323.51
662091-Tibofarcio Camacho-5294.76
899248-Odete Vasques-15736.91
870154-Anind Zarco-3341.42
10092-Antonio Viegas-20079.21
825106-Flor Portella-1558.16
5609-Basilio Pedroso-20122.42
146920-Augusta Paio-19320.35
735094-Dulce Froes-7477.57
248040-Nuno Balsemeo-6399.28
175343-Estanislau Beserra-9896.44
488215-Regina Barcellos-17093.06
537106-Antonio Viegas-11687.22
923529-Ermelinda Quintela-8361.08
832237-Guaraci Damasceno-13561.18
759999-Cleusa Goes-16809.43
962295-Gaudancio Fiees-4754.65
55363-Telma Villalobos-10246.12
175579-Adelina Quadros-20093.47
583010-Delfina Perdigon-20091.12
409233-Odilia Camello-17938.03
585972-Jonatas Felgueiras-21092.92
238352-Tibofarcio Camacho-17413.45
97762-Rodolfo Paz-10517.85
615251-Artur Grillo-10271.34
54099-Judite Damasceno-7404.10
308823-Almerinda Palmeira-18713.72
321469-Odete Vasques-1189.44
885459-Spnia ou Sonia Guerreiro-10831.20
722912-Taercio Mafra-6502.19
971641-Ximena Castilho-17846.28
380714-Artur Grillo-9237.30
612222-Telma Villalobos-7444.85
81765-Ubaldo Mainha-6730.99
659498-Feledcia Peassego-10437.14
355513-Spnia ou Sonia Guerreiro-17167.69
27619-Rodolfo Paz-7005.94
648721-Esperada Cardoso-74.32
398445-Danilo Olaio-15693.17
11884-Cleusa Goes-18390.40
253430-Anind Zarco-14565.28
814779-Marilda Leio-14114.25
667794-Oliveira Senchez-12655.54
898636-Henrique Bento-401.52
914483-Polibe Olivares-7188.11
63924-Jorgina Bogalho-3626.83
139664-Andreia Moita-6527.11
103997-Delfim Higuera-20643.59
12287-Anfnia Seixas-13272.74
40113-Judite Damasceno-4508.02
286837-Trajano Fagundes-14440.56
194397-Ximena Castilho-18058.71
832413-Cleusa Goes-14980.55
