781204-Manuel Capiperibe-7041.09
649687-Mercia Caeira-4640.03
615539-Ubaldo Mainha-12517.97
309779-Leonidas Mafra-5630.46
914773-Emedlio Pimentel-10803.00
400649-Letedcia Gago-6846.23
192923-Almor Caiado-1139.94
207939-Cleusa Goes-636.88
350648-Tibefarcio Colao-14999.99
315931-Almor Caiado-17604.12
726788-Artur Grillo-487.10
327550-Oliveira Carmona-7383.59
362269-Guaraci Damasceno-9539.75
569816-Leonidas Mafra-3878.01
230375-Emedlia Silvera-15657.16
340963-Elisa Themes-9736.33
141120-Angilica Galante-19938.26
200224-Leonidas Mafra-17665.50
387900-Urbano Rodrigues-16604.17
982144-Leonidas Mafra-15502.49
904847-Daniel Vieyra-1834.92
453313-Quintino Alcantara-19408.20
4539-Odete Vasques-15486.99
352586-Guida Juca-20962.68
263296-Fulvio Villegas-8660.15
474331-Urbano Rodrigues-9043.56
308565-Nuno Balsemeo-11134.97
653124-Sara Lameiras-10182.14
168882-Guida Juca-7031.18
716331-Ximena Castilho-1096.16
675789-Emiliana Foquio-200.38
344814-Odilia Camello-11384.91
373093-Elisa Themes-17814.96
892516-Antonio Viegas-10533.64
212864-Lurdes Cotrim-16646.28
765262-Polibe Olivares-4006.18
950358-Marilda Leio-934.43
477428-Oliveira Carmona-8570.96
70763-Tarrataca Soares-6077.82
597363-Guida Juca-8454.98
373161-Angelica Aranha-11831.74
157647-Quintiliano Sousa de Arronches-16695.19
762021-Estanislau Beserra-8954.08
97606-Estanislau Beserra-19623.01
701516-Sidfnio Frois-9630.30
320478-Micaela Chavez-16107.95
811806-Antonio Viegas-5842.62
316621-Regina Barcellos-20247.39
35147-Sofras Cuaresma-12563.26
871636-Odilia Bello-20869.24
324584-Ximena Castilho-17718.13
331542-Tarrataca Soares-4944.87
829471-Daniel Vieyra-1957.66
822910-Danilo Olaio-2768.63
213501-Urbano Rodrigues-6865.65
715486-Delfim Higuera-1434.02
868603-Branco Saraba-16992.13
948713-Silvio Mata-250.46
125294-Carminda Morais-4340.81
599931-Mercia Caeira-14819.53
88955-Delfina Garcia de Gondim-11307.94
751805-Emedlio Pimentel-15481.26
933294-Nuno Balsemeo-17249.55
39219-Leonidas Mafra-12952.94
962098-Manuel Capiperibe-13125.08
431146-Ximena Castilho-12937.40
695273-Tarrataca Soares-16396.08
221190-Almor Caiado-2960.73
2677-Marilda Leio-2677.15
626848-Armanda Amorim-148.31
691067-Flor Portella-3829.20
84847-Odete Vasques-4076.72
965835-Neuza Francia-17586.05
612405-Polibe Olivares-10361.61
122163-Ermelinda Quintela-2026.39
712978-Emedlio Pimentel-2210.70
188975-Silvio Mata-5547.66
911016-Jorgina Bogalho-17879.87
163019-Augusta Paio-16505.06
12835-Liana Cardim-13986.49
815747-Liana Cardim-9718.57
929043-Melinda Roserio-21419.41
167914-Augusta Paio-11084.24
394535-Silvio Mata-2145.52
915463-Angelica Aranha-18846.75
944200-Daniel Vieyra-3629.04
228936-Micaela Chavez-876.09
638274-Guaraci Damasceno-6105.20
120927-Angilica Galante-19566.83
318542-Camila Gabeira-2652.12
863754-Heleedsa Marins-13130.28
812813-Danilo Olaio-19359.57
433878-Estanislau Beserra-15346.41
692945-Antonio Viegas-18340.36
112883-Urbano Rodrigues-19819.52
172142-Lina Andrade-11434.12
301867-Honorina Lira-6121.57
197332-Leonidas Mafra-20277.96
596079-Ermelinda Quintela-13914.33
17138-Almor Caiado-11182.68
