55121-Moaci Mendoa-7095.55
145814-Rebeca Neto-13244.13
230088-Sidfnio Frois-12797.18
725702-Artur Grillo-13116.89
639510-Oliveira Senchez-1882.39
270109-Basilio Pedroso-5854.17
947932-Neeamia Arruda-7359.25
98547-Fulvio Villegas-17761.98
231711-Zungela Ipiranga-17159.13
327292-Flor Portella-9290.69
42802-Trajano Fagundes-1216.41
255268-Augusta Paio-23.03
902600-Nuno Balsemeo-9415.33
450036-Heleedsa Marins-20052.58
375903-Guaraci Damasceno-21378.98
782578-Polibe Olivares-15196.84
153947-Ermelinda Quintela-11651.49
61968-Elisa Themes-14302.47
802813-Danilo Olaio-7909.95
650664-Liana Cardim-9593.23
981208-Armanda Amorim-10763.65
383154-Edgar Carvalheiro-8521.37
198369-Feledcia Peassego-5735.56
247991-Almor Caiado-21090.06
502493-Polibe Olivares-14778.98
480040-Antonio Viegas-12331.97
391268-Polibe Olivares-6508.68
227305-Feledcia Peassego-7089.30
777638-Neeamia Arruda-20877.32
757417-Esperada Cardoso-1548.99
322628-Antonio Viegas-12198.81
12040-Judite Damasceno-16972.64
4173-Zulmira Becerra-7639.78
45466-Domingos Pas-18472.27
861621-Camila Gabeira-19637.29
92149-Sidfnio Frois-13017.25
7159-Adelino Barra-4466.33
587287-Emiliana Foquio-1343.77
931080-Edgar Carvalheiro-21411.54
270250-Taercio Mafra-17404.28
932088-Basilio Pedroso-20087.51
475750-Feledcia Peassego-9202.79
672856-Esperada Cardoso-6248.00
909654-Delfim Higuera-20638.45
185237-Anfnia Seixas-8002.23
359155-Dulce Froes-11193.15
246691-Odilia Camello-2458.39
1792-Odilia Bello-14924.26
202778-Manuel Capiperibe-19943.57
136110-Cassandra Varejo-3951.44
485156-Angilica Galante-19490.76
714772-Silvio Mata-12900.68
724465-Esperada Cardoso-14177.41
712604-Anind Zarco-7581.67
443531-Zungela Ipiranga-14203.52
419741-Tibefarcio Colao-5872.27
637624-Fulvio Villegas-16394.74
488450-Ermelinda Quintela-9329.92
715874-Letedcia Gago-13241.95
613888-Edgar Carvalheiro-6058.48
939909-Ubaldo Mainha-10803.33
49268-Anind Zarco-18200.47
437654-Domingos Pas-2272.88
625592-Angilica Galante-13610.01
691252-Odilia Bello-6259.61
463551-Trajano Fagundes-21333.80
583696-Jonatas Felgueiras-7425.34
26141-Armanda Amorim-11950.23
410878-Ximena Castilho-14777.39
668987-Trajano Fagundes-15843.53
70719-Urbano Rodrigues-11078.09
64514-Odilia Bello-20568.58
642475-Artur Grillo-10568.12
961105-Liana Cardim-8799.54
962764-Eurico Siqueira-14426.45
316337-Manuel Capiperibe-13976.25
413682-Anfnia Seixas-18642.09
985138-Andreia Moita-9407.51
65202-Delfina Garcia de Gondim-1196.79
856652-Eurico Siqueira-13953.48
979245-Lina Andrade-8679.35
467193-Adelino Barra-4865.16
2566-Guaraci Damasceno-15411.58
826180-Silvio Mata-11546.36
166991-Delfina Garcia de Gondim-851.15
468532-Oliveira Carmona-19004.31
666894-Melinda Roserio-7453.61
399703-Zungela Ipiranga-4068.63
671761-Armanda Amorim-18179.28
198941-Micaela Chavez-20077.84
78781-Ermelinda Quintela-15822.80
283894-Oliveira Senchez-16217.47
863547-Feledcia Peassego-17987.50
255394-Melinda Roserio-1930.92
117732-Honorina Lira-3132.59
141813-Polibe Olivares-6377.28
791187-Silvio Mata-11523.95
165904-Emedlia Silvera-4523.11
292103-Estanislau Beserra-18799.82
613368-Taercio Mafra-4706.98
