988200-Tibefarcio Colao-4417.31
372133-Adelina Quadros-17560.67
584054-Cleusa Goes-15501.16
604879-Silvio Mata-13262.87
589203-Silvio Mata-13879.83
58059-Dulce Froes-14499.94
813329-Elisa Themes-14071.79
258036-Aludsio Sosa-750.96
596429-Neeamia Arruda-15707.66
285760-Dulce Froes-14058.63
230594-Liana Cardim-14598.51
857786-Polibe Olivares-9787.40
514138-Zulmira Becerra-19273.24
217862-Armindo Castalo-8444.45
600100-Oliveira Carmona-4135.51
782786-Dulce Froes-2761.25
466070-Branco Saraba-7859.38
917903-Tibefarcio Colao-15581.96
284159-Angelica Aranha-993.09
336880-Taercio Mafra-19315.95
58964-Rodolfo Paz-12863.42
511575-Almerinda Palmeira-8477.16
547903-Delfina Perdigon-15752.30
700401-Emedlio Pimentel-3989.65
656115-Heleedsa Marins-8505.65
111341-Clara Alcantara-17773.47
77224-Cleusa Goes-3843.30
221942-Artur Grillo-2617.64
462734-Emiliana Foquio-18440.48
985892-Moaci Mendoa-12029.01
372286-Tibefarcio Colao-534.77
126468-Anind Zarco-9849.88
136922-Manuel Capiperibe-14585.36
987704-Rebeca Neto-8767.53
283692-Ximena Castilho-5659.25
130441-Jorgina Bogalho-19140.37
102363-Rebeca Neto-20761.14
529139-Lina Andrade-3118.52
152454-Joaquim Rufino-9913.15
85088-Quintiliano Sousa de Arronches-13903.01
645506-Moaci Mendoa-7671.90
547950-Domingos Pas-5818.32
166558-Heleedsa Marins-18129.69
531820-Nuno Balsemeo-20929.57
861600-Letedcia Gago-1187.57
272349-Esperada Cardoso-5988.88
30502-Flamednia Leiria-16619.90
634833-Filomena Barrios-19465.19
3245-Clarindo Areosa-8631.88
419897-Guida Juca-6587.89
254375-Lina Andrade-11174.35
81993-Tibefarcio Colao-13779.83
381624-Zungela Ipiranga-1406.66
250225-Anfnia Seixas-11281.97
355495-Armanda Amorim-4445.75
902605-Jonatas Felgueiras-10878.48
2895-Augusta Paio-5403.95
733590-Artur Grillo-13340.29
316632-Mercia Caeira-15830.33
731107-Armanda Amorim-9839.69
446555-Antonio Castelo-7397.40
351616-Armanda Amorim-9038.22
605460-Odete Vasques-3137.20
828659-Almor Caiado-4279.70
41621-Emiliana Foquio-21233.25
11685-Augusta Paio-16707.44
352941-Adelino Barra-9842.64
716808-Neeamia Arruda-21399.97
116075-Elisa Themes-11548.30
703194-Ubaldo Mainha-11675.61
79607-Emedlio Pimentel-14210.08
407170-Carminda Morais-5348.76
717483-Quintiliano Sousa de Arronches-12384.81
209806-Lurdes Cotrim-10498.26
899609-Trajano Fagundes-20618.68
164844-Rodolfo Paz-983.96
794211-Branco Saraba-532.65
818212-Filomena Barrios-14409.82
871681-Adelina Quadros-19130.98
990567-Basilio Pedroso-1853.18
78414-Emedlio Pimentel-12113.97
905951-Polibe Olivares-18138.04
555170-Daniel Vieyra-12230.38
440399-Ermelinda Quintela-17272.48
295513-Nuno Balsemeo-1596.64
992358-Tabalipa Duarte-12598.29
949891-Zungela Ipiranga-18206.23
171008-Camila Gabeira-2349.58
905651-Micaela Chavez-21318.29
986803-Angelica Aranha-5043.36
629219-Angelica Aranha-6314.15
795808-Polibe Olivares-11053.21
838184-Domingos Pas-6823.92
878161-Filomena Barrios-18238.33
744398-Marilda Leio-6626.44
994868-Rodolfo Paz-14696.37
641256-Anfnia Seixas-16205.87
552855-Henrique Bento-20997.58
962826-Daniel Vieyra-7521.80
987243-Moaci Mendoa-8801.67
