291010-Almor Caiado-20859.33
128843-Emedlia Silvera-836.96
322713-Lina Andrade-9769.84
777300-Cleusa Goes-5371.51
494259-Judite Damasceno-15969.17
159541-Liana Cardim-9484.20
845984-Odilia Bello-20547.21
564774-Judite Damasceno-8181.91
98071-Clarindo Areosa-7116.46
233420-Nuno Balsemeo-3041.45
375054-Antonio Castelo-16424.37
886457-Flor Portella-12920.82
225592-Jonatas Felgueiras-2069.21
301904-Leonidas Mafra-5026.98
738028-Eurico Siqueira-16021.92
820983-Odete Vasques-12868.68
965994-Liana Cardim-14207.14
772867-Regina Barcellos-17702.79
608873-Sara Lameiras-15928.93
275496-Taercio Mafra-16121.27
710266-Mercia Caeira-2770.18
594477-Emedlio Pimentel-16289.05
174921-Camila Gabeira-10846.46
255830-Adelina Quadros-2164.65
487740-Trajano Fagundes-17022.03
636780-Delfim Higuera-14365.40
721951-Zulmira Becerra-20045.06
44362-Flamednia Leiria-10937.95
73895-Antonio Castelo-18884.04
232778-Guida Juca-7891.96
53424-Tibofarcio Camacho-20759.06
826843-Flamednia Leiria-13920.17
681880-Estanislau Beserra-9687.08
457598-Estanislau Beserra-17829.64
447651-Cassandra Varejo-769.68
629944-Sara Lameiras-17426.05
196724-Trajano Fagundes-12858.43
477622-Clara Alcantara-7614.04
70117-Cleusa Goes-9874.78
555928-Clara Alcantara-5282.27
684829-Esperada Cardoso-18352.81
831872-Sidfnio Frois-1086.24
883516-Honorina Lira-9353.06
614407-Adelina Quadros-2272.80
293747-Tarrataca Soares-6347.27
692267-Antonio Viegas-16123.57
147302-Romo Paranage-1520.70
624848-Celeste Duarte-19695.48
897770-Almor Caiado-2451.34
91295-Augusta Paio-8666.90
480917-Almor Caiado-11513.75
809608-Emedlia Silvera-13762.07
155492-Zulmira Becerra-10226.07
726195-Lina Andrade-11752.21
261195-Odilia Camello-20505.15
764584-Sara Lameiras-10557.24
905846-Basilio Pedroso-17748.71
374228-Cleusa Goes-19174.96
279502-Guida Juca-4299.10
146505-Adelino Barra-13480.01
757073-Emedlia Silvera-11659.99
164628-Filomena Barrios-19598.08
196015-Melinda Roserio-8264.80
533114-Gaudancio Fiees-8822.06
149874-Oliveira Senchez-17624.67
10300-Odete Vasques-13967.48
227983-Clara Alcantara-15276.54
32351-Cassandra Varejo-12935.45
384675-Tarrataca Soares-14558.24
387776-Andreia Moita-8544.87
564877-Estanislau Beserra-177.61
149865-Edgar Carvalheiro-7809.25
941907-Camila Gabeira-11051.21
340871-Henrique Bento-19256.54
993870-Quintino Alcantara-13223.21
161945-Tarrataca Soares-20773.31
53717-Zungela Ipiranga-15080.75
849191-Tarrataca Soares-19141.08
140511-Delfina Perdigon-9700.08
341801-Quintino Alcantara-10683.96
60706-Adelino Barra-9284.78
294497-Joaquim Rufino-17016.27
336430-Nuno Balsemeo-4690.86
374700-Honorina Lira-4009.43
135502-Antonio Viegas-5249.37
363680-Neeamia Arruda-7440.99
856522-Marilda Leio-21141.53
3521-Anind Zarco-21150.02
211610-Delfina Perdigon-5166.58
760291-Quintino Alcantara-20440.00
796069-Andreia Moita-16025.77
108722-Guida Juca-3583.88
830174-Zungela Ipiranga-2712.41
189145-Odilia Camello-201.32
718748-Branco Saraba-4872.68
85210-Leonidas Mafra-12876.31
782479-Branco Saraba-16704.88
587594-Moaci Mendoa-10160.08
500202-Delfim Higuera-6177.36
421332-Feledcia Peassego-19314.96
255110-Artur Grillo-15168.08
82767-Sidfnio Frois-15389.17
537816-Emedlio Pimentel-6312.63
594867-Eurico Siqueira-20464.53
594792-Gaudancio Fiees-12676.88
531461-Sofras Cuaresma-17647.73
566819-Gaudancio Fiees-13200.72
270936-Delfina Garcia de Gondim-14416.59
493003-Odilia Bello-18961.60
889882-Liana Cardim-15060.97
287024-Neuza Francia-13398.69
294190-Zungela Ipiranga-1784.68
173174-Aludsio Sosa-18710.06
809462-Angilica Galante-4441.17
61402-Anfnia Seixas-5937.12
97200-Nuno Balsemeo-6972.43
764186-Armindo Castalo-14988.10
435232-Honorina Lira-8175.97
630213-Tibofarcio Camacho-7686.07
560737-Marilda Leio-18684.96
503449-Heleedsa Marins-18663.00
254417-Almor Caiado-2171.10
955068-Daniel Vieyra-15742.83
402872-Artur Grillo-19140.93
819679-Ubaldo Mainha-12566.71
956941-Tarrataca Soares-892.84
350811-Honorina Lira-18470.49
849176-Jorgina Bogalho-17580.00
6927-Leonidas Mafra-8381.47
840618-Ximena Castilho-18527.07
287933-Armindo Castalo-2907.27
603983-Camila Gabeira-19639.82
904238-Henrique Bento-19689.37
210164-Flamednia Leiria-9368.56
149330-Estanislau Beserra-9141.92
283826-Spnia ou Sonia Guerreiro-10211.49
694167-Odilia Camello-8750.16
398118-Flamednia Leiria-17958.65
732023-Delfim Higuera-9303.89
156181-Adelina Quadros-1747.45
109531-Clara Alcantara-10350.33
362744-Armindo Castalo-5561.54
726362-Odilia Bello-10640.58
406264-Jussara Varanda-1347.85
179208-Camila Gabeira-3599.34
622947-Clara Alcantara-1857.34
867386-Feledcia Peassego-3094.28
160359-Ermelinda Quintela-823.43
486154-Lina Andrade-3220.75
442281-Jorgina Bogalho-17972.31
138533-Edgar Carvalheiro-20813.40
562007-Taercio Mafra-8932.20
967120-Ubaldo Mainha-5974.62
341644-Antonio Castelo-6208.68
572100-Antonio Viegas-7300.48
994518-Emedlia Silvera-341.87
82193-Delfina Garcia de Gondim-7700.54
702286-Tibofarcio Camacho-4897.31
187623-Quintiliano Sousa de Arronches-9512.17
61483-Ximena Castilho-8451.76
197189-Guida Juca-20243.14
366321-Flamednia Leiria-4843.93
205568-Andreia Moita-3368.76
586463-Rebeca Neto-14032.18
268226-Lurdes Cotrim-3253.06
400189-Filomena Barrios-1648.17
749824-Lurdes Cotrim-19428.99
527652-Estanislau Beserra-921.18
164495-Odete Vasques-7033.06
359673-Tarrataca Soares-4118.83
302070-Feledcia Peassego-15400.81
617571-Adelina Quadros-8279.63
152566-Dulce Froes-9791.69
149771-Liana Cardim-9102.72
15450-Spnia ou Sonia Guerreiro-7560.56
445163-Silvio Mata-8764.57
545505-Delfina Perdigon-14572.06
216566-Liana Cardim-6602.50
135057-Armindo Castalo-7154.15
754429-Almerinda Palmeira-19447.75
66018-Edgar Carvalheiro-18505.93
724711-Sara Lameiras-3667.27
259811-Jussara Varanda-5338.79
671143-Tarrataca Soares-8020.29
816702-Judite Damasceno-17920.45
784942-Jonatas Felgueiras-20864.90
54028-Emedlia Silvera-17195.52
738857-Moaci Mendoa-14612.85
541717-Tibefarcio Colao-18014.20
166582-Flor Portella-15436.90
674936-Camila Gabeira-15332.73
263968-Marilda Leio-16469.97
332703-Danilo Olaio-2217.74
86710-Anfnia Seixas-18894.45
596100-Ubaldo Mainha-16107.78
678154-Flor Portella-18585.63
733063-Henrique Bento-6501.33
994298-Clarindo Areosa-20758.72
22216-Angelica Aranha-19329.30
464960-Neeamia Arruda-9246.13
682204-Honorina Lira-16102.88
525074-Ximena Castilho-12350.68
94789-Judite Damasceno-6269.17
543916-Angelica Aranha-7650.04
22225-Armanda Amorim-4121.17
61520-Lurdes Cotrim-3243.11
623316-Ermelinda Quintela-13780.44
736767-Clarindo Areosa-7355.55
134790-Quintino Alcantara-12045.77
985148-Augusta Paio-13530.42
525918-Eurico Siqueira-9782.40
855821-Sofras Cuaresma-19307.66
699570-Emiliana Foquio-2823.77
316976-Trajano Fagundes-8619.21
379182-Jonatas Felgueiras-1764.59
251947-Odilia Camello-180.37
687508-Judite Damasceno-3256.60
772597-Emedlio Pimentel-6713.97
729721-Sara Lameiras-3690.48
649651-Filomena Barrios-12200.33
182619-Andreia Moita-4730.76
519911-Ubaldo Mainha-18089.31
925497-Oliveira Senchez-4321.47
248431-Clara Alcantara-8594.64
91776-Ubaldo Mainha-6853.60
51632-Feledcia Peassego-15206.12
838857-Almor Caiado-9288.16
670163-Edgar Carvalheiro-17075.88
56200-Jussara Varanda-16378.34
535535-Oliveira Senchez-5050.00
56777-Micaela Chavez-13811.83
