788825-Zungela Ipiranga-855.27
117016-Silvio Mata-10222.11
855220-Lurdes Cotrim-4163.19
823248-Quintiliano Sousa de Arronches-1882.79
247088-Oliveira Carmona-5935.96
245351-Basilio Pedroso-21386.63
270934-Anfnia Seixas-15497.45
969332-Edgar Carvalheiro-16770.81
742371-Zulmira Becerra-20514.78
982683-Leonidas Mafra-285.88
259158-Andreia Moita-14663.77
375858-Tarrataca Soares-8110.10
465796-Urbano Rodrigues-393.82
297057-Silvio Mata-17052.05
105835-Manuel Capiperibe-16799.68
738161-Angilica Galante-6917.30
450778-Leonidas Mafra-7990.01
271039-Fulvio Villegas-7544.87
820871-Telma Villalobos-6087.45
282869-Adelina Quadros-14807.28
394779-Sara Lameiras-1995.04
517384-Silvio Mata-19098.79
367125-Anfnia Seixas-19153.45
535622-Regina Barcellos-20756.42
499860-Flamednia Leiria-19792.64
543422-Letedcia Gago-5315.19
282581-Letedcia Gago-19389.70
766539-Tarrataca Soares-1297.57
847685-Flor Portella-5595.78
923627-Emedlia Silvera-19468.61
587427-Sofras Cuaresma-417.72
144262-Flor Portella-13722.89
711148-Adelina Quadros-5181.73
659657-Artur Grillo-432.25
329389-Artur Grillo-1357.25
967432-Polibe Olivares-13892.68
851841-Neuza Francia-16475.51
253550-Zungela Ipiranga-3128.34
625539-Adelino Barra-12096.81
259236-Cleusa Goes-20946.05
137323-Danilo Olaio-8487.09
518960-Micaela Chavez-10858.53
780005-Delfina Perdigon-14695.64
418957-Mercia Caeira-20392.24
216523-Micaela Chavez-2050.69
278538-Ermelinda Quintela-19420.37
375866-Tibofarcio Camacho-14994.05
442935-Sofras Cuaresma-18236.59
783486-Marilda Leio-15218.01
702040-Celeste Duarte-12025.76
997816-Liana Cardim-1992.30
65595-Angilica Galante-8587.49
422760-Jussara Varanda-7960.45
469141-Lurdes Cotrim-19264.64
224008-Letedcia Gago-20306.81
219925-Ermelinda Quintela-9404.75
314-Antonio Viegas-13348.51
331406-Romo Paranage-8578.11
496091-Zulmira Becerra-17865.94
858406-Adelino Barra-3858.13
341980-Delfina Garcia de Gondim-7498.10
534239-Basilio Pedroso-7728.76
95798-Armanda Amorim-18272.99
737805-Moaci Mendoa-1362.84
603567-Tibefarcio Colao-380.25
55176-Liana Cardim-16682.45
543713-Trajano Fagundes-21212.45
953723-Manuel Capiperibe-8970.93
538758-Nuno Balsemeo-4561.05
440708-Branco Saraba-20079.63
918809-Rodolfo Paz-12048.22
143090-Tibefarcio Colao-10428.72
599806-Antonio Castelo-4604.84
618018-Oliveira Senchez-9272.22
616685-Guaraci Damasceno-1873.42
812329-Flor Portella-5933.97
999840-Anind Zarco-19399.41
38734-Delfina Perdigon-14314.11
888296-Filomena Barrios-8914.66
848366-Armindo Castalo-18419.07
137336-Melinda Roserio-11903.42
236669-Leonidas Mafra-12834.85
211962-Henrique Bento-8326.01
2325-Zungela Ipiranga-6337.36
76901-Basilio Pedroso-4658.69
176048-Anind Zarco-2121.98
36045-Moaci Mendoa-8131.97
657205-Zungela Ipiranga-14562.36
370934-Telma Villalobos-8516.41
189676-Feledcia Peassego-7860.05
4541-Adelino Barra-16451.43
641157-Aludsio Sosa-20313.79
150115-Armanda Amorim-5701.08
659917-Flamednia Leiria-12361.10
392017-Liana Cardim-20181.87
466333-Jonatas Felgueiras-8068.79
454393-Taercio Mafra-14179.15
383559-Branco Saraba-16775.73
240258-Ermelinda Quintela-3354.60
563248-Delfina Garcia de Gondim-21426.50
825941-Judite Damasceno-5171.71
430795-Zulmira Becerra-9588.12
520899-Anind Zarco-2154.78
728763-Tibefarcio Colao-8951.38
672407-Delfina Garcia de Gondim-17775.30
484866-Micaela Chavez-9025.13
11175-Ubaldo Mainha-10109.67
734821-Romo Paranage-18953.51
694538-Aludsio Sosa-6921.07
811328-Judite Damasceno-4401.87
933556-Fulvio Villegas-8340.13
714910-Gaudancio Fiees-9164.44
392061-Marilda Leio-19709.64
693321-Ximena Castilho-5352.10
588313-Adelina Quadros-15378.82
702994-Tabalipa Duarte-11498.83
697059-Branco Saraba-17308.95
122907-Leonidas Mafra-19466.29
637741-Leonidas Mafra-11058.40
96145-Antonio Viegas-601.68
236851-Honorina Lira-17431.01
548049-Tabalipa Duarte-13573.33
187247-Oliveira Senchez-9342.41
788210-Quintino Alcantara-10439.34
43559-Emedlio Pimentel-7750.39
345311-Micaela Chavez-21457.42
159799-Neuza Francia-16679.55
457769-Trajano Fagundes-7595.95
106427-Jonatas Felgueiras-10982.32
378737-Zungela Ipiranga-8718.45
837947-Henrique Bento-755.98
826351-Marilda Leio-13741.46
742039-Esperada Cardoso-14313.33
654966-Emiliana Foquio-4626.38
777545-Guaraci Damasceno-15106.82
298533-Jussara Varanda-20580.27
702798-Oliveira Carmona-8597.03
517867-Adelina Quadros-10741.61
478560-Mercia Caeira-3017.84
795768-Sidfnio Frois-13821.62
280819-Jorgina Bogalho-4605.17
867269-Clara Alcantara-5183.43
302732-Spnia ou Sonia Guerreiro-3246.01
979270-Augusta Paio-18502.56
106556-Judite Damasceno-13355.50
789256-Aludsio Sosa-3183.65
214011-Judite Damasceno-20960.68
110585-Daniel Vieyra-19571.02
601885-Cleusa Goes-18480.97
842004-Armanda Amorim-7274.09
443441-Guaraci Damasceno-8026.90
126694-Emiliana Foquio-16695.57
472516-Antonio Castelo-3903.76
668156-Angilica Galante-468.72
985471-Adelina Quadros-16829.79
17077-Delfim Higuera-17787.68
591933-Aludsio Sosa-3324.98
869840-Adelina Quadros-11596.09
308565-Anind Zarco-7247.27
47241-Sidfnio Frois-1260.85
948253-Rebeca Neto-2355.29
365901-Ubaldo Mainha-11286.55
642887-Flamednia Leiria-20321.28
521250-Artur Grillo-823.12
172310-Taercio Mafra-368.14
373610-Delfina Perdigon-12588.31
940037-Polibe Olivares-15114.23
607093-Liana Cardim-16542.93
376293-Delfina Garcia de Gondim-6141.18
758901-Jorgina Bogalho-8401.65
67037-Carminda Morais-15671.14
65168-Dulce Froes-11079.96
136915-Liana Cardim-21286.39
68659-Flor Portella-6586.76
388725-Honorina Lira-6958.49
203671-Emedlio Pimentel-14282.22
302753-Angelica Aranha-10266.79
383629-Basilio Pedroso-15872.86
589588-Tibofarcio Camacho-7721.78
38868-Anind Zarco-4294.54
573473-Dulce Froes-12865.21
120492-Angelica Aranha-19985.86
355675-Neeamia Arruda-20877.23
718835-Romo Paranage-19443.08
394479-Andreia Moita-16152.13
884430-Telma Villalobos-6359.33
722118-Micaela Chavez-7852.36
499476-Romo Paranage-2481.36
569992-Urbano Rodrigues-1842.42
274936-Antonio Castelo-13182.80
145196-Melinda Roserio-16288.54
129027-Esperada Cardoso-13514.91
141386-Delfim Higuera-16148.46
792455-Delfim Higuera-1560.82
119837-Aludsio Sosa-13524.76
812194-Jorgina Bogalho-9458.77
243136-Angilica Galante-1951.15
352702-Telma Villalobos-6116.15
747984-Artur Grillo-17021.85
354332-Angelica Aranha-19334.60
897943-Clarindo Areosa-21456.05
478560-Sofras Cuaresma-17582.50
161350-Clarindo Areosa-18793.92
566877-Ubaldo Mainha-3427.00
312856-Guaraci Damasceno-21018.20
788012-Elisa Themes-14101.49
679666-Ermelinda Quintela-18433.92
323273-Camila Gabeira-1332.61
618816-Flor Portella-145.25
639530-Andreia Moita-1118.80
456988-Marilda Leio-8547.78
644663-Adelino Barra-13822.56
323049-Odilia Bello-15454.18
364172-Almor Caiado-12845.01
486867-Nuno Balsemeo-3963.30
601966-Edgar Carvalheiro-4961.18
593899-Romo Paranage-723.14
701137-Emiliana Foquio-20576.37
939507-Clara Alcantara-2577.72
362651-Filomena Barrios-12994.12
278209-Letedcia Gago-583.85
798672-Rodolfo Paz-3110.30
85773-Angelica Aranha-12613.53
280898-Lurdes Cotrim-2292.34
176501-Odete Vasques-16657.21
408771-Taercio Mafra-4808.39
306255-Emedlia Silvera-19154.33
112089-Almerinda Palmeira-18696.50
662623-Sidfnio Frois-9551.06
254897-Heleedsa Marins-8739.85
726891-Adelino Barra-14122.63
976549-Branco Saraba-4205.78
998782-Emiliana Foquio-18046.64
438588-Clarindo Areosa-10014.61
411901-Regina Barcellos-5011.54
198873-Angilica Galante-2580.79
103867-Elisa Themes-16823.86
839255-Ximena Castilho-1750.14
211957-Odilia Bello-1641.93
873493-Zulmira Becerra-16644.48
947042-Silvio Mata-4926.91
922296-Gaudancio Fiees-17986.68
411213-Dulce Froes-5221.83
769548-Augusta Paio-3561.38
361471-Almor Caiado-4375.50
190203-Marilda Leio-11627.48
857710-Dulce Froes-8803.69
474244-Tabalipa Duarte-18102.08
257293-Cassandra Varejo-17149.36
146365-Henrique Bento-8523.26
536815-Polibe Olivares-5217.90
190501-Henrique Bento-7817.12
938799-Angilica Galante-19431.23
351131-Aludsio Sosa-9724.09
741098-Almerinda Palmeira-2462.87
285201-Danilo Olaio-14304.77
424917-Branco Saraba-7108.51
950148-Augusta Paio-28.42
489336-Clara Alcantara-11760.99
221456-Clara Alcantara-8907.62
917759-Branco Saraba-208.15
305135-Lina Andrade-21260.05
876485-Branco Saraba-11844.60
630592-Celeste Duarte-11483.28
38748-Heleedsa Marins-8715.85
996503-Elisa Themes-8553.87
702729-Delfim Higuera-13578.12
777646-Branco Saraba-19137.62
93213-Joaquim Rufino-5507.68
345035-Joaquim Rufino-17279.89
439309-Carminda Morais-6674.23
806727-Eurico Siqueira-92.45
918639-Armindo Castalo-15521.21
153556-Basilio Pedroso-15232.68
797378-Clara Alcantara-2788.23
244279-Delfina Perdigon-4038.20
684464-Andreia Moita-9135.22
459291-Delfina Perdigon-5408.16
592060-Tarrataca Soares-10959.10
823712-Letedcia Gago-21462.55
333316-Sofras Cuaresma-2492.10
657688-Zungela Ipiranga-2215.33
987328-Honorina Lira-6974.52
293741-Urbano Rodrigues-14726.06
444410-Trajano Fagundes-13719.19
180432-Feledcia Peassego-6416.80
819713-Camila Gabeira-7123.65
270818-Trajano Fagundes-1473.40
247-Elisa Themes-10969.32
13688-Anind Zarco-4422.72
16245-Tibefarcio Colao-12216.06
442030-Jonatas Felgueiras-13082.63
628882-Liana Cardim-6807.67
936933-Nuno Balsemeo-5235.77
29481-Armanda Amorim-19850.21
945274-Elisa Themes-16417.18
680815-Camila Gabeira-3490.54
938833-Guaraci Damasceno-16123.25
529678-Tarrataca Soares-9028.42
546563-Flamednia Leiria-9188.55
818171-Micaela Chavez-12408.72
816516-Cleusa Goes-3888.30
831972-Augusta Paio-5194.59
815883-Guaraci Damasceno-10373.96
921805-Filomena Barrios-13184.25
947117-Cassandra Varejo-16413.71
168802-Armanda Amorim-2625.68
754973-Odilia Camello-2430.23
681272-Romo Paranage-21235.53
539761-Quintino Alcantara-5576.16
186856-Odilia Bello-19864.34
439522-Ximena Castilho-2167.67
471798-Almor Caiado-19125.98
271013-Ubaldo Mainha-13289.31
647260-Branco Saraba-20858.53
77654-Micaela Chavez-12603.16
226275-Delfina Garcia de Gondim-16414.85
429187-Quintiliano Sousa de Arronches-17942.40
473560-Letedcia Gago-18659.21
875994-Joaquim Rufino-8059.77
617473-Camila Gabeira-12041.64
263297-Adelino Barra-21346.04
739146-Angilica Galante-6105.92
157550-Ximena Castilho-16078.63
4497-Flor Portella-13550.26
276766-Lina Andrade-18371.04
919631-Rebeca Neto-4008.47
646612-Carminda Morais-16902.76
396541-Sidfnio Frois-8752.66
215450-Manuel Capiperibe-10061.42
649902-Flor Portella-8542.76
