230591-Liana Cardim-4850.04
913029-Anind Zarco-20663.33
913211-Manuel Capiperibe-19207.15
233931-Delfim Higuera-11504.54
830677-Ubaldo Mainha-17200.41
476293-Jussara Varanda-4222.67
113882-Armanda Amorim-1185.33
748518-Cleusa Goes-15759.01
488678-Anind Zarco-1480.71
440995-Basilio Pedroso-15281.74
568193-Fulvio Villegas-9939.21
10952-Estanislau Beserra-14788.34
196413-Melinda Roserio-11052.64
589927-Angilica Galante-19874.98
801155-Angilica Galante-12228.45
109602-Henrique Bento-5238.37
130057-Ermelinda Quintela-10909.51
342722-Neeamia Arruda-20347.00
143546-Branco Saraba-11097.05
687854-Liana Cardim-9546.62
85223-Fulvio Villegas-15462.30
970168-Anind Zarco-12707.58
220559-Silvio Mata-114.70
186123-Urbano Rodrigues-610.60
121582-Sara Lameiras-7968.61
614742-Basilio Pedroso-9739.71
374744-Sara Lameiras-20881.01
667881-Neuza Francia-5739.60
378702-Dulce Froes-1776.20
160271-Taercio Mafra-918.24
116031-Honorina Lira-7949.10
509276-Lina Andrade-6243.96
253036-Emiliana Foquio-16466.17
260522-Emedlia Silvera-14873.19
282019-Flor Portella-12969.57
664554-Almor Caiado-6480.88
884422-Odete Vasques-21104.63
571857-Manuel Capiperibe-15076.47
959025-Henrique Bento-4155.42
567309-Fulvio Villegas-11297.02
837703-Augusta Paio-8833.35
854754-Judite Damasceno-6703.60
145766-Aludsio Sosa-19696.13
907152-Delfina Perdigon-15913.90
728840-Ermelinda Quintela-15231.89
411984-Estanislau Beserra-8403.70
66187-Esperada Cardoso-667.70
854210-Nuno Balsemeo-2933.42
86072-Aludsio Sosa-14073.01
454375-Manuel Capiperibe-2233.85
646972-Honorina Lira-19912.23
265440-Cassandra Varejo-18145.94
763594-Odilia Camello-9642.56
394698-Jorgina Bogalho-15991.63
861227-Almor Caiado-16328.92
801117-Anind Zarco-18623.04
829108-Tabalipa Duarte-11138.86
836298-Daniel Vieyra-14757.41
6920-Estanislau Beserra-13743.43
203325-Marilda Leio-9873.14
134839-Filomena Barrios-4064.77
884791-Delfim Higuera-4267.42
27863-Rebeca Neto-16725.06
784389-Emedlio Pimentel-14954.17
931242-Edgar Carvalheiro-13827.95
299497-Armindo Castalo-4841.12
521006-Regina Barcellos-15949.41
29246-Antonio Viegas-3832.94
879723-Micaela Chavez-5043.01
547814-Taercio Mafra-2260.21
600829-Guida Juca-6781.55
876471-Taercio Mafra-5965.57
778551-Romo Paranage-6515.84
936482-Odilia Bello-6653.69
773770-Filomena Barrios-818.16
502903-Delfina Garcia de Gondim-4241.16
52216-Oliveira Senchez-3851.53
4248-Celeste Duarte-316.99
213211-Spnia ou Sonia Guerreiro-18045.79
765176-Domingos Pas-6686.43
147222-Armanda Amorim-11422.44
6323-Telma Villalobos-9216.36
607917-Rebeca Neto-18214.15
715600-Letedcia Gago-5108.68
273124-Delfina Perdigon-7366.42
625366-Henrique Bento-19841.44
89795-Quintino Alcantara-18207.13
528222-Almor Caiado-13602.34
744243-Aludsio Sosa-20784.47
261130-Carminda Morais-10547.28
314912-Marilda Leio-14238.76
524077-Sara Lameiras-14448.82
289767-Judite Damasceno-15444.90
156198-Anind Zarco-12477.22
391407-Edgar Carvalheiro-20499.95
926636-Antonio Castelo-10391.37
610438-Leonidas Mafra-8467.43
931116-Andreia Moita-9202.71
950620-Melinda Roserio-16430.15
65024-Zulmira Becerra-13717.93
