267837-Tibofarcio Camacho-11402.71
273417-Jonatas Felgueiras-16627.76
856431-Flamednia Leiria-1101.54
976430-Quintino Alcantara-9671.43
861924-Ximena Castilho-2570.90
151589-Angilica Galante-4978.13
561805-Anfnia Seixas-18646.12
874276-Adelina Quadros-4187.79
504787-Artur Grillo-2752.11
410155-Edgar Carvalheiro-4999.03
188892-Neeamia Arruda-12771.71
979635-Taercio Mafra-20024.44
234592-Sidfnio Frois-348.17
845187-Manuel Capiperibe-19717.93
507365-Flor Portella-14741.72
186762-Guaraci Damasceno-7338.40
485021-Danilo Olaio-17984.01
737931-Armanda Amorim-5667.92
211131-Leonidas Mafra-11652.97
987846-Cleusa Goes-13787.07
578278-Rebeca Neto-8424.12
956000-Honorina Lira-15953.92
109594-Judite Damasceno-13981.43
933830-Eurico Siqueira-18649.88
901045-Honorina Lira-4700.12
957989-Jussara Varanda-20611.98
827736-Armanda Amorim-2562.00
825463-Heleedsa Marins-12369.38
601675-Celeste Duarte-3456.65
105085-Adelino Barra-17896.53
995109-Odilia Camello-12527.48
88640-Edgar Carvalheiro-20227.04
626391-Emedlio Pimentel-14673.30
981146-Danilo Olaio-18442.63
645686-Romo Paranage-19731.64
998289-Jorgina Bogalho-21111.23
190544-Fulvio Villegas-6084.67
300608-Neuza Francia-14772.92
202757-Danilo Olaio-8414.10
918131-Rebeca Neto-11235.15
340532-Artur Grillo-6760.27
691557-Heleedsa Marins-7761.15
950841-Domingos Pas-12787.42
352977-Feledcia Peassego-712.39
259504-Gaudancio Fiees-12728.85
694138-Tibofarcio Camacho-20628.83
327291-Daniel Vieyra-10275.90
160336-Nuno Balsemeo-21128.91
447556-Taercio Mafra-15906.10
400083-Joaquim Rufino-6260.44
522114-Clarindo Areosa-5979.01
908280-Romo Paranage-2011.09
998229-Sofras Cuaresma-10310.60
934259-Emiliana Foquio-1909.29
650200-Nuno Balsemeo-16931.89
47098-Guaraci Damasceno-17128.83
82942-Cassandra Varejo-1637.27
101819-Almerinda Palmeira-15968.87
896490-Filomena Barrios-8068.51
134036-Basilio Pedroso-2867.67
886840-Clarindo Areosa-18262.89
666363-Esperada Cardoso-2357.14
561246-Guaraci Damasceno-18327.12
714231-Emiliana Foquio-16421.63
106466-Cleusa Goes-15083.29
899988-Andreia Moita-12568.93
93087-Quintino Alcantara-8514.92
876307-Estanislau Beserra-9005.94
66610-Jonatas Felgueiras-7340.07
383104-Lurdes Cotrim-11931.41
743920-Delfim Higuera-12540.28
522295-Danilo Olaio-15926.94
893434-Andreia Moita-8377.72
840881-Urbano Rodrigues-2680.02
717615-Estanislau Beserra-21021.09
299492-Regina Barcellos-11705.25
280649-Neuza Francia-16836.18
988379-Clarindo Areosa-3740.11
583018-Odilia Bello-15020.77
544827-Andreia Moita-2159.77
273888-Dulce Froes-14367.21
808667-Neeamia Arruda-14672.43
57445-Jonatas Felgueiras-5086.53
534803-Oliveira Senchez-17394.94
174999-Armanda Amorim-10557.28
177290-Ermelinda Quintela-1505.44
556070-Adelino Barra-7368.24
459690-Odilia Camello-8308.12
440913-Angelica Aranha-20293.96
461637-Flor Portella-8444.57
106843-Judite Damasceno-18577.31
296074-Liana Cardim-4530.56
695695-Zungela Ipiranga-11611.13
383304-Odilia Bello-15196.48
556779-Lina Andrade-10233.39
355292-Trajano Fagundes-11805.17
195181-Delfim Higuera-11005.89
169535-Tabalipa Duarte-16350.49
154660-Cassandra Varejo-15370.06
733518-Rebeca Neto-15404.68
