858840-Antonio Castelo-12417.98
161757-Artur Grillo-5924.13
589167-Flor Portella-8633.65
503890-Lurdes Cotrim-12853.63
786064-Ermelinda Quintela-19356.39
462883-Trajano Fagundes-13336.05
79512-Edgar Carvalheiro-4992.46
330324-Rebeca Neto-18274.22
191581-Tibofarcio Camacho-20790.35
608733-Regina Barcellos-2507.25
696748-Jonatas Felgueiras-12635.84
75511-Marilda Leio-17497.46
301277-Daniel Vieyra-19553.35
186474-Silvio Mata-14153.55
365035-Esperada Cardoso-1356.58
760524-Armanda Amorim-6281.21
702669-Tibefarcio Colao-19342.00
464401-Ubaldo Mainha-900.47
529533-Anfnia Seixas-10142.38
162176-Tabalipa Duarte-15188.47
700008-Lina Andrade-13960.60
35764-Ermelinda Quintela-10596.52
301079-Elisa Themes-2774.70
931605-Odete Vasques-15176.56
441743-Oliveira Carmona-13665.38
106933-Lurdes Cotrim-2638.15
376745-Armanda Amorim-12105.17
409089-Spnia ou Sonia Guerreiro-10324.98
863384-Ubaldo Mainha-16650.28
385045-Sofras Cuaresma-18421.90
115734-Delfim Higuera-19848.90
946994-Elisa Themes-11874.42
40583-Basilio Pedroso-422.59
985668-Odilia Camello-15601.91
802491-Neeamia Arruda-5841.49
760766-Tarrataca Soares-11972.56
356079-Domingos Pas-4381.49
667943-Odilia Camello-9535.58
26682-Adelino Barra-2759.38
623877-Angelica Aranha-4843.23
584615-Carminda Morais-18294.39
605642-Urbano Rodrigues-12799.02
311527-Andreia Moita-5854.59
970843-Odete Vasques-17014.45
802768-Regina Barcellos-17482.47
172337-Oliveira Carmona-8615.24
872778-Armindo Castalo-18168.80
90409-Trajano Fagundes-1060.64
322334-Letedcia Gago-1140.91
98088-Mercia Caeira-7077.15
63494-Manuel Capiperibe-12583.00
434913-Joaquim Rufino-10144.22
764461-Delfina Garcia de Gondim-10357.33
353219-Celeste Duarte-15997.04
649142-Letedcia Gago-20765.07
93975-Antonio Castelo-16851.96
794649-Flor Portella-6895.85
160615-Cassandra Varejo-3001.91
84608-Quintino Alcantara-15495.14
946366-Armindo Castalo-18076.12
130933-Basilio Pedroso-7691.92
786747-Lurdes Cotrim-4191.43
344451-Elisa Themes-19449.07
360980-Adelino Barra-10937.77
338353-Esperada Cardoso-15734.26
79062-Melinda Roserio-18205.20
343873-Neuza Francia-8848.31
5217-Emiliana Foquio-13519.92
731037-Silvio Mata-20280.76
548015-Danilo Olaio-10415.39
80028-Lina Andrade-10241.86
944396-Antonio Castelo-16579.73
714057-Odete Vasques-20753.18
733243-Jussara Varanda-7141.95
972796-Rodolfo Paz-14235.33
719134-Romo Paranage-16566.12
