361990-Emiliana Foquio-13774.24
177346-Feledcia Peassego-1687.76
304067-Sofras Cuaresma-6211.12
526830-Nuno Balsemeo-8927.51
365785-Basilio Pedroso-17457.50
476286-Liana Cardim-11923.39
517115-Neeamia Arruda-2473.91
380392-Estanislau Beserra-17743.27
681068-Jonatas Felgueiras-5196.26
901283-Joaquim Rufino-21370.46
292846-Edgar Carvalheiro-18789.25
684632-Eurico Siqueira-3696.19
571073-Marilda Leio-11759.23
86410-Regina Barcellos-10439.66
366181-Marilda Leio-17543.32
610549-Neuza Francia-5073.24
900460-Romo Paranage-4023.58
983029-Silvio Mata-7507.38
520768-Emedlia Silvera-12714.19
796125-Andreia Moita-16223.20
917229-Camila Gabeira-10401.30
462461-Polibe Olivares-15948.14
300454-Judite Damasceno-11969.02
250969-Lurdes Cotrim-13809.88
952449-Angelica Aranha-12628.71
920213-Esperada Cardoso-2399.98
226581-Tabalipa Duarte-2848.98
440316-Rebeca Neto-11348.81
496954-Telma Villalobos-21074.02
663489-Edgar Carvalheiro-12397.14
909247-Cleusa Goes-20336.31
596217-Urbano Rodrigues-15716.10
385393-Fulvio Villegas-224.27
129899-Aludsio Sosa-1546.78
840213-Fulvio Villegas-7136.31
882119-Silvio Mata-12975.51
764609-Eurico Siqueira-9512.94
4798-Odilia Bello-20697.34
499429-Cleusa Goes-21322.31
413219-Jorgina Bogalho-16584.11
647451-Antonio Castelo-6378.36
44027-Dulce Froes-9494.33
254875-Letedcia Gago-8153.34
367420-Jorgina Bogalho-14114.64
984424-Henrique Bento-16343.04
988421-Anind Zarco-10907.03
989960-Honorina Lira-2879.84
889500-Antonio Castelo-17759.89
186424-Daniel Vieyra-20104.88
885148-Delfina Garcia de Gondim-1154.18
814501-Sara Lameiras-20080.65
891713-Almerinda Palmeira-1386.26
95596-Carminda Morais-3968.80
726606-Sidfnio Frois-18322.48
35711-Armindo Castalo-15307.49
975361-Artur Grillo-7552.53
982121-Daniel Vieyra-18932.43
282572-Elisa Themes-9346.49
833383-Clarindo Areosa-11618.36
131508-Dulce Froes-3872.37
356789-Flamednia Leiria-19980.52
934824-Rodolfo Paz-15854.60
429126-Guaraci Damasceno-7210.72
290498-Edgar Carvalheiro-15747.98
99782-Filomena Barrios-63.50
246247-Quintino Alcantara-10243.26
95662-Celeste Duarte-16313.08
928987-Neeamia Arruda-6311.07
267372-Telma Villalobos-934.56
610247-Marilda Leio-31.04
370831-Ermelinda Quintela-20184.61
712926-Daniel Vieyra-3349.12
680559-Armindo Castalo-1968.58
528606-Jussara Varanda-2721.48
140839-Lina Andrade-19722.48
18033-Quintino Alcantara-4890.11
148611-Branco Saraba-12081.06
38885-Delfina Garcia de Gondim-1225.52
578354-Oliveira Senchez-11558.19
469796-Sara Lameiras-20234.29
598359-Dulce Froes-6933.16
294897-Aludsio Sosa-13210.29
967474-Jussara Varanda-18977.10
711687-Aludsio Sosa-6727.55
770494-Spnia ou Sonia Guerreiro-16258.96
179606-Branco Saraba-19929.14
914384-Manuel Capiperibe-3815.79
473301-Trajano Fagundes-8326.18
655281-Heleedsa Marins-21331.96
777357-Adelino Barra-11501.82
520092-Spnia ou Sonia Guerreiro-4182.97
723923-Guida Juca-19355.92
840027-Cassandra Varejo-8450.75
330234-Henrique Bento-153.04
968690-Neuza Francia-10210.74
855177-Odete Vasques-17212.54
268647-Sofras Cuaresma-9926.84
304761-Ermelinda Quintela-4666.74
376154-Flamednia Leiria-7743.29
782904-Fulvio Villegas-20091.07
