149293-Nuno Balsemeo-18449.85
366848-Judite Damasceno-17904.96
287297-Camila Gabeira-18317.27
62721-Emedlio Pimentel-9348.52
754365-Ximena Castilho-10972.75
53721-Emedlio Pimentel-1881.11
217774-Andreia Moita-6119.66
358588-Emedlia Silvera-21051.57
115452-Polibe Olivares-15047.20
882373-Moaci Mendoa-10447.61
135805-Jonatas Felgueiras-16319.11
256475-Zungela Ipiranga-2137.94
20630-Spnia ou Sonia Guerreiro-12530.81
855200-Melinda Roserio-16671.44
205289-Adelina Quadros-10514.15
467286-Dulce Froes-14424.68
544175-Mercia Caeira-3592.02
47032-Armanda Amorim-14205.61
841719-Almor Caiado-11051.93
164595-Melinda Roserio-12190.75
672413-Nuno Balsemeo-17672.11
681321-Daniel Vieyra-12389.84
186520-Delfina Garcia de Gondim-11175.21
934708-Jorgina Bogalho-14393.76
51724-Flamednia Leiria-15185.81
960476-Angelica Aranha-12695.65
464307-Flor Portella-18511.09
450026-Celeste Duarte-866.73
592738-Honorina Lira-1885.14
488493-Angilica Galante-14626.79
145609-Basilio Pedroso-1968.68
713380-Aludsio Sosa-3835.49
591357-Oliveira Senchez-16657.35
550485-Taercio Mafra-15801.87
169839-Judite Damasceno-10617.55
720134-Joaquim Rufino-12077.15
738741-Oliveira Carmona-586.96
959785-Rebeca Neto-3741.46
258206-Jonatas Felgueiras-21117.38
265810-Quintiliano Sousa de Arronches-3337.43
348617-Marilda Leio-3798.89
158785-Nuno Balsemeo-17346.02
469141-Henrique Bento-3167.10
300316-Telma Villalobos-16742.61
507510-Judite Damasceno-10319.47
328716-Gaudancio Fiees-15886.67
714869-Gaudancio Fiees-4919.22
726495-Odilia Bello-2483.98
410626-Tabalipa Duarte-1311.73
608983-Zulmira Becerra-12454.38
486160-Nuno Balsemeo-5153.03
747275-Neeamia Arruda-18554.62
557297-Domingos Pas-624.48
619100-Cleusa Goes-5487.48
867390-Lurdes Cotrim-4587.72
386597-Edgar Carvalheiro-13111.01
137195-Fulvio Villegas-803.32
583493-Taercio Mafra-7650.58
659165-Almerinda Palmeira-13044.69
506006-Cassandra Varejo-18870.78
96156-Liana Cardim-18280.80
575226-Sara Lameiras-13243.44
172948-Heleedsa Marins-7594.18
480678-Dulce Froes-17990.37
565254-Oliveira Senchez-17284.21
596515-Tabalipa Duarte-16093.24
810947-Nuno Balsemeo-5019.77
947292-Guaraci Damasceno-6125.60
998039-Almor Caiado-1677.36
705041-Feledcia Peassego-12792.42
366814-Eurico Siqueira-21333.38
331973-Branco Saraba-9624.30
275657-Tibefarcio Colao-16486.03
667006-Carminda Morais-2136.00
322689-Tarrataca Soares-4791.65
233864-Angilica Galante-13297.62
278305-Celeste Duarte-590.89
138175-Delfina Perdigon-14540.36
56323-Judite Damasceno-14680.34
476078-Ermelinda Quintela-2322.56
973719-Polibe Olivares-11396.22
68111-Filomena Barrios-4104.71
506529-Anind Zarco-20477.46
878973-Joaquim Rufino-18189.30
804545-Almerinda Palmeira-2727.69
150634-Augusta Paio-155.19
852893-Delfina Garcia de Gondim-2107.97
15815-Sofras Cuaresma-9389.35
255596-Rodolfo Paz-8175.08
231402-Camila Gabeira-11509.84
965591-Nuno Balsemeo-16789.58
37967-Guaraci Damasceno-20820.26
56462-Elisa Themes-15370.49
194022-Quintiliano Sousa de Arronches-8034.44
414975-Antonio Viegas-16802.49
317277-Liana Cardim-16009.16
497445-Artur Grillo-272.85
766425-Urbano Rodrigues-17563.01
71510-Adelino Barra-9580.73
927091-Emedlio Pimentel-20953.04
