531283-Armanda Amorim-10474.77
421184-Delfina Garcia de Gondim-11409.94
484859-Letedcia Gago-20969.31
257181-Antonio Viegas-11096.75
907879-Emedlia Silvera-18577.08
468179-Emedlio Pimentel-10946.19
75726-Gaudancio Fiees-1999.45
701673-Feledcia Peassego-8022.45
847202-Judite Damasceno-10727.00
617057-Elisa Themes-1047.28
922147-Letedcia Gago-9122.59
631659-Oliveira Senchez-2711.97
97540-Odilia Camello-3716.82
551649-Lina Andrade-2794.55
697111-Judite Damasceno-16023.63
306346-Basilio Pedroso-2023.48
928934-Estanislau Beserra-19314.24
252232-Delfim Higuera-10326.42
507674-Carminda Morais-4830.05
977380-Marilda Leio-541.39
910913-Telma Villalobos-15850.61
837570-Andreia Moita-15632.09
274198-Delfina Garcia de Gondim-12798.23
158323-Sidfnio Frois-18263.74
717783-Odete Vasques-20200.71
501889-Ermelinda Quintela-10868.94
905205-Rodolfo Paz-19338.23
770096-Zulmira Becerra-905.92
879675-Nuno Balsemeo-15430.99
689295-Honorina Lira-1605.93
227158-Edgar Carvalheiro-21385.04
540900-Cleusa Goes-20818.58
51705-Jonatas Felgueiras-11316.48
760785-Tarrataca Soares-13848.07
408969-Emiliana Foquio-18035.24
936840-Quintino Alcantara-20980.26
812577-Jonatas Felgueiras-12154.48
628258-Moaci Mendoa-15032.18
601909-Honorina Lira-16160.98
64379-Neuza Francia-4793.03
181783-Henrique Bento-3450.47
876267-Jussara Varanda-21255.88
779491-Antonio Viegas-17971.56
21699-Tabalipa Duarte-18789.17
154540-Ximena Castilho-5028.42
358775-Guida Juca-14187.79
973453-Jonatas Felgueiras-5341.08
927509-Lina Andrade-19277.36
989527-Tabalipa Duarte-1898.54
634478-Augusta Paio-984.35
388798-Adelina Quadros-17076.17
163401-Ermelinda Quintela-1600.09
312208-Edgar Carvalheiro-13137.89
109419-Lina Andrade-63.27
229707-Lurdes Cotrim-2114.81
390857-Honorina Lira-18018.40
94757-Clarindo Areosa-15693.30
246613-Adelino Barra-14477.74
649225-Tibefarcio Colao-15277.63
633214-Manuel Capiperibe-12049.14
953281-Basilio Pedroso-6398.19
803882-Tabalipa Duarte-19709.83
758619-Aludsio Sosa-8378.11
385551-Camila Gabeira-5194.37
445463-Odilia Camello-2531.83
347325-Jussara Varanda-18425.74
544328-Filomena Barrios-9431.85
849051-Esperada Cardoso-9179.48
406104-Artur Grillo-11225.97
817396-Cassandra Varejo-10257.47
663659-Cleusa Goes-11067.00
643027-Romo Paranage-17105.04
631767-Guida Juca-6677.79
925723-Ermelinda Quintela-19231.64
30242-Elisa Themes-9131.26
132567-Estanislau Beserra-2879.90
591475-Adelino Barra-14665.34
380417-Delfina Perdigon-6879.00
459608-Emiliana Foquio-20273.06
818574-Jorgina Bogalho-13796.40
91794-Andreia Moita-9908.20
184418-Eurico Siqueira-4209.79
292552-Taercio Mafra-19776.11
212052-Honorina Lira-5320.53
568689-Odilia Bello-3856.00
108523-Nuno Balsemeo-17497.32
738762-Heleedsa Marins-21313.23
554163-Rebeca Neto-9522.20
834044-Micaela Chavez-18076.80
227630-Adelina Quadros-19304.99
368135-Gaudancio Fiees-3781.07
208841-Carminda Morais-20852.91
69981-Armanda Amorim-4331.00
226527-Delfina Garcia de Gondim-5543.12
547678-Esperada Cardoso-8208.81
511603-Mercia Caeira-14859.89
465625-Odilia Bello-972.44
470426-Taercio Mafra-18927.98
375057-Polibe Olivares-13481.49
101975-Edgar Carvalheiro-17333.77
