600251-Edgar Carvalheiro-14682.69
12848-Quintino Alcantara-2979.83
178964-Fulvio Villegas-4450.11
654127-Almerinda Palmeira-8108.35
47923-Odete Vasques-10097.20
943247-Andreia Moita-11299.89
736657-Melinda Roserio-19554.71
264513-Manuel Capiperibe-10963.37
790111-Armindo Castalo-5808.17
983444-Emedlio Pimentel-17101.34
348921-Armindo Castalo-19227.34
648205-Angelica Aranha-16032.64
749583-Rebeca Neto-20304.43
244081-Aludsio Sosa-7576.13
526583-Oliveira Carmona-10706.61
331706-Armanda Amorim-16536.04
906763-Mercia Caeira-8778.57
226728-Guida Juca-7126.38
236490-Judite Damasceno-15484.28
757204-Carminda Morais-19504.12
552492-Emiliana Foquio-12562.77
133057-Henrique Bento-15419.25
180064-Domingos Pas-5691.91
754295-Esperada Cardoso-13604.35
163799-Celeste Duarte-12744.78
810126-Zungela Ipiranga-2453.26
445738-Estanislau Beserra-12552.33
584457-Tibefarcio Colao-2439.76
543705-Anfnia Seixas-15852.12
836312-Neeamia Arruda-9894.86
779483-Honorina Lira-635.55
973469-Tibofarcio Camacho-2756.88
431120-Artur Grillo-19238.68
847750-Nuno Balsemeo-11581.39
393840-Lurdes Cotrim-9368.19
600961-Leonidas Mafra-1221.45
928713-Carminda Morais-19915.91
113752-Lina Andrade-20581.75
453297-Flor Portella-14182.36
221106-Sara Lameiras-6525.88
433327-Augusta Paio-14713.68
922531-Andreia Moita-15023.41
336922-Antonio Viegas-2012.89
458788-Antonio Castelo-17461.37
532210-Basilio Pedroso-4520.47
83771-Gaudancio Fiees-16846.47
961529-Mercia Caeira-6550.93
588601-Fulvio Villegas-3887.23
191713-Delfina Garcia de Gondim-15981.76
7357-Delfina Garcia de Gondim-15369.14
341793-Leonidas Mafra-78.63
714808-Antonio Viegas-4147.86
775813-Romo Paranage-46.39
221224-Letedcia Gago-14940.98
321687-Odilia Bello-19486.30
241003-Adelina Quadros-4952.30
305650-Filomena Barrios-16741.92
477717-Tabalipa Duarte-2982.97
341662-Sara Lameiras-9064.88
957542-Emedlio Pimentel-7890.12
161670-Basilio Pedroso-9353.54
249881-Delfina Garcia de Gondim-14090.69
679291-Armindo Castalo-3383.61
913726-Estanislau Beserra-17945.82
284583-Oliveira Carmona-4934.20
218407-Rodolfo Paz-16666.61
799807-Neeamia Arruda-11414.83
990201-Leonidas Mafra-9094.77
903341-Lina Andrade-8813.35
992524-Cleusa Goes-3278.09
27912-Delfina Perdigon-20489.71
410129-Ubaldo Mainha-10737.37
578057-Oliveira Carmona-10519.33
901322-Delfina Perdigon-373.63
322361-Odete Vasques-19236.47
889736-Neeamia Arruda-7203.82
203569-Branco Saraba-2596.98
709038-Silvio Mata-11966.88
511096-Branco Saraba-17725.92
317808-Flamednia Leiria-14381.01
136533-Tibofarcio Camacho-17301.29
309062-Odilia Bello-5090.55
66557-Flor Portella-3371.49
184831-Ubaldo Mainha-12190.51
917812-Regina Barcellos-3538.89
554484-Odilia Camello-18377.79
368553-Daniel Vieyra-18709.83
182023-Domingos Pas-21276.92
472609-Quintiliano Sousa de Arronches-7587.19
98327-Adelino Barra-8180.37
49422-Sofras Cuaresma-9471.74
971213-Almerinda Palmeira-20814.83
662637-Polibe Olivares-13350.65
770281-Odilia Bello-11937.67
756928-Romo Paranage-13046.85
390809-Regina Barcellos-137.55
923034-Guaraci Damasceno-11351.24
153411-Joaquim Rufino-15153.06
588493-Andreia Moita-20637.79
615271-Augusta Paio-15143.93
