525782-Sara Lameiras-15823.93
262187-Aludsio Sosa-18706.69
611239-Trajano Fagundes-7288.06
86025-Adelina Quadros-12042.19
425190-Delfina Perdigon-7872.78
560518-Jonatas Felgueiras-15060.12
195186-Honorina Lira-3047.83
340439-Angilica Galante-19450.62
736939-Oliveira Carmona-5455.21
367882-Moaci Mendoa-3054.05
519701-Andreia Moita-15289.31
311736-Esperada Cardoso-4047.10
936992-Delfina Garcia de Gondim-1488.37
980385-Taercio Mafra-5679.23
493737-Heleedsa Marins-4908.65
816766-Odilia Camello-489.42
664223-Rodolfo Paz-13051.37
557626-Heleedsa Marins-4889.94
940034-Filomena Barrios-19487.31
856460-Ubaldo Mainha-20680.99
66978-Sara Lameiras-5491.35
670283-Leonidas Mafra-6904.46
458722-Cleusa Goes-7493.83
569302-Basilio Pedroso-17273.64
898696-Almor Caiado-18508.57
505645-Angilica Galante-12091.91
156770-Zulmira Becerra-11783.71
74951-Rodolfo Paz-15379.29
571400-Jussara Varanda-14283.85
105494-Antonio Castelo-4747.58
528690-Cassandra Varejo-8138.25
915825-Armindo Castalo-18804.95
496383-Zulmira Becerra-12504.70
430659-Cassandra Varejo-18000.40
771976-Rebeca Neto-4384.55
10931-Andreia Moita-1004.77
675338-Leonidas Mafra-1446.33
476737-Esperada Cardoso-8757.08
788270-Honorina Lira-20912.80
346877-Delfina Perdigon-419.02
520440-Edgar Carvalheiro-14754.30
828660-Odete Vasques-14783.46
583273-Edgar Carvalheiro-4553.59
237623-Guaraci Damasceno-7027.90
772095-Leonidas Mafra-6410.78
164074-Camila Gabeira-7610.89
263032-Urbano Rodrigues-11117.64
249542-Daniel Vieyra-8507.57
164880-Angelica Aranha-4670.62
981784-Romo Paranage-19094.09
556713-Zungela Ipiranga-8034.46
956645-Telma Villalobos-19932.74
884569-Mercia Caeira-18743.74
282853-Joaquim Rufino-11961.28
720801-Micaela Chavez-16859.00
129811-Lurdes Cotrim-8995.80
531882-Flor Portella-463.60
51078-Augusta Paio-3046.09
278704-Lurdes Cotrim-10647.74
818862-Sara Lameiras-16077.56
744344-Gaudancio Fiees-2608.29
616544-Cassandra Varejo-21327.86
351286-Cassandra Varejo-5141.87
444953-Filomena Barrios-9504.69
844558-Armanda Amorim-9467.07
322075-Anind Zarco-9413.53
888437-Emedlio Pimentel-10348.85
218981-Angelica Aranha-13719.36
823148-Letedcia Gago-6807.31
489209-Flor Portella-10525.50
596745-Flor Portella-3818.10
633491-Filomena Barrios-1439.43
460811-Anind Zarco-18172.95
694683-Regina Barcellos-15622.56
56378-Jorgina Bogalho-816.17
317990-Filomena Barrios-1639.39
676298-Lina Andrade-4228.27
394334-Anfnia Seixas-19700.46
721640-Manuel Capiperibe-13613.86
339450-Domingos Pas-12113.91
229546-Filomena Barrios-12819.88
432291-Henrique Bento-2291.38
453385-Urbano Rodrigues-461.15
661045-Ubaldo Mainha-4598.10
338126-Andreia Moita-5188.66
721779-Telma Villalobos-19091.84
490873-Melinda Roserio-12353.77
628234-Carminda Morais-6912.87
217643-Clara Alcantara-5815.25
54158-Estanislau Beserra-19708.65
440288-Heleedsa Marins-246.11
636730-Almerinda Palmeira-14460.43
292732-Odete Vasques-19254.96
243228-Odete Vasques-19771.57
965875-Heleedsa Marins-4040.12
788880-Neeamia Arruda-3002.50
67022-Spnia ou Sonia Guerreiro-4597.41
688738-Flamednia Leiria-19173.69
356657-Estanislau Beserra-17501.03
410280-Esperada Cardoso-6386.74
