965071-Cassandra Varejo-18573.62
97095-Angilica Galante-3554.98
155977-Esperada Cardoso-9949.26
25135-Clarindo Areosa-17535.85
224649-Odilia Camello-603.33
204438-Zulmira Becerra-12477.61
137222-Spnia ou Sonia Guerreiro-1770.07
27620-Domingos Pas-18886.13
759926-Polibe Olivares-900.06
940820-Branco Saraba-4749.27
395451-Liana Cardim-19218.92
543471-Leonidas Mafra-13965.06
545678-Anfnia Seixas-1691.78
701268-Oliveira Carmona-817.20
356443-Feledcia Peassego-3549.44
436868-Ubaldo Mainha-5621.49
907467-Andreia Moita-8622.86
702354-Emedlio Pimentel-20833.13
315436-Ermelinda Quintela-1455.90
38312-Gaudancio Fiees-19475.31
701830-Rebeca Neto-9514.42
760341-Liana Cardim-2015.02
316651-Branco Saraba-19970.48
798660-Lurdes Cotrim-14752.66
381935-Jussara Varanda-601.38
298076-Spnia ou Sonia Guerreiro-945.75
491923-Trajano Fagundes-14154.83
176129-Carminda Morais-10427.01
505917-Odilia Bello-13480.17
842006-Urbano Rodrigues-19850.55
588952-Odilia Bello-19832.73
260884-Nuno Balsemeo-10525.50
954895-Zungela Ipiranga-16958.67
310612-Guaraci Damasceno-6131.82
902226-Estanislau Beserra-17055.63
921681-Adelina Quadros-7383.78
606120-Rebeca Neto-11068.70
576413-Armindo Castalo-8405.62
892884-Emedlio Pimentel-18280.68
282756-Odete Vasques-20119.10
719553-Tabalipa Duarte-18670.16
115077-Gaudancio Fiees-11677.93
12799-Angilica Galante-13107.48
474750-Delfina Perdigon-3175.75
202198-Esperada Cardoso-4174.77
584289-Clarindo Areosa-19653.99
25189-Sidfnio Frois-12285.21
465069-Odilia Camello-12166.14
122634-Edgar Carvalheiro-18655.07
796970-Urbano Rodrigues-11733.06
42741-Micaela Chavez-10875.42
594481-Camila Gabeira-4121.73
179827-Carminda Morais-14961.86
664487-Edgar Carvalheiro-20416.61
814416-Odete Vasques-13763.79
560607-Flamednia Leiria-17079.63
684782-Spnia ou Sonia Guerreiro-9835.05
678866-Flor Portella-6184.87
751692-Ermelinda Quintela-16556.09
892824-Estanislau Beserra-11479.22
976972-Taercio Mafra-10804.82
76738-Domingos Pas-12890.76
485708-Artur Grillo-6787.72
158779-Adelina Quadros-9454.37
890211-Emedlio Pimentel-5547.67
614934-Lurdes Cotrim-12123.28
254629-Polibe Olivares-15090.13
931768-Armanda Amorim-4042.08
706412-Emedlia Silvera-8859.60
20502-Regina Barcellos-4873.69
156793-Moaci Mendoa-12203.46
318488-Silvio Mata-6569.39
686070-Emiliana Foquio-21124.25
723284-Cassandra Varejo-4551.00
453936-Clarindo Areosa-2975.06
563872-Elisa Themes-20571.21
670086-Quintino Alcantara-12568.92
765062-Tarrataca Soares-12728.24
862927-Flor Portella-11740.47
86314-Clarindo Areosa-6785.84
232194-Oliveira Carmona-9597.41
376012-Neuza Francia-9575.75
595899-Nuno Balsemeo-10842.62
588033-Honorina Lira-6885.01
49605-Urbano Rodrigues-18119.55
762329-Delfina Garcia de Gondim-15360.35
319514-Feledcia Peassego-15687.05
889592-Nuno Balsemeo-7459.87
184133-Basilio Pedroso-18338.50
438477-Melinda Roserio-454.52
578152-Leonidas Mafra-8236.85
63779-Estanislau Beserra-9540.61
488447-Flamednia Leiria-17256.56
854217-Edgar Carvalheiro-16697.61
836220-Anfnia Seixas-17318.10
808317-Leonidas Mafra-3190.89
934497-Gaudancio Fiees-7914.09
953038-Urbano Rodrigues-3628.15
312060-Daniel Vieyra-15849.99
717977-Neuza Francia-10489.54
223993-Letedcia Gago-13895.32
470551-Angelica Aranha-16795.96
292491-Angilica Galante-4286.00
892234-Tibefarcio Colao-18964.54
509418-Sara Lameiras-958.07
81627-Almor Caiado-17666.15
205438-Esperada Cardoso-3760.66
34584-Branco Saraba-14760.19
366832-Rodolfo Paz-20443.31
65109-Clarindo Areosa-11075.66
215729-Nuno Balsemeo-14917.90
50886-Ubaldo Mainha-20092.60
462944-Neuza Francia-14700.69
531451-Anfnia Seixas-9584.78
393496-Odete Vasques-11629.87
65979-Almerinda Palmeira-17480.69
827583-Domingos Pas-21022.74
997821-Guida Juca-16468.25
498990-Delfim Higuera-11277.08
515223-Romo Paranage-2312.90
484999-Sara Lameiras-11505.05
986469-Emedlio Pimentel-4140.73
116116-Rebeca Neto-11235.36
329684-Lurdes Cotrim-7095.83
30446-Antonio Viegas-8419.77
21917-Esperada Cardoso-11050.43
661472-Aludsio Sosa-18178.71
850902-Angelica Aranha-16243.85
575951-Tibefarcio Colao-8874.00
665030-Spnia ou Sonia Guerreiro-11919.15
803412-Antonio Castelo-14394.00
764148-Odilia Camello-8719.03
985084-Dulce Froes-11690.19
791415-Feledcia Peassego-6118.65
75377-Zungela Ipiranga-10968.96
862739-Sofras Cuaresma-5724.34
235129-Andreia Moita-8050.95
397985-Zungela Ipiranga-234.63
385891-Romo Paranage-18510.39
114735-Feledcia Peassego-18897.04
616922-Guaraci Damasceno-12470.23
624533-Danilo Olaio-14147.88
221158-Nuno Balsemeo-1072.89
869741-Almerinda Palmeira-9420.80
101735-Delfina Garcia de Gondim-5826.72
310634-Clarindo Areosa-1920.51
562419-Flamednia Leiria-15182.86
717377-Micaela Chavez-2212.01
256976-Telma Villalobos-951.03
712910-Fulvio Villegas-1202.18
84052-Armanda Amorim-5278.35
371751-Regina Barcellos-3209.75
562478-Dulce Froes-20611.96
288700-Zulmira Becerra-4295.83
880102-Gaudancio Fiees-4306.84
883482-Elisa Themes-7589.95
320757-Heleedsa Marins-3720.74
853400-Almerinda Palmeira-10877.91
848665-Zulmira Becerra-2355.65
915207-Rodolfo Paz-8502.77
685352-Emiliana Foquio-19763.62
478865-Odilia Bello-7582.50
92597-Cassandra Varejo-2153.28
478928-Antonio Viegas-15166.17
461979-Emiliana Foquio-9790.14
117125-Fulvio Villegas-18468.97
823459-Polibe Olivares-3977.34
332460-Sara Lameiras-17315.88
42115-Carminda Morais-15769.53
854665-Branco Saraba-17848.68
884847-Mercia Caeira-20975.53
749581-Neuza Francia-16145.48
589754-Adelina Quadros-17506.41
659226-Sara Lameiras-4656.36
795036-Neeamia Arruda-8490.98
131623-Tabalipa Duarte-13362.15
463268-Micaela Chavez-21190.39
385096-Ubaldo Mainha-4208.88
98132-Filomena Barrios-7579.30
375703-Urbano Rodrigues-10777.84
930720-Almor Caiado-15006.69
363587-Delfim Higuera-4069.35
562407-Urbano Rodrigues-2650.41
573307-Zulmira Becerra-9887.01
234043-Danilo Olaio-8600.12
908364-Edgar Carvalheiro-3096.60
479752-Ximena Castilho-966.40
301670-Clarindo Areosa-5930.25
227517-Marilda Leio-7391.23
622311-Celeste Duarte-7704.98
884907-Oliveira Carmona-15374.29
217011-Lurdes Cotrim-7213.09
613838-Andreia Moita-12278.71
167987-Cleusa Goes-11249.61
358385-Edgar Carvalheiro-19291.95
163363-Moaci Mendoa-3246.20
183696-Neeamia Arruda-3056.16
759193-Neeamia Arruda-1224.34
222316-Adelina Quadros-15066.62
131532-Spnia ou Sonia Guerreiro-17402.84
825153-Feledcia Peassego-4606.85
188028-Spnia ou Sonia Guerreiro-19129.02
2441-Tabalipa Duarte-12690.32
374498-Adelina Quadros-2797.17
930723-Jonatas Felgueiras-15580.75
15207-Oliveira Senchez-16582.38
759573-Zungela Ipiranga-19164.22
143443-Fulvio Villegas-1566.98
68264-Lina Andrade-10949.20
115816-Silvio Mata-11940.51
661803-Cassandra Varejo-15318.77
153297-Basilio Pedroso-14615.81
953884-Honorina Lira-13901.00
142324-Daniel Vieyra-15824.74
291924-Emedlio Pimentel-8799.21
153080-Antonio Castelo-1424.53
150508-Rodolfo Paz-18272.12
247607-Fulvio Villegas-17358.72
295105-Danilo Olaio-4614.57
4165-Telma Villalobos-8905.73
513452-Anind Zarco-16462.35
707872-Judite Damasceno-21183.88
320788-Fulvio Villegas-8808.58
482392-Emedlia Silvera-13090.00
360669-Guaraci Damasceno-2328.09
830358-Carminda Morais-17289.62
538469-Basilio Pedroso-18271.12
185050-Anind Zarco-8328.76
45648-Melinda Roserio-10161.71
309874-Emedlio Pimentel-17361.75
658316-Melinda Roserio-4382.05
883425-Tarrataca Soares-18779.13
205931-Henrique Bento-15257.50
628277-Sara Lameiras-6507.49
41312-Trajano Fagundes-16801.10
892111-Emedlia Silvera-18769.40
195882-Sofras Cuaresma-7519.95
712198-Filomena Barrios-2216.96
133558-Letedcia Gago-4427.42
495522-Ermelinda Quintela-3625.68
946611-Neeamia Arruda-11752.26
148627-Daniel Vieyra-1176.26
254869-Neeamia Arruda-7988.32
219219-Antonio Viegas-3139.77
184003-Cassandra Varejo-2455.35
473848-Emedlio Pimentel-14734.27
241835-Daniel Vieyra-19926.22
122120-Melinda Roserio-14828.51
395014-Joaquim Rufino-16799.85
355623-Micaela Chavez-8979.96
491760-Guaraci Damasceno-274.59
833229-Judite Damasceno-7146.08
604254-Trajano Fagundes-7828.63
641976-Lina Andrade-11130.82
945138-Tibefarcio Colao-8667.83
358058-Spnia ou Sonia Guerreiro-2767.73
227446-Melinda Roserio-10720.15
91771-Tibefarcio Colao-7846.53
652435-Rebeca Neto-2475.64
471439-Tabalipa Duarte-4769.20
342305-Lina Andrade-10614.12
472404-Liana Cardim-2917.61
712459-Regina Barcellos-458.82
301104-Neuza Francia-18495.24
866616-Marilda Leio-20584.69
966660-Angelica Aranha-2053.44
493347-Sidfnio Frois-3145.71
675264-Silvio Mata-9906.63
708256-Almerinda Palmeira-3078.32
242235-Filomena Barrios-8563.03
289075-Flamednia Leiria-8511.62
279035-Quintiliano Sousa de Arronches-14676.34
393447-Micaela Chavez-6758.63
370827-Domingos Pas-14221.64
946747-Sidfnio Frois-18730.30
305210-Heleedsa Marins-1265.14
436416-Angilica Galante-19510.07
98552-Ermelinda Quintela-7491.99
413738-Judite Damasceno-1514.23
293340-Manuel Capiperibe-18376.65
609335-Polibe Olivares-2634.71
337130-Gaudancio Fiees-18987.50
826307-Oliveira Senchez-10156.60
197472-Lina Andrade-5445.47
608954-Lurdes Cotrim-15984.94
5891-Clarindo Areosa-7493.15
