359267-Emedlio Pimentel-6828.83
390054-Flamednia Leiria-20353.16
161764-Manuel Capiperibe-4189.15
687847-Tarrataca Soares-15086.88
320864-Rodolfo Paz-3655.74
782064-Silvio Mata-13764.99
137333-Eurico Siqueira-12247.80
419489-Delfina Perdigon-6896.35
830584-Clarindo Areosa-8604.87
549198-Oliveira Senchez-3659.54
659526-Moaci Mendoa-7343.14
521514-Honorina Lira-15087.04
561957-Guaraci Damasceno-8783.82
384171-Antonio Castelo-19130.70
348812-Lina Andrade-17899.07
613193-Clarindo Areosa-12532.05
731880-Edgar Carvalheiro-15513.42
769720-Nuno Balsemeo-19807.62
406101-Letedcia Gago-12071.09
474276-Adelino Barra-18016.58
331152-Melinda Roserio-708.34
71218-Delfina Perdigon-1213.56
159721-Manuel Capiperibe-8969.17
163221-Filomena Barrios-15173.02
854832-Silvio Mata-16606.51
636845-Zulmira Becerra-4747.80
918268-Flamednia Leiria-17245.12
496252-Quintiliano Sousa de Arronches-15117.98
709023-Ubaldo Mainha-2087.20
925132-Marilda Leio-2211.95
95485-Leonidas Mafra-9075.26
579349-Moaci Mendoa-8031.13
766778-Sidfnio Frois-19432.73
368592-Celeste Duarte-4519.53
39934-Clara Alcantara-21328.08
134372-Branco Saraba-9089.61
433970-Flor Portella-3043.95
592413-Flamednia Leiria-15438.92
545542-Flamednia Leiria-10221.17
91237-Cassandra Varejo-17470.42
327753-Guida Juca-19371.38
881911-Zungela Ipiranga-1792.33
307929-Odete Vasques-1295.16
651413-Melinda Roserio-5188.85
812886-Feledcia Peassego-11129.25
141161-Melinda Roserio-15540.59
733078-Angelica Aranha-9480.10
869575-Jorgina Bogalho-8461.18
804018-Oliveira Senchez-10816.64
458862-Quintino Alcantara-7142.72
824734-Camila Gabeira-15455.99
716434-Angilica Galante-14989.97
721533-Delfim Higuera-6958.22
516104-Tibefarcio Colao-329.90
779720-Estanislau Beserra-10278.03
850862-Antonio Viegas-10459.44
399078-Joaquim Rufino-5621.93
342636-Armanda Amorim-13010.63
177790-Manuel Capiperibe-4793.83
162617-Jorgina Bogalho-4533.58
189547-Gaudancio Fiees-14441.83
354065-Jorgina Bogalho-644.16
268225-Telma Villalobos-14121.37
698804-Trajano Fagundes-9881.70
530748-Emiliana Foquio-13919.49
771287-Sidfnio Frois-4613.17
103850-Basilio Pedroso-12527.16
446054-Odilia Bello-19230.58
906666-Zulmira Becerra-18687.53
547580-Telma Villalobos-21119.15
460034-Melinda Roserio-1046.21
488132-Cleusa Goes-20789.75
513785-Nuno Balsemeo-17717.60
877628-Celeste Duarte-14599.75
231073-Flor Portella-16625.06
903359-Delfina Perdigon-13447.93
519295-Flor Portella-20608.97
328311-Ubaldo Mainha-4638.59
199983-Tarrataca Soares-16947.66
971033-Adelina Quadros-3928.30
616675-Leonidas Mafra-15672.90
928939-Emiliana Foquio-3212.95
173316-Spnia ou Sonia Guerreiro-3013.25
71338-Fulvio Villegas-557.19
139111-Almor Caiado-17649.50
672707-Adelina Quadros-143.70
6636-Guida Juca-1448.89
89032-Henrique Bento-5712.17
229828-Nuno Balsemeo-4469.33
639517-Odete Vasques-2514.21
997069-Angelica Aranha-4380.38
459327-Quintiliano Sousa de Arronches-3034.83
413062-Emiliana Foquio-20596.56
642849-Nuno Balsemeo-6762.44
363846-Edgar Carvalheiro-14363.83
590449-Joaquim Rufino-14370.56
126650-Neuza Francia-11395.79
76298-Ubaldo Mainha-17966.68
401800-Letedcia Gago-10364.14
493470-Andreia Moita-7275.70
