659726-Ubaldo Mainha-16695.17
365216-Esperada Cardoso-4483.97
600197-Tibefarcio Colao-1481.65
78769-Odilia Camello-15906.37
92364-Adelino Barra-2731.44
334865-Feledcia Peassego-11476.62
751672-Edgar Carvalheiro-9593.24
908221-Dulce Froes-18548.88
500903-Neeamia Arruda-20028.42
222020-Nuno Balsemeo-20373.57
949763-Celeste Duarte-3095.33
744758-Clara Alcantara-16128.98
778597-Cassandra Varejo-16334.98
62441-Neeamia Arruda-8760.93
737566-Letedcia Gago-14821.86
793268-Tibefarcio Colao-5420.37
779609-Quintino Alcantara-19677.89
496141-Romo Paranage-2972.13
38672-Adelino Barra-14477.14
556893-Jussara Varanda-10724.53
231016-Emedlio Pimentel-13334.02
421937-Sofras Cuaresma-5666.63
525912-Edgar Carvalheiro-4119.58
794532-Guida Juca-15670.21
216253-Regina Barcellos-16367.58
782463-Quintiliano Sousa de Arronches-150.68
527407-Zungela Ipiranga-10868.48
79985-Feledcia Peassego-3198.60
553619-Estanislau Beserra-1524.15
385972-Leonidas Mafra-4539.72
91480-Tibofarcio Camacho-7362.03
813516-Sara Lameiras-5211.41
466354-Cleusa Goes-2571.84
617486-Leonidas Mafra-924.94
378386-Liana Cardim-16177.11
325066-Delfim Higuera-8110.10
825095-Andreia Moita-9675.37
113794-Delfim Higuera-8991.33
132088-Clara Alcantara-3132.03
380879-Antonio Viegas-12125.89
565837-Artur Grillo-13396.81
185781-Angilica Galante-10040.11
469116-Branco Saraba-18184.77
710793-Leonidas Mafra-11216.11
973251-Jorgina Bogalho-19369.89
26762-Augusta Paio-14518.31
631890-Edgar Carvalheiro-2081.72
600947-Estanislau Beserra-1738.02
430074-Micaela Chavez-16459.34
674296-Marilda Leio-17773.15
406858-Taercio Mafra-16403.97
342424-Feledcia Peassego-4210.99
419284-Taercio Mafra-8335.69
679701-Sofras Cuaresma-11422.79
434559-Manuel Capiperibe-7667.69
416465-Andreia Moita-13437.96
407880-Ubaldo Mainha-7409.44
452565-Sidfnio Frois-450.61
630504-Anfnia Seixas-17234.91
11669-Moaci Mendoa-16336.82
498384-Armanda Amorim-2296.05
665778-Estanislau Beserra-3949.48
360071-Emiliana Foquio-5033.67
47617-Odete Vasques-8120.47
345902-Antonio Castelo-14134.81
666016-Micaela Chavez-17778.98
816673-Antonio Viegas-5688.22
139321-Jorgina Bogalho-9012.74
264105-Clarindo Areosa-15269.05
323115-Filomena Barrios-6114.33
729933-Carminda Morais-15149.31
534045-Cassandra Varejo-12821.13
953936-Angelica Aranha-9169.90
942370-Flor Portella-905.54
726493-Filomena Barrios-20719.00
279556-Jorgina Bogalho-2080.82
628322-Heleedsa Marins-2458.99
437384-Letedcia Gago-2460.38
307689-Clara Alcantara-3823.02
669313-Jussara Varanda-1531.42
745607-Daniel Vieyra-13358.72
910726-Oliveira Carmona-12759.22
539798-Zulmira Becerra-3943.92
535756-Estanislau Beserra-16723.35
94653-Emedlia Silvera-19570.61
134695-Guida Juca-20153.41
72349-Emiliana Foquio-10434.85
864550-Feledcia Peassego-19299.23
414807-Jorgina Bogalho-4247.47
386329-Elisa Themes-3989.32
307137-Ximena Castilho-13386.78
159262-Liana Cardim-13261.05
641188-Jonatas Felgueiras-7561.61
112986-Polibe Olivares-1322.13
138626-Esperada Cardoso-2663.08
96713-Anind Zarco-4244.43
620561-Joaquim Rufino-2370.31
43195-Regina Barcellos-2728.96
20288-Ximena Castilho-14333.11
299594-Regina Barcellos-9502.13
