266620-Neeamia Arruda-16114.45
31055-Romo Paranage-14315.46
52989-Eurico Siqueira-12930.28
582086-Basilio Pedroso-9279.48
467081-Ermelinda Quintela-18049.22
296845-Flor Portella-4112.43
357690-Anind Zarco-21234.03
510619-Neeamia Arruda-6823.47
744356-Nuno Balsemeo-16174.38
837965-Danilo Olaio-792.70
359747-Esperada Cardoso-6105.37
441768-Sara Lameiras-10235.68
857450-Cassandra Varejo-15776.21
785890-Liana Cardim-16252.03
166658-Rodolfo Paz-2211.87
269647-Sidfnio Frois-220.00
543091-Artur Grillo-12833.58
754300-Clara Alcantara-12233.85
471521-Almor Caiado-4366.45
901492-Almerinda Palmeira-20394.83
31170-Cassandra Varejo-14183.59
122261-Gaudancio Fiees-16608.01
759444-Antonio Viegas-6991.75
940916-Armanda Amorim-20839.61
586327-Ubaldo Mainha-6256.44
153709-Oliveira Senchez-6359.13
963993-Zulmira Becerra-7544.56
210359-Trajano Fagundes-17662.11
287181-Flamednia Leiria-21286.82
835037-Antonio Castelo-19701.00
137039-Daniel Vieyra-16226.48
492511-Lina Andrade-5502.86
416158-Flor Portella-1845.62
477320-Odete Vasques-18185.03
258084-Angilica Galante-20850.89
225531-Estanislau Beserra-6417.59
192858-Manuel Capiperibe-472.40
517757-Ermelinda Quintela-2774.50
743550-Elisa Themes-20147.37
614593-Oliveira Carmona-4340.89
1556-Ermelinda Quintela-20572.26
231482-Lurdes Cotrim-10522.35
295194-Rodolfo Paz-5901.67
533790-Neeamia Arruda-1011.61
249513-Sidfnio Frois-12104.19
609021-Anfnia Seixas-19916.44
398312-Quintino Alcantara-3193.54
127774-Angilica Galante-17718.71
100763-Nuno Balsemeo-11301.31
272448-Celeste Duarte-9782.62
544322-Armanda Amorim-12082.64
496611-Artur Grillo-10910.12
218872-Danilo Olaio-1398.23
19605-Antonio Viegas-12013.57
323374-Domingos Pas-20646.06
749211-Rodolfo Paz-12077.32
934472-Telma Villalobos-14141.30
359502-Anfnia Seixas-12907.74
234662-Quintiliano Sousa de Arronches-4563.91
847132-Flamednia Leiria-10396.64
64653-Artur Grillo-7157.24
540617-Nuno Balsemeo-11072.21
734831-Celeste Duarte-6169.56
612509-Manuel Capiperibe-15769.76
650971-Neuza Francia-15108.16
108301-Guida Juca-3560.81
726382-Estanislau Beserra-9020.16
214425-Andreia Moita-10483.75
573834-Sofras Cuaresma-10726.10
580863-Moaci Mendoa-8419.73
850107-Nuno Balsemeo-7905.54
899473-Ermelinda Quintela-8280.95
476795-Polibe Olivares-20068.30
360916-Odilia Camello-6219.59
118330-Ximena Castilho-10696.10
998551-Dulce Froes-2652.34
126951-Esperada Cardoso-2004.77
385490-Zungela Ipiranga-11946.92
934647-Nuno Balsemeo-7247.82
875185-Quintiliano Sousa de Arronches-20683.62
479551-Ermelinda Quintela-19087.29
324773-Augusta Paio-14541.45
391110-Quintiliano Sousa de Arronches-17956.22
930139-Guida Juca-9254.99
445112-Filomena Barrios-451.34
292109-Esperada Cardoso-12191.32
220341-Neeamia Arruda-13602.59
680631-Polibe Olivares-18826.45
516130-Camila Gabeira-19295.79
477852-Oliveira Senchez-19574.54
412929-Tibofarcio Camacho-8584.50
902366-Edgar Carvalheiro-14957.75
3134-Basilio Pedroso-6816.83
450063-Celeste Duarte-11806.13
855663-Letedcia Gago-2745.74
870905-Flamednia Leiria-16218.66
636796-Elisa Themes-12836.03
363365-Armindo Castalo-1618.00
814093-Eurico Siqueira-14523.16
530111-Jorgina Bogalho-19327.94
