868720-Taercio Mafra-7840.91
933260-Henrique Bento-7143.53
658156-Domingos Pas-4336.18
807532-Ermelinda Quintela-14906.79
566910-Oliveira Senchez-7868.72
296247-Anind Zarco-16561.19
765892-Moaci Mendoa-14034.88
414473-Almor Caiado-12102.21
183575-Daniel Vieyra-15820.16
417243-Emiliana Foquio-7735.50
542044-Andreia Moita-9684.18
406238-Almor Caiado-15033.52
437940-Filomena Barrios-17680.10
258470-Honorina Lira-2243.34
909808-Ubaldo Mainha-9659.01
359735-Leonidas Mafra-10131.97
91043-Telma Villalobos-3234.79
729761-Esperada Cardoso-4298.94
241064-Jonatas Felgueiras-4470.77
756789-Neeamia Arruda-12384.94
295976-Almerinda Palmeira-15190.36
926433-Guaraci Damasceno-2529.59
910336-Guida Juca-3833.97
511978-Romo Paranage-16376.55
308681-Delfim Higuera-15460.82
977377-Odete Vasques-3699.58
281035-Angilica Galante-21130.49
588877-Branco Saraba-4562.95
117515-Adelino Barra-2700.52
178272-Rodolfo Paz-2403.25
304993-Aludsio Sosa-9716.21
850047-Moaci Mendoa-11005.48
746694-Neuza Francia-13414.58
169442-Tibefarcio Colao-21279.70
442177-Quintiliano Sousa de Arronches-6557.95
615456-Ximena Castilho-20067.72
985527-Armanda Amorim-13945.70
350986-Tarrataca Soares-2226.75
609955-Sara Lameiras-18487.93
946009-Camila Gabeira-14124.87
776390-Rodolfo Paz-18347.92
159494-Daniel Vieyra-19366.42
17912-Letedcia Gago-10739.05
756880-Mercia Caeira-10145.91
183925-Leonidas Mafra-19830.33
692502-Rebeca Neto-6501.65
158699-Spnia ou Sonia Guerreiro-1766.67
189911-Odilia Bello-8860.18
515901-Daniel Vieyra-10606.28
410436-Henrique Bento-11475.74
113954-Cassandra Varejo-2378.67
471487-Ermelinda Quintela-19980.26
860412-Guida Juca-2385.60
223769-Angelica Aranha-17853.17
589888-Eurico Siqueira-18335.01
234746-Dulce Froes-19291.94
684777-Adelina Quadros-2948.69
704664-Anind Zarco-11910.59
399637-Cassandra Varejo-7790.91
403562-Tibefarcio Colao-14765.01
411065-Jussara Varanda-13761.32
210785-Melinda Roserio-14496.03
685475-Sofras Cuaresma-6499.80
65475-Estanislau Beserra-3187.20
36581-Camila Gabeira-4363.10
557322-Guaraci Damasceno-16585.45
759505-Rebeca Neto-16972.29
628657-Odete Vasques-19469.34
515766-Augusta Paio-4828.50
547138-Guida Juca-13012.54
152430-Silvio Mata-15196.65
624385-Lina Andrade-8253.92
638849-Heleedsa Marins-11550.77
730087-Anind Zarco-14351.43
138626-Judite Damasceno-5326.96
564745-Zungela Ipiranga-4307.69
700944-Clara Alcantara-17795.29
705924-Anfnia Seixas-4606.74
285947-Elisa Themes-16551.90
956914-Carminda Morais-21287.37
129262-Clarindo Areosa-8814.06
466001-Melinda Roserio-2985.46
405913-Delfina Garcia de Gondim-2307.02
325762-Carminda Morais-9164.32
965670-Tibefarcio Colao-19935.70
431877-Estanislau Beserra-10006.51
442776-Flamednia Leiria-20143.52
715850-Andreia Moita-10345.75
923059-Sidfnio Frois-13998.61
980392-Almerinda Palmeira-17418.17
807764-Henrique Bento-13894.63
816239-Spnia ou Sonia Guerreiro-17189.29
216603-Oliveira Carmona-20323.35
694331-Guida Juca-8321.77
347602-Adelino Barra-5846.59
180295-Zulmira Becerra-17260.91
298786-Tibefarcio Colao-16200.50
946230-Manuel Capiperibe-19637.66
783987-Rebeca Neto-4092.05
327823-Liana Cardim-17341.86
