843390-Clarindo Areosa-13002.77
514601-Sara Lameiras-4766.02
988761-Quintino Alcantara-3195.80
549516-Oliveira Carmona-16128.33
371404-Emedlio Pimentel-16878.37
471791-Cleusa Goes-17670.05
498950-Marilda Leio-13534.78
180765-Rodolfo Paz-5291.46
507083-Andreia Moita-5269.98
533454-Anfnia Seixas-13800.92
241399-Tibofarcio Camacho-18269.35
192622-Carminda Morais-10349.66
298505-Rebeca Neto-154.71
185735-Delfina Garcia de Gondim-18270.21
12662-Tibefarcio Colao-4849.08
552498-Feledcia Peassego-15063.80
134322-Antonio Viegas-18768.79
33537-Ermelinda Quintela-10655.76
41318-Odete Vasques-20990.83
470875-Zungela Ipiranga-14151.33
705037-Neeamia Arruda-38.91
216028-Trajano Fagundes-18040.83
845200-Quintiliano Sousa de Arronches-15028.98
538279-Domingos Pas-6916.00
97059-Spnia ou Sonia Guerreiro-14686.13
492851-Emedlia Silvera-1816.82
410292-Silvio Mata-20488.16
321855-Judite Damasceno-11843.66
379044-Andreia Moita-10389.24
434715-Antonio Castelo-2039.11
98266-Mercia Caeira-9456.16
213088-Zulmira Becerra-2693.48
293781-Spnia ou Sonia Guerreiro-7991.94
845458-Antonio Castelo-7072.48
933988-Heleedsa Marins-16063.45
930775-Sofras Cuaresma-8893.54
823963-Ubaldo Mainha-3232.81
112501-Ubaldo Mainha-12616.03
977155-Artur Grillo-20859.82
957712-Lina Andrade-11759.33
71275-Ubaldo Mainha-20590.31
75595-Leonidas Mafra-1197.61
163293-Clara Alcantara-6880.55
181932-Basilio Pedroso-16319.00
800895-Clara Alcantara-4833.50
32844-Edgar Carvalheiro-20222.81
462981-Emiliana Foquio-13126.21
709277-Tibofarcio Camacho-2312.50
837972-Flor Portella-19912.27
406738-Micaela Chavez-1017.02
886450-Jorgina Bogalho-2727.73
982145-Delfina Garcia de Gondim-3608.48
426204-Sofras Cuaresma-225.28
580178-Joaquim Rufino-7607.10
982346-Angilica Galante-11195.11
729769-Telma Villalobos-4200.60
348001-Tabalipa Duarte-9915.23
763687-Spnia ou Sonia Guerreiro-5877.49
265978-Trajano Fagundes-3931.03
782974-Armanda Amorim-14465.10
749392-Angelica Aranha-18043.96
747145-Ubaldo Mainha-2648.95
505673-Delfina Perdigon-13923.21
835110-Urbano Rodrigues-16909.01
580914-Antonio Castelo-18678.83
160722-Nuno Balsemeo-13821.29
54364-Manuel Capiperibe-11229.94
569453-Edgar Carvalheiro-14137.58
334840-Danilo Olaio-13685.40
360386-Antonio Viegas-9258.39
571098-Fulvio Villegas-12615.89
554604-Danilo Olaio-1398.52
902851-Antonio Viegas-19753.58
779132-Daniel Vieyra-10137.09
365381-Silvio Mata-10342.90
462492-Neuza Francia-3729.67
136014-Honorina Lira-10520.22
332576-Odilia Camello-891.07
277808-Daniel Vieyra-20104.42
842386-Honorina Lira-2173.19
916697-Clara Alcantara-12538.90
903542-Ermelinda Quintela-10979.61
301420-Quintino Alcantara-1103.80
20183-Domingos Pas-4611.59
640008-Urbano Rodrigues-7635.25
175946-Tabalipa Duarte-21369.87
