174816-Danilo Olaio-13780.28
998666-Anfnia Seixas-893.14
674860-Almor Caiado-19820.21
999246-Gaudancio Fiees-20118.63
280257-Gaudancio Fiees-15969.97
651853-Tibofarcio Camacho-4184.78
230656-Almor Caiado-21048.17
795868-Oliveira Carmona-20876.47
703234-Clarindo Areosa-13518.88
596269-Zulmira Becerra-10650.33
136181-Rodolfo Paz-1897.24
533107-Zungela Ipiranga-4007.23
953168-Emedlio Pimentel-12243.98
407271-Angilica Galante-5519.13
339169-Moaci Mendoa-7521.93
209016-Marilda Leio-17588.45
844759-Tabalipa Duarte-15475.92
741762-Spnia ou Sonia Guerreiro-1769.04
228388-Sofras Cuaresma-131.24
174912-Honorina Lira-17667.20
737410-Sofras Cuaresma-14943.73
844243-Ermelinda Quintela-12914.22
264595-Zulmira Becerra-18833.75
222583-Leonidas Mafra-9052.99
560342-Delfim Higuera-13386.38
895208-Heleedsa Marins-8313.64
224623-Delfina Garcia de Gondim-14642.08
887563-Danilo Olaio-8884.67
197750-Antonio Castelo-15946.95
911836-Basilio Pedroso-11163.86
175139-Jussara Varanda-10536.40
162476-Adelino Barra-6370.01
872513-Mercia Caeira-21032.65
496464-Letedcia Gago-9920.04
517222-Micaela Chavez-14625.64
764101-Tibefarcio Colao-8169.76
856250-Delfim Higuera-16212.01
540678-Delfina Perdigon-16850.88
645957-Carminda Morais-9488.02
875320-Celeste Duarte-7642.30
341388-Ermelinda Quintela-489.22
180343-Urbano Rodrigues-11400.84
957996-Almor Caiado-1434.73
627516-Trajano Fagundes-4309.70
596173-Quintiliano Sousa de Arronches-4070.03
719490-Nuno Balsemeo-8237.67
206483-Estanislau Beserra-12926.24
418262-Odete Vasques-12136.81
612943-Jorgina Bogalho-7638.43
502562-Polibe Olivares-21037.18
778383-Ermelinda Quintela-5575.76
210520-Oliveira Senchez-19147.56
159569-Quintino Alcantara-10242.31
373772-Ximena Castilho-19168.58
108417-Esperada Cardoso-12029.71
923846-Regina Barcellos-2212.07
715269-Cleusa Goes-19504.13
707308-Guaraci Damasceno-14123.48
820231-Dulce Froes-16429.61
735436-Emedlia Silvera-20894.63
881112-Delfina Garcia de Gondim-17207.58
948750-Basilio Pedroso-15904.85
617177-Adelina Quadros-1881.61
758907-Jorgina Bogalho-17645.35
870404-Dulce Froes-8691.59
985242-Zungela Ipiranga-11120.83
383874-Almor Caiado-11627.98
406198-Neeamia Arruda-4950.22
625598-Domingos Pas-7938.42
688029-Judite Damasceno-8605.78
985165-Artur Grillo-14594.59
858393-Gaudancio Fiees-4919.24
520761-Guaraci Damasceno-12455.41
413913-Odilia Bello-17163.00
165366-Artur Grillo-1876.87
403997-Judite Damasceno-13616.72
365649-Armanda Amorim-17670.56
740452-Delfina Perdigon-5489.79
979373-Domingos Pas-10686.04
695355-Augusta Paio-19422.92
874610-Melinda Roserio-9787.94
844576-Melinda Roserio-8831.68
299422-Tibefarcio Colao-14226.89
915069-Polibe Olivares-14741.03
581641-Augusta Paio-8067.85
923907-Heleedsa Marins-6237.05
349361-Jonatas Felgueiras-11460.71
573273-Manuel Capiperibe-293.28
335655-Camila Gabeira-8333.07
940385-Aludsio Sosa-9060.02
639252-Judite Damasceno-1893.93
797016-Henrique Bento-4042.38
878780-Leonidas Mafra-9935.37
18073-Regina Barcellos-21454.52
973801-Neeamia Arruda-13295.50
616368-Angilica Galante-15624.74
447369-Gaudancio Fiees-18088.24
334326-Ermelinda Quintela-10839.13
716140-Adelino Barra-20302.49
702059-Odilia Bello-11467.06
