196638-Quintino Alcantara-10480.95
962567-Guida Juca-12937.10
174644-Feledcia Peassego-3579.18
953275-Almerinda Palmeira-17538.26
318017-Danilo Olaio-1970.39
329872-Heleedsa Marins-20108.67
582646-Leonidas Mafra-5734.69
282745-Gaudancio Fiees-857.42
347191-Lurdes Cotrim-1363.82
457755-Guaraci Damasceno-14916.85
4687-Quintino Alcantara-3233.98
945665-Cassandra Varejo-16953.61
896465-Marilda Leio-20155.36
550407-Armindo Castalo-16530.05
273761-Gaudancio Fiees-2888.39
728688-Ubaldo Mainha-14151.69
716737-Polibe Olivares-4292.68
738895-Ximena Castilho-15215.51
66293-Delfim Higuera-5224.15
561554-Almerinda Palmeira-13628.72
563554-Carminda Morais-15488.77
660432-Honorina Lira-14223.39
983204-Rebeca Neto-19482.36
223468-Emedlia Silvera-9793.02
806233-Anind Zarco-15295.76
428031-Angelica Aranha-168.21
433478-Henrique Bento-8105.38
907854-Tibofarcio Camacho-17392.77
124351-Cleusa Goes-4108.59
238830-Micaela Chavez-18494.21
522232-Eurico Siqueira-6925.01
236603-Sofras Cuaresma-1356.78
795454-Urbano Rodrigues-14726.61
922485-Armindo Castalo-7664.01
570973-Flor Portella-19182.07
58933-Marilda Leio-8301.51
716239-Odete Vasques-16605.85
158241-Clara Alcantara-6880.09
151333-Odete Vasques-1456.50
75409-Clara Alcantara-1698.89
871874-Dulce Froes-1049.27
61767-Odilia Bello-2741.64
590752-Branco Saraba-2254.75
388000-Emedlia Silvera-19743.98
487566-Sofras Cuaresma-7314.85
163210-Mercia Caeira-10805.44
176326-Quintino Alcantara-1417.77
727297-Flor Portella-4919.35
71372-Armanda Amorim-15050.86
274843-Antonio Castelo-15561.62
415617-Trajano Fagundes-20080.34
57248-Dulce Froes-1146.12
376520-Clara Alcantara-15932.03
872989-Honorina Lira-19495.91
770124-Jorgina Bogalho-155.94
906862-Tarrataca Soares-16157.58
678529-Basilio Pedroso-3244.50
67659-Emedlio Pimentel-12471.78
949403-Esperada Cardoso-18282.49
997168-Adelino Barra-3310.40
933431-Esperada Cardoso-7524.56
796776-Flamednia Leiria-16375.13
823807-Joaquim Rufino-9744.06
326330-Lurdes Cotrim-2357.95
743181-Ermelinda Quintela-1880.82
645335-Oliveira Senchez-6019.89
608076-Estanislau Beserra-1601.84
347644-Adelina Quadros-5232.51
22280-Silvio Mata-2317.17
299670-Artur Grillo-15787.14
255223-Armanda Amorim-4391.64
244462-Andreia Moita-12129.61
361857-Clarindo Areosa-20267.85
681809-Domingos Pas-9586.27
625022-Armindo Castalo-21303.70
646359-Liana Cardim-19785.32
941734-Sofras Cuaresma-15836.56
687473-Clarindo Areosa-10875.21
127226-Micaela Chavez-9820.59
816012-Oliveira Carmona-6248.75
61378-Carminda Morais-15721.30
762590-Tabalipa Duarte-15368.91
493248-Basilio Pedroso-6337.69
629871-Delfim Higuera-4559.68
78153-Carminda Morais-8055.93
91866-Zulmira Becerra-16982.39
610577-Jorgina Bogalho-4546.97
312815-Jonatas Felgueiras-16943.85
266238-Estanislau Beserra-2220.28
936603-Ximena Castilho-133.60
837430-Delfim Higuera-13994.22
902149-Clara Alcantara-8377.01
443889-Oliveira Senchez-21131.94
286457-Tabalipa Duarte-19053.40
756184-Polibe Olivares-4499.35
112603-Cleusa Goes-825.43
517401-Angelica Aranha-14051.54
95006-Armindo Castalo-2829.83
193062-Guaraci Damasceno-15342.49
866554-Flor Portella-10957.02
415151-Cassandra Varejo-5460.56
610430-Tibofarcio Camacho-3244.74
696853-Anfnia Seixas-16439.18
68980-Honorina Lira-887.21
408620-Fulvio Villegas-9124.77
340797-Leonidas Mafra-19505.90
28221-Adelino Barra-8866.23
928979-Leonidas Mafra-14517.18
214192-Judite Damasceno-4384.28
527439-Leonidas Mafra-9762.94
201084-Tibofarcio Camacho-15427.09
812856-Danilo Olaio-15623.20
125347-Adelino Barra-4245.33
664509-Emiliana Foquio-9106.02
543860-Aludsio Sosa-13290.11
357905-Daniel Vieyra-3378.68
231216-Honorina Lira-17828.96
258017-Sidfnio Frois-18238.25
267475-Regina Barcellos-75.56
42182-Delfina Perdigon-8510.83
518740-Romo Paranage-728.01
567283-Moaci Mendoa-12196.13
89961-Almerinda Palmeira-8342.55
530663-Carminda Morais-10299.20
208549-Anind Zarco-15644.63
363453-Taercio Mafra-7403.38
624330-Jorgina Bogalho-7875.69
508582-Tibofarcio Camacho-9638.27
627566-Celeste Duarte-15520.94
690698-Tibofarcio Camacho-19391.37
531828-Ximena Castilho-10731.72
115162-Armanda Amorim-16477.39
18428-Oliveira Carmona-18398.29
454831-Ximena Castilho-11458.76
9702-Delfina Garcia de Gondim-18020.85
575310-Neuza Francia-4259.64
525156-Odilia Camello-11155.89
371109-Taercio Mafra-4626.14
558500-Flamednia Leiria-20662.41
817873-Oliveira Carmona-20699.32
643965-Ximena Castilho-14499.80
786914-Joaquim Rufino-17490.95
543226-Cassandra Varejo-2346.30
70952-Almor Caiado-16260.85
518249-Emedlia Silvera-3916.11
945329-Celeste Duarte-77.02
710098-Esperada Cardoso-8122.28
560123-Eurico Siqueira-2931.15
237069-Anfnia Seixas-2741.90
8413-Daniel Vieyra-7630.08
949039-Odilia Bello-4631.68
61337-Romo Paranage-15949.55
428941-Celeste Duarte-10830.15
141813-Filomena Barrios-19090.86
730616-Moaci Mendoa-8081.20
920251-Honorina Lira-14920.66
74173-Trajano Fagundes-4062.92
333063-Guaraci Damasceno-4858.52
205503-Almerinda Palmeira-5470.89
835413-Domingos Pas-21420.97
913490-Oliveira Senchez-7675.63
487914-Silvio Mata-17916.24
157497-Cleusa Goes-4195.70
973370-Mercia Caeira-6387.11
874012-Antonio Castelo-14474.42
901830-Edgar Carvalheiro-3528.79
115782-Jonatas Felgueiras-20759.53
73727-Henrique Bento-12898.02
146774-Artur Grillo-6045.24
409776-Flamednia Leiria-20863.59
196958-Armanda Amorim-13627.89
152285-Neeamia Arruda-20312.77
62672-Neuza Francia-15459.51
504048-Dulce Froes-1414.41
547367-Liana Cardim-15913.15
710878-Filomena Barrios-19922.17
456263-Zulmira Becerra-13518.49
493619-Branco Saraba-4824.39
383069-Tibofarcio Camacho-18245.86
878036-Dulce Froes-13575.12
986931-Armanda Amorim-19917.09
658795-Anind Zarco-20428.61
954965-Jorgina Bogalho-9584.40
337085-Neuza Francia-19689.44
946968-Guida Juca-5410.08
998879-Angelica Aranha-17777.19
929421-Henrique Bento-7286.91
329119-Celeste Duarte-20951.85
47388-Camila Gabeira-20680.84
289732-Flor Portella-11944.79
407915-Delfina Perdigon-16164.66
315427-Zungela Ipiranga-19541.24
532888-Feledcia Peassego-18515.96
701441-Sara Lameiras-17284.49
310810-Trajano Fagundes-759.13
751358-Emiliana Foquio-4889.11
924916-Ermelinda Quintela-11728.41
463618-Armanda Amorim-20561.70
441191-Anind Zarco-1337.34
4409-Tibefarcio Colao-3050.23
112106-Angilica Galante-3614.31
928535-Camila Gabeira-16657.47
122334-Taercio Mafra-19542.80
272527-Liana Cardim-6254.97
366810-Trajano Fagundes-21158.08
985256-Leonidas Mafra-15740.76
838742-Tibefarcio Colao-9925.17
383531-Zulmira Becerra-17229.81
629595-Trajano Fagundes-21004.22
476355-Carminda Morais-18019.43
801847-Lurdes Cotrim-375.71
109355-Romo Paranage-9465.00
57673-Tibofarcio Camacho-1291.38
118120-Feledcia Peassego-6914.11
144131-Judite Damasceno-3072.94
82676-Polibe Olivares-16652.79
932634-Mercia Caeira-1006.35
139779-Clarindo Areosa-6370.18
516877-Clarindo Areosa-10746.48
144022-Sidfnio Frois-13341.24
794594-Honorina Lira-4624.42
876507-Andreia Moita-760.68
705189-Trajano Fagundes-21291.26
846232-Anind Zarco-20307.60
484725-Sofras Cuaresma-15094.21
447831-Odete Vasques-6410.20
486908-Zulmira Becerra-20619.52
75927-Letedcia Gago-5026.08
645802-Melinda Roserio-1666.42
637725-Oliveira Carmona-11877.86
605161-Emedlia Silvera-17235.80
143864-Joaquim Rufino-21354.57
182369-Taercio Mafra-19416.78
359362-Anind Zarco-9490.41
463722-Jorgina Bogalho-19305.26
862260-Rebeca Neto-5594.90
540231-Eurico Siqueira-5574.93
369081-Rebeca Neto-7695.69
699639-Guida Juca-7712.15
710555-Eurico Siqueira-5153.69
845481-Quintiliano Sousa de Arronches-18039.74
422616-Clara Alcantara-3796.34
67668-Angilica Galante-14838.17
354662-Quintiliano Sousa de Arronches-9506.92
918070-Cassandra Varejo-16191.56
418376-Zulmira Becerra-16490.18
938255-Sofras Cuaresma-5580.75
926695-Zulmira Becerra-5944.44
39827-Moaci Mendoa-2476.60
278175-Lina Andrade-5923.70
818467-Mercia Caeira-8152.16
455297-Esperada Cardoso-13786.39
65171-Dulce Froes-2112.23
353278-Spnia ou Sonia Guerreiro-15895.77
198555-Branco Saraba-11020.12
85727-Angilica Galante-2579.46
978978-Delfina Garcia de Gondim-18458.85
848863-Domingos Pas-14853.28
804013-Cleusa Goes-18263.68
973880-Cleusa Goes-8881.62
28892-Judite Damasceno-20059.80
57859-Joaquim Rufino-4609.52
720997-Camila Gabeira-5360.17
233381-Guaraci Damasceno-20253.71
921668-Honorina Lira-15830.86
798637-Domingos Pas-11396.88
693844-Branco Saraba-12546.67
663872-Joaquim Rufino-3380.32
594154-Lurdes Cotrim-13068.36
184330-Henrique Bento-6373.26
144955-Angilica Galante-9923.55
321509-Lina Andrade-20284.13
652961-Sofras Cuaresma-19776.50
723331-Eurico Siqueira-1764.00
854579-Almerinda Palmeira-18703.21
30182-Tibefarcio Colao-886.37
152164-Armanda Amorim-7753.30
158782-Ubaldo Mainha-1935.11
9434-Flor Portella-10851.05
743947-Odilia Bello-15502.89
640498-Fulvio Villegas-339.50
550257-Polibe Olivares-16462.72
895817-Andreia Moita-13234.41
775054-Carminda Morais-14241.64
541246-Heleedsa Marins-13905.35
392949-Neuza Francia-1770.82
448593-Sara Lameiras-1892.34
687158-Nuno Balsemeo-11253.93
957505-Armanda Amorim-1759.19
63649-Emedlio Pimentel-13146.63
12174-Augusta Paio-11348.20
315619-Jussara Varanda-16423.70
548195-Anind Zarco-11507.82
947253-Eurico Siqueira-1960.73
746172-Jonatas Felgueiras-8036.15
382974-Jorgina Bogalho-2615.24
656294-Augusta Paio-18569.72
259978-Antonio Castelo-4021.76
374248-Feledcia Peassego-5301.33
109612-Carminda Morais-14001.97
650400-Zulmira Becerra-15022.09
141567-Emedlia Silvera-18285.25
904622-Tarrataca Soares-1125.90
625230-Heleedsa Marins-4795.37
26723-Anind Zarco-9582.83
963679-Basilio Pedroso-12716.66
498984-Nuno Balsemeo-15083.22
752100-Rodolfo Paz-2960.99
914511-Zulmira Becerra-21234.73
995653-Branco Saraba-16330.99
