587463-Neeamia Arruda-5047.28
990099-Polibe Olivares-1775.97
912099-Quintiliano Sousa de Arronches-5560.29
101759-Cassandra Varejo-4062.40
435811-Ermelinda Quintela-14777.59
774395-Polibe Olivares-10333.48
251828-Rebeca Neto-2475.38
191301-Telma Villalobos-2389.14
244380-Tibofarcio Camacho-15382.76
3836-Tabalipa Duarte-6374.95
813871-Liana Cardim-14830.82
35240-Lurdes Cotrim-15230.72
404368-Sara Lameiras-10265.01
893945-Artur Grillo-14376.02
262218-Moaci Mendoa-20640.38
987007-Emedlio Pimentel-8413.29
367583-Flor Portella-4670.97
201562-Mercia Caeira-11862.88
667052-Esperada Cardoso-17805.33
863143-Fulvio Villegas-20175.37
975884-Neuza Francia-1078.67
300743-Esperada Cardoso-17069.02
738856-Antonio Castelo-288.23
206191-Flor Portella-7207.17
913905-Emedlio Pimentel-13689.79
381172-Delfina Garcia de Gondim-17639.66
228660-Guida Juca-1668.50
97804-Celeste Duarte-8330.51
880772-Clarindo Areosa-15657.18
455810-Armanda Amorim-11280.98
41707-Odilia Camello-12880.74
709575-Daniel Vieyra-4028.91
965865-Gaudancio Fiees-7976.30
722677-Melinda Roserio-8808.36
598121-Guida Juca-10587.50
28010-Tibofarcio Camacho-6616.47
303090-Branco Saraba-7228.76
158838-Letedcia Gago-14899.74
819259-Ximena Castilho-10543.71
528734-Sofras Cuaresma-9543.43
291099-Andreia Moita-18273.85
920224-Odilia Bello-8616.11
967701-Flamednia Leiria-17275.77
837899-Angelica Aranha-11568.16
424763-Danilo Olaio-5869.30
990511-Camila Gabeira-20819.58
554854-Nuno Balsemeo-407.78
452671-Quintino Alcantara-13729.36
434580-Antonio Castelo-8222.72
618578-Jorgina Bogalho-1693.17
933215-Jussara Varanda-14316.08
805321-Elisa Themes-4220.45
84693-Delfina Garcia de Gondim-9950.12
510189-Joaquim Rufino-10318.50
771647-Ximena Castilho-12532.75
782973-Andreia Moita-8807.82
958043-Almerinda Palmeira-16783.37
9165-Telma Villalobos-16653.06
34143-Ermelinda Quintela-16747.40
946454-Nuno Balsemeo-11248.75
718260-Jussara Varanda-11438.09
874915-Marilda Leio-8721.30
158700-Odilia Camello-7127.31
535480-Emedlia Silvera-14632.42
727932-Anind Zarco-18570.13
366882-Urbano Rodrigues-8053.12
963987-Estanislau Beserra-11172.71
855041-Judite Damasceno-13682.80
682531-Adelino Barra-9008.30
782068-Quintino Alcantara-7692.93
715091-Camila Gabeira-19280.11
256346-Sidfnio Frois-19094.03
842409-Flamednia Leiria-15750.78
957335-Flamednia Leiria-5051.29
439022-Telma Villalobos-20038.57
195882-Antonio Viegas-2157.41
734778-Odilia Camello-15177.05
126918-Jorgina Bogalho-16555.60
341324-Polibe Olivares-20022.42
812577-Leonidas Mafra-12325.41
159255-Adelina Quadros-16632.56
830925-Antonio Viegas-4310.28
632909-Cassandra Varejo-1053.87
166252-Artur Grillo-16813.45
457495-Feledcia Peassego-18957.84
278285-Henrique Bento-20019.79
927947-Gaudancio Fiees-7332.31
848172-Emedlio Pimentel-19153.57
48125-Letedcia Gago-7712.15
594654-Zulmira Becerra-11230.28
950564-Rebeca Neto-19481.87
317765-Anfnia Seixas-955.34
603875-Heleedsa Marins-7321.67
483947-Cleusa Goes-2758.50
493461-Odilia Camello-1898.24
876703-Aludsio Sosa-1836.18
553-Moaci Mendoa-10625.46
345352-Trajano Fagundes-17963.94
766140-Heleedsa Marins-16059.59
429097-Delfina Perdigon-13920.70
