856871-Jussara Varanda-10168.52
510681-Andreia Moita-6027.56
480236-Estanislau Beserra-20323.56
423924-Jussara Varanda-7383.43
582493-Rodolfo Paz-4925.32
122925-Armindo Castalo-19984.74
974920-Odilia Camello-3702.32
500441-Odete Vasques-17106.12
595642-Taercio Mafra-18524.10
101890-Oliveira Carmona-7725.81
258538-Delfim Higuera-1569.54
983646-Branco Saraba-13364.65
917751-Odete Vasques-13334.62
532542-Ubaldo Mainha-11644.02
969297-Taercio Mafra-13489.85
243178-Jorgina Bogalho-14931.07
535643-Regina Barcellos-11165.99
738916-Liana Cardim-20620.99
745839-Edgar Carvalheiro-9332.11
189233-Moaci Mendoa-13003.13
80159-Nuno Balsemeo-7520.88
339838-Anind Zarco-8060.72
355207-Rodolfo Paz-3055.06
726279-Sara Lameiras-15420.38
956274-Delfim Higuera-9555.24
234520-Guaraci Damasceno-6062.83
986773-Eurico Siqueira-15258.19
970953-Oliveira Senchez-6440.74
83112-Honorina Lira-7688.20
121896-Nuno Balsemeo-7605.26
258314-Delfina Garcia de Gondim-6741.22
832885-Dulce Froes-15264.62
388993-Esperada Cardoso-17728.17
923226-Esperada Cardoso-12980.60
859510-Tabalipa Duarte-8405.33
296689-Basilio Pedroso-8927.67
841336-Estanislau Beserra-13057.54
501077-Rebeca Neto-3022.41
776352-Liana Cardim-17403.24
779155-Polibe Olivares-10299.63
95026-Joaquim Rufino-10912.21
498854-Carminda Morais-20810.54
490637-Filomena Barrios-10409.59
988127-Guaraci Damasceno-14518.82
40218-Delfim Higuera-1832.58
616206-Quintino Alcantara-7315.55
475622-Honorina Lira-2949.13
670461-Regina Barcellos-21374.14
455993-Nuno Balsemeo-18787.06
545352-Lina Andrade-4520.02
676828-Armanda Amorim-13050.97
446932-Almerinda Palmeira-8951.12
679152-Emedlio Pimentel-281.19
245046-Ximena Castilho-11571.07
870893-Neuza Francia-15291.47
545672-Delfina Garcia de Gondim-20997.64
503903-Quintiliano Sousa de Arronches-13277.56
216006-Judite Damasceno-7389.42
169286-Emedlio Pimentel-9773.98
963208-Odilia Camello-6644.60
719668-Tabalipa Duarte-5606.53
213333-Letedcia Gago-13401.00
277087-Augusta Paio-2342.96
299923-Jorgina Bogalho-11635.41
721421-Letedcia Gago-11309.28
401089-Carminda Morais-9769.90
151970-Jussara Varanda-15944.94
815399-Jorgina Bogalho-21417.10
892453-Ubaldo Mainha-7733.96
708541-Telma Villalobos-13773.59
10114-Melinda Roserio-6885.95
441254-Clarindo Areosa-19458.08
468111-Emiliana Foquio-7876.02
130379-Flamednia Leiria-4024.18
899832-Gaudancio Fiees-946.56
333042-Daniel Vieyra-475.73
46213-Jussara Varanda-9927.25
31321-Flamednia Leiria-10775.41
958826-Neeamia Arruda-2919.49
284721-Joaquim Rufino-5146.58
587063-Anind Zarco-501.84
542680-Urbano Rodrigues-2036.26
598503-Odilia Bello-18700.94
466390-Clarindo Areosa-7827.40
875033-Guaraci Damasceno-2461.57
728031-Armanda Amorim-17894.89
571056-Adelina Quadros-10700.52
424363-Emiliana Foquio-15630.83
503958-Oliveira Carmona-18600.42
979128-Anind Zarco-7908.43
329432-Jonatas Felgueiras-11674.30
274540-Leonidas Mafra-14029.73
544137-Cleusa Goes-6900.88
931661-Neeamia Arruda-14105.54
737036-Zungela Ipiranga-4329.46
681683-Clara Alcantara-10356.74
715747-Liana Cardim-20482.45
474847-Neeamia Arruda-7701.86
290734-Andreia Moita-14906.90
55860-Marilda Leio-6881.85
478768-Emedlio Pimentel-18875.14
85924-Tarrataca Soares-14823.05
834935-Fulvio Villegas-14183.66
677559-Flor Portella-3358.14
260529-Polibe Olivares-7845.51
516380-Estanislau Beserra-7117.49
261802-Antonio Castelo-1649.81
575714-Zungela Ipiranga-1369.72
489435-Trajano Fagundes-17052.63
445441-Carminda Morais-8668.35
761156-Daniel Vieyra-2838.30
23644-Polibe Olivares-64.33
259233-Basilio Pedroso-2382.67
582778-Branco Saraba-7019.45
977022-Judite Damasceno-327.22
316998-Quintino Alcantara-6242.38
847090-Henrique Bento-21185.00
138353-Celeste Duarte-12905.92
615152-Quintino Alcantara-18510.82
297797-Ubaldo Mainha-13650.43
165416-Elisa Themes-6233.21
63794-Guida Juca-7933.45
267470-Ximena Castilho-11306.04
869639-Leonidas Mafra-1777.03
769256-Guida Juca-14926.80
736063-Camila Gabeira-12135.13
451741-Flamednia Leiria-3758.77
148391-Rodolfo Paz-10280.15
817212-Angilica Galante-17926.30
781642-Danilo Olaio-20129.28
64838-Adelino Barra-2296.10
694623-Odilia Bello-4776.74
240571-Cleusa Goes-20919.41
570321-Angilica Galante-483.27
845079-Melinda Roserio-11250.96
841728-Carminda Morais-18118.32
592998-Neeamia Arruda-6728.00
844341-Cassandra Varejo-204.65
204175-Oliveira Senchez-21392.82
161934-Delfina Garcia de Gondim-1445.80
163061-Zulmira Becerra-13456.45
1414-Lurdes Cotrim-17313.40
184287-Guaraci Damasceno-13080.97
487263-Odilia Bello-3141.83
976770-Angelica Aranha-15990.29
178886-Almerinda Palmeira-9003.87
894258-Eurico Siqueira-9899.80
486327-Clara Alcantara-18388.24
609799-Neuza Francia-4425.44
363474-Jonatas Felgueiras-7997.06
561503-Emedlia Silvera-21278.70
885653-Sofras Cuaresma-7553.87
883366-Antonio Viegas-17705.71
822114-Letedcia Gago-20090.59
604238-Emedlia Silvera-16485.52
482644-Feledcia Peassego-342.47
709747-Ximena Castilho-5271.41
253639-Ubaldo Mainha-13556.28
746361-Neuza Francia-14002.38
554181-Polibe Olivares-3061.17
426038-Urbano Rodrigues-861.95
459473-Sara Lameiras-9700.81
349110-Andreia Moita-12879.64
851872-Flamednia Leiria-9843.03
21729-Almor Caiado-1074.23
252816-Heleedsa Marins-19299.06
870509-Judite Damasceno-18211.32
467807-Ermelinda Quintela-4539.02
405402-Cassandra Varejo-21436.48
403823-Quintiliano Sousa de Arronches-4397.19
592299-Tarrataca Soares-19291.45
682947-Judite Damasceno-15151.21
160831-Ermelinda Quintela-9289.86
726588-Emedlia Silvera-14788.38
867483-Clarindo Areosa-13313.76
560286-Angilica Galante-20856.29
16588-Tibofarcio Camacho-3470.16
614294-Artur Grillo-14004.84
839731-Henrique Bento-6424.05
335403-Cassandra Varejo-6628.09
432080-Polibe Olivares-1139.18
723969-Anfnia Seixas-11236.01
613075-Aludsio Sosa-1522.78
466413-Cassandra Varejo-11180.05
138800-Neeamia Arruda-17348.72
234475-Emiliana Foquio-15039.49
752434-Anfnia Seixas-4594.82
402425-Flamednia Leiria-12760.96
470791-Regina Barcellos-10144.52
703894-Estanislau Beserra-10747.88
655914-Henrique Bento-17632.20
269243-Lina Andrade-10184.60
519704-Adelino Barra-19580.73
756409-Domingos Pas-15750.56
347581-Ubaldo Mainha-8537.11
314950-Zungela Ipiranga-20489.45
427684-Telma Villalobos-6482.14
72646-Delfina Garcia de Gondim-6201.33
201289-Ximena Castilho-2711.20
251721-Celeste Duarte-17448.24
595061-Danilo Olaio-11859.96
372663-Adelino Barra-5237.82
267475-Almor Caiado-12733.01
923976-Nuno Balsemeo-685.74
101458-Ermelinda Quintela-5359.22
667406-Dulce Froes-18592.37
182105-Liana Cardim-18291.81
694847-Branco Saraba-7927.70
303575-Mercia Caeira-1504.87
880724-Manuel Capiperibe-5447.39
245346-Odilia Bello-4908.51
345872-Quintiliano Sousa de Arronches-1027.40
422625-Estanislau Beserra-5040.07
572328-Anfnia Seixas-18469.31
810450-Lurdes Cotrim-9545.49
243087-Artur Grillo-17092.16
653770-Aludsio Sosa-13199.15
762230-Eurico Siqueira-2461.26
36299-Camila Gabeira-19114.29
914066-Neeamia Arruda-8878.27
132129-Rodolfo Paz-3975.88
862753-Anind Zarco-564.51
858831-Antonio Viegas-8828.73
189122-Eurico Siqueira-5399.62
577331-Delfina Garcia de Gondim-6027.72
403744-Oliveira Senchez-19250.15
983311-Quintino Alcantara-1131.85
743715-Delfina Perdigon-1104.64
790308-Anind Zarco-3895.00
324378-Antonio Castelo-12214.14
597647-Armanda Amorim-560.63
721528-Tarrataca Soares-2269.26
101388-Eurico Siqueira-1103.01
488350-Odilia Bello-9794.90
806390-Judite Damasceno-7555.84
189670-Oliveira Senchez-21219.88
305597-Mercia Caeira-4954.87
336276-Feledcia Peassego-20002.31
9257-Mercia Caeira-9865.38
111765-Angilica Galante-18998.62
557228-Delfina Garcia de Gondim-9899.76
590992-Almerinda Palmeira-8952.14
75282-Lina Andrade-17183.15
432722-Tibofarcio Camacho-18158.03
268346-Judite Damasceno-8871.26
876252-Artur Grillo-20343.16
15880-Sidfnio Frois-5241.38
340999-Clara Alcantara-19714.74
130193-Cassandra Varejo-1800.00
419760-Urbano Rodrigues-13561.12
123767-Carminda Morais-20926.69
407047-Oliveira Carmona-6397.76
616001-Micaela Chavez-13488.51
125813-Leonidas Mafra-8078.00
125605-Trajano Fagundes-17040.69
225411-Zungela Ipiranga-3454.61
828977-Almerinda Palmeira-8044.77
403262-Elisa Themes-10468.18
241036-Celeste Duarte-11829.48
132609-Oliveira Senchez-16023.68
886005-Antonio Viegas-13790.08
615225-Tarrataca Soares-5689.32
590851-Zulmira Becerra-15465.48
365217-Elisa Themes-1271.90
975727-Augusta Paio-15853.15
712421-Henrique Bento-2340.57
281320-Melinda Roserio-3428.86
504374-Domingos Pas-2598.06
201507-Ermelinda Quintela-19850.47
898328-Jonatas Felgueiras-626.96
222956-Filomena Barrios-6875.82
732618-Rebeca Neto-5547.13
18307-Moaci Mendoa-5593.04
671657-Nuno Balsemeo-2721.86
125390-Delfim Higuera-15091.62
164206-Guaraci Damasceno-8623.90
664356-Ximena Castilho-3661.88
158072-Anfnia Seixas-5446.92
470003-Antonio Viegas-12218.94
246692-Carminda Morais-4303.09
391549-Emiliana Foquio-16735.31
61043-Danilo Olaio-6017.80
662223-Nuno Balsemeo-23.15
327441-Emiliana Foquio-12239.87
