478768-Emedlio Pimentel-18875.14
85924-Tarrataca Soares-14823.05
834935-Fulvio Villegas-14183.66
677559-Flor Portella-3358.14
260529-Polibe Olivares-7845.51
516380-Estanislau Beserra-7117.49
261802-Antonio Castelo-1649.81
575714-Zungela Ipiranga-1369.72
489435-Trajano Fagundes-17052.63
445441-Carminda Morais-8668.35
761156-Daniel Vieyra-2838.30
23644-Polibe Olivares-64.33
259233-Basilio Pedroso-2382.67
582778-Branco Saraba-7019.45
977022-Judite Damasceno-327.22
316998-Quintino Alcantara-6242.38
847090-Henrique Bento-21185.00
138353-Celeste Duarte-12905.92
615152-Quintino Alcantara-18510.82
297797-Ubaldo Mainha-13650.43
165416-Elisa Themes-6233.21
63794-Guida Juca-7933.45
267470-Ximena Castilho-11306.04
869639-Leonidas Mafra-1777.03
769256-Guida Juca-14926.80
736063-Camila Gabeira-12135.13
451741-Flamednia Leiria-3758.77
148391-Rodolfo Paz-10280.15
817212-Angilica Galante-17926.30
781642-Danilo Olaio-20129.28
64838-Adelino Barra-2296.10
694623-Odilia Bello-4776.74
240571-Cleusa Goes-20919.41
570321-Angilica Galante-483.27
845079-Melinda Roserio-11250.96
841728-Carminda Morais-18118.32
592998-Neeamia Arruda-6728.00
844341-Cassandra Varejo-204.65
204175-Oliveira Senchez-21392.82
161934-Delfina Garcia de Gondim-1445.80
163061-Zulmira Becerra-13456.45
1414-Lurdes Cotrim-17313.40
184287-Guaraci Damasceno-13080.97
487263-Odilia Bello-3141.83
976770-Angelica Aranha-15990.29
178886-Almerinda Palmeira-9003.87
894258-Eurico Siqueira-9899.80
486327-Clara Alcantara-18388.24
609799-Neuza Francia-4425.44
363474-Jonatas Felgueiras-7997.06
561503-Emedlia Silvera-21278.70
885653-Sofras Cuaresma-7553.87
883366-Antonio Viegas-17705.71
822114-Letedcia Gago-20090.59
604238-Emedlia Silvera-16485.52
482644-Feledcia Peassego-342.47
709747-Ximena Castilho-5271.41
253639-Ubaldo Mainha-13556.28
746361-Neuza Francia-14002.38
554181-Polibe Olivares-3061.17
426038-Urbano Rodrigues-861.95
459473-Sara Lameiras-9700.81
349110-Andreia Moita-12879.64
851872-Flamednia Leiria-9843.03
21729-Almor Caiado-1074.23
252816-Heleedsa Marins-19299.06
870509-Judite Damasceno-18211.32
467807-Ermelinda Quintela-4539.02
405402-Cassandra Varejo-21436.48
403823-Quintiliano Sousa de Arronches-4397.19
592299-Tarrataca Soares-19291.45
682947-Judite Damasceno-15151.21
160831-Ermelinda Quintela-9289.86
726588-Emedlia Silvera-14788.38
867483-Clarindo Areosa-13313.76
560286-Angilica Galante-20856.29
16588-Tibofarcio Camacho-3470.16
614294-Artur Grillo-14004.84
839731-Henrique Bento-6424.05
335403-Cassandra Varejo-6628.09
432080-Polibe Olivares-1139.18
723969-Anfnia Seixas-11236.01
613075-Aludsio Sosa-1522.78
466413-Cassandra Varejo-11180.05
138800-Neeamia Arruda-17348.72
234475-Emiliana Foquio-15039.49
752434-Anfnia Seixas-4594.82
402425-Flamednia Leiria-12760.96
470791-Regina Barcellos-10144.52
703894-Estanislau Beserra-10747.88
655914-Henrique Bento-17632.20
269243-Lina Andrade-10184.60
519704-Adelino Barra-19580.73
756409-Domingos Pas-15750.56
347581-Ubaldo Mainha-8537.11
314950-Zungela Ipiranga-20489.45
427684-Telma Villalobos-6482.14
72646-Delfina Garcia de Gondim-6201.33
201289-Ximena Castilho-2711.20
251721-Celeste Duarte-17448.24
