609591-Urbano Rodrigues-4450.54
206839-Angilica Galante-5089.26
607445-Neeamia Arruda-18256.78
96581-Fulvio Villegas-18563.78
726949-Liana Cardim-13118.25
902747-Edgar Carvalheiro-18888.04
788922-Cassandra Varejo-13526.55
837760-Branco Saraba-17340.08
725072-Fulvio Villegas-10435.86
724338-Carminda Morais-6407.00
410242-Ermelinda Quintela-2528.26
6738-Odete Vasques-10150.33
466146-Jorgina Bogalho-10796.40
132367-Delfina Perdigon-12547.37
270365-Augusta Paio-1479.80
135276-Antonio Viegas-6868.83
344008-Elisa Themes-5641.88
75581-Odilia Camello-4515.42
287998-Guida Juca-20182.67
903395-Tabalipa Duarte-9385.08
283266-Odete Vasques-12259.18
200904-Gaudancio Fiees-16869.25
560775-Artur Grillo-14989.07
114980-Basilio Pedroso-19750.40
563062-Moaci Mendoa-1408.26
836477-Melinda Roserio-4039.62
430587-Emedlia Silvera-15263.06
195973-Carminda Morais-17493.81
485898-Danilo Olaio-5931.86
361346-Cleusa Goes-15190.89
452986-Antonio Castelo-15333.72
854058-Tarrataca Soares-10810.90
804104-Micaela Chavez-6711.67
910571-Anfnia Seixas-21292.82
753687-Branco Saraba-8693.61
576753-Almerinda Palmeira-3507.14
798869-Guida Juca-3146.61
692605-Oliveira Carmona-21138.57
644776-Zungela Ipiranga-10398.59
380454-Nuno Balsemeo-2837.37
140330-Jonatas Felgueiras-4861.90
818294-Henrique Bento-19000.44
421083-Carminda Morais-12453.64
963901-Celeste Duarte-17492.75
546410-Emedlio Pimentel-3715.45
955327-Delfina Perdigon-15551.22
842282-Lurdes Cotrim-16919.21
34930-Camila Gabeira-13461.29
125204-Odilia Camello-9692.91
917455-Delfim Higuera-4321.87
798726-Cassandra Varejo-6733.28
568634-Nuno Balsemeo-7711.46
428085-Daniel Vieyra-2650.83
970556-Almor Caiado-6540.47
794677-Neuza Francia-17655.94
496214-Estanislau Beserra-15930.65
427995-Rebeca Neto-5404.24
504256-Cleusa Goes-1339.75
953674-Heleedsa Marins-21231.01
778499-Delfina Garcia de Gondim-6585.34
340079-Esperada Cardoso-15543.33
91399-Taercio Mafra-20489.02
402869-Emiliana Foquio-10758.46
594947-Oliveira Carmona-14538.17
61850-Quintiliano Sousa de Arronches-10171.28
589971-Liana Cardim-6351.40
239710-Clarindo Areosa-6585.68
326289-Neeamia Arruda-14020.73
58665-Odete Vasques-6845.43
81614-Delfina Perdigon-16933.21
808294-Micaela Chavez-4171.77
346333-Emedlio Pimentel-16372.69
546727-Tibofarcio Camacho-8111.88
346913-Jussara Varanda-13317.83
678088-Heleedsa Marins-6533.61
119365-Jonatas Felgueiras-12949.51
658776-Liana Cardim-5167.07
105899-Neeamia Arruda-105.50
528368-Judite Damasceno-11226.09
84091-Telma Villalobos-5272.07
657821-Andreia Moita-8040.15
597338-Odete Vasques-4788.78
438574-Angelica Aranha-3229.41
642318-Feledcia Peassego-6012.88
662773-Danilo Olaio-19679.66
327322-Emiliana Foquio-18936.01
648531-Joaquim Rufino-19712.60
21690-Antonio Castelo-5938.82
500111-Spnia ou Sonia Guerreiro-429.27
4765-Quintiliano Sousa de Arronches-2940.11
863207-Lurdes Cotrim-20056.69
382812-Dulce Froes-2897.83
687683-Regina Barcellos-14902.21
697042-Taercio Mafra-2403.80
5835-Ximena Castilho-1415.59
159561-Basilio Pedroso-634.03
780895-Lina Andrade-6410.51
625899-Angelica Aranha-3855.89
504510-Celeste Duarte-6990.89
508097-Delfim Higuera-1186.11
