118112-Armanda Amorim-8851.55
925154-Nuno Balsemeo-4682.57
865404-Rebeca Neto-15244.05
769306-Silvio Mata-7617.61
689152-Aludsio Sosa-12693.10
205610-Quintino Alcantara-21323.24
845765-Adelina Quadros-16877.92
424182-Flamednia Leiria-9075.51
337978-Delfim Higuera-7391.70
833207-Celeste Duarte-21358.13
181432-Jonatas Felgueiras-144.47
118896-Camila Gabeira-13323.72
636418-Oliveira Carmona-5367.54
851897-Feledcia Peassego-5725.23
557535-Manuel Capiperibe-1307.29
992340-Romo Paranage-20079.34
727270-Almerinda Palmeira-932.97
76370-Romo Paranage-3297.21
620413-Delfina Garcia de Gondim-5900.59
958992-Quintino Alcantara-14918.92
883066-Eurico Siqueira-13755.90
962374-Anind Zarco-5702.25
298893-Regina Barcellos-14278.61
556719-Leonidas Mafra-11962.30
575361-Eurico Siqueira-4853.04
420575-Sofras Cuaresma-2158.12
105909-Ubaldo Mainha-14615.40
583412-Spnia ou Sonia Guerreiro-8551.32
128194-Antonio Viegas-6512.69
359274-Tabalipa Duarte-17322.28
403053-Almerinda Palmeira-19211.11
410345-Armindo Castalo-21030.73
789954-Ubaldo Mainha-5988.89
923634-Oliveira Carmona-10804.45
97045-Tibefarcio Colao-145.37
482985-Honorina Lira-8179.58
836122-Rebeca Neto-13280.64
969517-Romo Paranage-10851.63
340057-Zulmira Becerra-9968.08
769367-Leonidas Mafra-18021.67
607007-Sofras Cuaresma-13420.87
34409-Silvio Mata-17784.97
203175-Regina Barcellos-1488.03
233370-Fulvio Villegas-12847.27
9596-Odilia Bello-14638.24
89388-Odilia Camello-8168.23
981439-Emedlio Pimentel-13516.59
929371-Antonio Castelo-10141.45
9553-Edgar Carvalheiro-1340.02
875103-Regina Barcellos-14487.71
968661-Edgar Carvalheiro-78.94
689646-Domingos Pas-14819.29
516784-Romo Paranage-21461.32
716264-Neeamia Arruda-12808.82
877510-Joaquim Rufino-824.08
575882-Odilia Camello-11834.97
748307-Micaela Chavez-5049.95
984344-Quintino Alcantara-16559.24
383755-Guida Juca-11964.50
107440-Sofras Cuaresma-19253.25
514672-Rodolfo Paz-12798.10
8504-Esperada Cardoso-11810.16
31987-Odete Vasques-15845.33
342369-Daniel Vieyra-9417.66
895990-Polibe Olivares-3331.59
789895-Augusta Paio-19207.35
507068-Fulvio Villegas-800.00
883633-Zungela Ipiranga-4339.84
921811-Letedcia Gago-19203.68
478011-Carminda Morais-12409.92
288896-Filomena Barrios-1980.23
510529-Augusta Paio-1335.48
177320-Odilia Camello-6785.80
976091-Urbano Rodrigues-19819.22
689268-Regina Barcellos-10333.35
293744-Zungela Ipiranga-14441.24
395259-Daniel Vieyra-18836.31
7957-Ubaldo Mainha-15560.31
61208-Odilia Bello-14754.70
564565-Filomena Barrios-17759.48
425836-Sara Lameiras-17587.53
580978-Rodolfo Paz-14317.80
785046-Moaci Mendoa-1294.73
522119-Odilia Camello-21454.49
24815-Clara Alcantara-1706.55
203348-Artur Grillo-7299.49
633599-Danilo Olaio-7118.60
547524-Cleusa Goes-6213.85
962171-Silvio Mata-21144.46
261295-Angilica Galante-20925.27
552337-Delfina Garcia de Gondim-3334.69
866321-Dulce Froes-2645.66
244454-Judite Damasceno-9193.51
202373-Cassandra Varejo-17348.74
82446-Jussara Varanda-15054.15
813368-Emiliana Foquio-5641.34
185034-Polibe Olivares-8317.68
704512-Polibe Olivares-2408.32
255437-Emedlia Silvera-13727.94
792323-Armanda Amorim-18530.55
