130549-Zungela Ipiranga-16109.32
151576-Gaudancio Fiees-11698.52
751475-Delfina Garcia de Gondim-7957.98
918543-Ubaldo Mainha-618.50
711644-Danilo Olaio-14693.72
243718-Emiliana Foquio-228.23
895068-Trajano Fagundes-9346.90
669835-Aludsio Sosa-20722.51
847499-Cassandra Varejo-19297.63
232447-Guaraci Damasceno-1018.09
426549-Emiliana Foquio-12159.40
864049-Silvio Mata-14310.91
434447-Tabalipa Duarte-2633.59
747828-Clara Alcantara-19082.78
410923-Fulvio Villegas-18515.05
632649-Domingos Pas-7782.66
82183-Armanda Amorim-12961.61
333929-Nuno Balsemeo-13048.31
858385-Anind Zarco-17236.78
340357-Telma Villalobos-7804.27
839656-Odilia Bello-1723.70
270590-Rebeca Neto-17432.34
69776-Melinda Roserio-6391.85
183016-Feledcia Peassego-11919.32
146090-Micaela Chavez-8888.60
481536-Lina Andrade-6230.09
639966-Odete Vasques-5356.07
4430-Neeamia Arruda-18789.41
135953-Mercia Caeira-7133.16
30961-Antonio Castelo-10176.56
251403-Letedcia Gago-11314.96
411476-Aludsio Sosa-5182.83
179107-Zungela Ipiranga-3478.69
305771-Odilia Camello-14160.52
226364-Odete Vasques-16371.98
168882-Odete Vasques-3331.96
377042-Leonidas Mafra-18218.36
745913-Oliveira Carmona-5953.57
978034-Oliveira Senchez-8734.93
888201-Emiliana Foquio-2910.40
225213-Almerinda Palmeira-10972.91
448322-Lina Andrade-2132.19
905227-Gaudancio Fiees-12173.98
63078-Adelino Barra-782.20
153351-Guaraci Damasceno-8514.47
619675-Delfina Garcia de Gondim-10936.16
94698-Delfina Garcia de Gondim-15829.93
176956-Liana Cardim-14682.55
716730-Filomena Barrios-20542.33
88757-Tibofarcio Camacho-7696.38
600692-Tibefarcio Colao-5423.79
641246-Cassandra Varejo-15448.28
448306-Anind Zarco-12252.49
640704-Mercia Caeira-2228.28
401458-Telma Villalobos-18769.82
360305-Guida Juca-6341.18
515133-Ubaldo Mainha-14122.13
538614-Lina Andrade-4519.06
402473-Liana Cardim-17796.23
275367-Liana Cardim-18137.11
188259-Quintiliano Sousa de Arronches-15718.28
908903-Micaela Chavez-379.86
332423-Sidfnio Frois-20254.34
670631-Rodolfo Paz-14395.91
745650-Rodolfo Paz-18439.93
751141-Letedcia Gago-5808.69
888689-Romo Paranage-1309.01
535336-Melinda Roserio-1684.40
953348-Delfim Higuera-12888.42
120759-Guida Juca-706.34
409419-Lurdes Cotrim-10998.22
109948-Cleusa Goes-11787.31
121613-Feledcia Peassego-5205.80
415049-Mercia Caeira-3427.67
20630-Henrique Bento-7235.12
640763-Estanislau Beserra-3667.80
378772-Armindo Castalo-3661.85
329355-Adelino Barra-1572.37
702171-Artur Grillo-12081.90
697598-Taercio Mafra-12783.11
920747-Silvio Mata-11372.37
488660-Delfina Garcia de Gondim-13273.46
42585-Gaudancio Fiees-12459.84
547178-Guida Juca-21183.99
159497-Joaquim Rufino-20199.36
764648-Ximena Castilho-6800.94
755639-Sara Lameiras-8804.72
647604-Letedcia Gago-18858.02
979157-Edgar Carvalheiro-20005.04
152771-Augusta Paio-8567.18
476517-Cassandra Varejo-2681.55
622303-Oliveira Carmona-18066.44
499032-Eurico Siqueira-12152.02
471830-Anind Zarco-5192.66
211330-Letedcia Gago-11584.25
979534-Nuno Balsemeo-6817.06
11231-Anind Zarco-18174.62
744166-Adelina Quadros-4016.26
197324-Melinda Roserio-8976.05
873108-Danilo Olaio-2992.74
