450818-Guida Juca-3454.61
910869-Antonio Castelo-10939.88
513311-Clara Alcantara-6301.60
710718-Melinda Roserio-1601.37
680363-Danilo Olaio-6253.53
982998-Guida Juca-5425.59
526038-Adelina Quadros-744.50
262662-Cleusa Goes-15003.53
498040-Odete Vasques-1477.95
844933-Leonidas Mafra-10059.85
532529-Guaraci Damasceno-19464.36
566577-Neeamia Arruda-21193.47
660089-Armindo Castalo-17913.77
107011-Esperada Cardoso-1866.04
781276-Emiliana Foquio-9932.84
830454-Gaudancio Fiees-5327.83
889803-Neeamia Arruda-19063.09
308355-Tibofarcio Camacho-14450.88
944831-Delfim Higuera-14585.87
629403-Delfim Higuera-5409.48
51813-Trajano Fagundes-5794.80
418861-Rodolfo Paz-10110.47
289682-Edgar Carvalheiro-15967.07
320795-Adelino Barra-4973.30
488433-Sofras Cuaresma-3346.28
525219-Mercia Caeira-18944.58
121417-Estanislau Beserra-16608.64
167139-Danilo Olaio-9156.89
566030-Adelino Barra-17796.34
276510-Armindo Castalo-16887.80
972237-Almerinda Palmeira-21058.32
620383-Neuza Francia-12287.67
131816-Polibe Olivares-1515.73
536200-Ubaldo Mainha-16518.94
544253-Filomena Barrios-15948.98
836338-Ubaldo Mainha-6059.40
428157-Aludsio Sosa-13750.62
329396-Cassandra Varejo-18292.29
835422-Augusta Paio-13213.11
444275-Camila Gabeira-21465.88
888-Emiliana Foquio-10160.76
554142-Marilda Leio-20236.96
154263-Oliveira Carmona-8463.45
461339-Edgar Carvalheiro-14228.81
615086-Clarindo Areosa-17924.25
396780-Esperada Cardoso-8007.78
153227-Carminda Morais-11282.06
774231-Telma Villalobos-3860.52
600851-Flor Portella-194.03
577919-Anind Zarco-14868.48
851189-Antonio Viegas-10343.65
472475-Gaudancio Fiees-13889.19
860638-Honorina Lira-14140.73
821712-Almor Caiado-5590.51
192844-Lurdes Cotrim-14686.66
978819-Jonatas Felgueiras-1825.79
704858-Lurdes Cotrim-7427.33
8729-Manuel Capiperibe-5150.23
541219-Ermelinda Quintela-4151.40
417416-Eurico Siqueira-752.35
881124-Edgar Carvalheiro-11840.86
937286-Camila Gabeira-15525.58
689933-Mercia Caeira-2619.35
303584-Jussara Varanda-17587.57
314439-Rodolfo Paz-12524.66
750400-Spnia ou Sonia Guerreiro-3379.61
480509-Cassandra Varejo-17686.66
932922-Ermelinda Quintela-4771.91
920684-Leonidas Mafra-4402.49
828273-Heleedsa Marins-8316.66
583614-Romo Paranage-16505.47
220298-Tarrataca Soares-17654.85
776116-Emedlia Silvera-10526.91
921683-Flor Portella-3585.11
634690-Zulmira Becerra-11058.25
13871-Clarindo Areosa-7920.92
972358-Leonidas Mafra-2180.89
663378-Clara Alcantara-5120.22
893868-Anfnia Seixas-20599.43
264678-Lurdes Cotrim-5862.87
870079-Tarrataca Soares-18728.71
561261-Almor Caiado-5116.07
327051-Honorina Lira-389.00
544438-Emiliana Foquio-18688.22
518782-Anfnia Seixas-1179.73
475632-Sofras Cuaresma-5499.86
877455-Celeste Duarte-11999.59
978165-Regina Barcellos-6631.39
270139-Oliveira Carmona-16020.33
810949-Taercio Mafra-1368.13
534362-Delfina Garcia de Gondim-6376.84
805151-Lina Andrade-21412.45
76954-Lina Andrade-19050.88
556057-Ubaldo Mainha-1911.49
29692-Cassandra Varejo-9056.68
361353-Basilio Pedroso-10061.43
268738-Clara Alcantara-8305.37
781412-Angilica Galante-0.32
315944-Antonio Castelo-11393.02
309370-Taercio Mafra-3936.29
