376613-Odete Vasques-21087.10
226376-Flor Portella-3211.92
458395-Quintino Alcantara-8773.40
484697-Spnia ou Sonia Guerreiro-12475.29
288647-Spnia ou Sonia Guerreiro-5842.43
499259-Spnia ou Sonia Guerreiro-3140.55
70608-Basilio Pedroso-20624.18
802115-Filomena Barrios-11832.95
232717-Quintiliano Sousa de Arronches-5000.15
21807-Ximena Castilho-14009.12
37580-Odilia Camello-19682.89
117551-Domingos Pas-7970.32
805748-Augusta Paio-19564.90
269078-Micaela Chavez-7964.91
701217-Ermelinda Quintela-7952.96
867104-Andreia Moita-4423.12
217692-Tibofarcio Camacho-1938.99
888508-Danilo Olaio-5577.01
632602-Dulce Froes-8949.34
977731-Andreia Moita-9159.55
714228-Trajano Fagundes-20729.93
193553-Letedcia Gago-20506.27
348083-Neuza Francia-9799.49
875451-Delfina Perdigon-16702.18
415416-Ermelinda Quintela-19469.19
715205-Jonatas Felgueiras-9003.03
70010-Emedlio Pimentel-6840.37
358902-Dulce Froes-6504.42
459480-Ubaldo Mainha-17970.74
574963-Artur Grillo-935.68
602868-Micaela Chavez-17222.83
952514-Carminda Morais-2019.92
817571-Oliveira Carmona-1488.57
205492-Jussara Varanda-2927.32
84621-Andreia Moita-18811.48
776310-Armanda Amorim-12033.79
263466-Antonio Castelo-7209.66
165754-Nuno Balsemeo-3488.41
768937-Sara Lameiras-12703.00
305732-Delfim Higuera-18378.75
314298-Joaquim Rufino-13049.95
832215-Domingos Pas-16399.47
493387-Flamednia Leiria-14922.81
103561-Anind Zarco-6710.03
448168-Eurico Siqueira-21200.88
228425-Domingos Pas-1923.80
311438-Domingos Pas-17726.44
947601-Sidfnio Frois-6123.26
25424-Nuno Balsemeo-15640.95
177507-Carminda Morais-12279.17
414287-Emedlio Pimentel-5197.47
449991-Cassandra Varejo-15125.80
478173-Delfim Higuera-19620.73
846916-Danilo Olaio-7006.93
464376-Zulmira Becerra-15461.41
745969-Regina Barcellos-28.86
406899-Regina Barcellos-12661.97
549881-Emedlia Silvera-17251.45
533817-Regina Barcellos-20301.70
818187-Anfnia Seixas-18308.64
10658-Emedlio Pimentel-12207.95
197746-Dulce Froes-19222.45
331966-Armindo Castalo-19897.23
779945-Jonatas Felgueiras-15720.86
714471-Carminda Morais-9620.67
769221-Anind Zarco-20408.13
204153-Emiliana Foquio-17167.36
282734-Artur Grillo-7108.02
203421-Camila Gabeira-15193.36
735153-Romo Paranage-11176.71
183662-Edgar Carvalheiro-13436.82
379599-Danilo Olaio-13548.79
671530-Tibefarcio Colao-6437.28
552844-Delfim Higuera-7025.08
643452-Estanislau Beserra-547.38
875172-Odete Vasques-8205.08
992780-Jussara Varanda-10447.12
307714-Carminda Morais-3525.11
800281-Jorgina Bogalho-15037.14
463199-Daniel Vieyra-17674.49
23033-Aludsio Sosa-2241.49
861366-Rodolfo Paz-16885.29
977244-Cleusa Goes-12307.17
332488-Micaela Chavez-8127.86
774016-Quintino Alcantara-11354.29
798907-Armanda Amorim-15973.05
153130-Zungela Ipiranga-538.14
243585-Daniel Vieyra-20661.21
652857-Cassandra Varejo-7694.38
914762-Cassandra Varejo-3414.18
847487-Sara Lameiras-4654.41
978043-Ximena Castilho-2148.18
987824-Taercio Mafra-15117.96
241501-Emiliana Foquio-20511.28
2666-Delfim Higuera-12574.18
502144-Flor Portella-927.34
509156-Feledcia Peassego-5978.87
744208-Andreia Moita-1946.47
490033-Adelino Barra-17413.00
466405-Ximena Castilho-3147.31
