750563-Danilo Olaio-245.66
331756-Melinda Roserio-4723.06
467597-Cleusa Goes-9716.00
712795-Clarindo Areosa-14158.39
91607-Antonio Viegas-9101.93
626981-Anfnia Seixas-7318.81
345191-Feledcia Peassego-1809.18
418983-Almor Caiado-2793.23
439653-Almerinda Palmeira-1398.73
520772-Neuza Francia-9416.80
906953-Aludsio Sosa-2919.47
648631-Neeamia Arruda-9162.79
916795-Emedlia Silvera-17117.46
302972-Delfina Perdigon-2329.76
28495-Elisa Themes-3930.67
418205-Daniel Vieyra-4276.94
71866-Liana Cardim-14310.39
582307-Urbano Rodrigues-459.75
730411-Sara Lameiras-1804.14
615213-Zungela Ipiranga-12669.35
327633-Quintino Alcantara-4203.59
89938-Armindo Castalo-13650.07
674259-Ximena Castilho-6994.40
858694-Quintiliano Sousa de Arronches-19767.43
398175-Melinda Roserio-16562.88
130209-Sidfnio Frois-14192.23
743534-Flor Portella-6758.11
791545-Esperada Cardoso-21443.93
162293-Silvio Mata-16646.40
406028-Leonidas Mafra-14147.72
330027-Sidfnio Frois-20540.99
201205-Trajano Fagundes-14597.05
867670-Ximena Castilho-1038.96
797020-Danilo Olaio-11057.55
185697-Almerinda Palmeira-15861.53
158014-Sara Lameiras-3077.99
824598-Emedlia Silvera-1500.59
46994-Ubaldo Mainha-12938.51
244185-Branco Saraba-18710.13
855823-Jorgina Bogalho-20214.19
402682-Oliveira Carmona-5392.66
824418-Sofras Cuaresma-20114.67
253311-Jussara Varanda-9118.51
638860-Carminda Morais-10996.48
767686-Antonio Castelo-6603.50
700988-Armanda Amorim-21345.08
373324-Adelina Quadros-16548.49
372911-Sofras Cuaresma-6524.12
765706-Marilda Leio-13206.56
314824-Nuno Balsemeo-16925.12
151829-Andreia Moita-8874.31
88003-Ximena Castilho-14732.56
762340-Liana Cardim-5200.25
816395-Taercio Mafra-8746.64
141566-Danilo Olaio-2189.48
136030-Cleusa Goes-2091.66
929994-Odilia Bello-1170.55
266994-Augusta Paio-6184.28
487631-Ubaldo Mainha-17101.94
721495-Zungela Ipiranga-7620.25
890965-Sidfnio Frois-13361.77
842422-Eurico Siqueira-11917.81
260719-Angelica Aranha-17885.44
46231-Elisa Themes-10828.76
995977-Honorina Lira-1805.34
779303-Letedcia Gago-6676.70
103279-Estanislau Beserra-7046.00
792503-Edgar Carvalheiro-4413.84
377619-Sidfnio Frois-11718.71
651866-Lina Andrade-4721.09
438365-Branco Saraba-3635.16
172502-Quintiliano Sousa de Arronches-13853.59
162342-Delfina Perdigon-12541.36
177548-Delfina Garcia de Gondim-8816.99
373334-Taercio Mafra-13676.94
517385-Tarrataca Soares-12249.90
827042-Rebeca Neto-4406.10
708333-Neuza Francia-6694.02
501465-Emedlio Pimentel-4162.96
4850-Honorina Lira-10019.48
49662-Sara Lameiras-19713.87
271380-Telma Villalobos-20645.59
790709-Neeamia Arruda-6072.38
369991-Quintino Alcantara-2669.32
825619-Branco Saraba-19183.05
815513-Leonidas Mafra-14853.39
992055-Sara Lameiras-13246.82
252534-Liana Cardim-15533.90
413002-Angelica Aranha-6424.08
961090-Odete Vasques-3019.29
618293-Henrique Bento-12939.79
791929-Sara Lameiras-6597.67
840771-Antonio Viegas-17385.57
25540-Silvio Mata-20239.28
908819-Guaraci Damasceno-4512.69
519288-Taercio Mafra-14960.85
119898-Silvio Mata-15310.77
330281-Armanda Amorim-12608.46
942940-Almor Caiado-11267.75
851846-Urbano Rodrigues-1532.53
