576220-Ermelinda Quintela-16719.46
720038-Artur Grillo-21080.85
181102-Clara Alcantara-12016.70
519906-Branco Saraba-949.15
269898-Estanislau Beserra-19085.03
323686-Micaela Chavez-10185.27
595567-Emedlio Pimentel-19926.12
935942-Silvio Mata-7893.77
561605-Almerinda Palmeira-14070.23
57155-Emedlio Pimentel-2433.76
720980-Zulmira Becerra-20299.52
311969-Manuel Capiperibe-10131.89
154336-Adelino Barra-498.86
575258-Filomena Barrios-13764.06
890175-Jonatas Felgueiras-5721.92
209766-Filomena Barrios-7175.16
630532-Heleedsa Marins-4806.28
679268-Sofras Cuaresma-1710.80
234406-Honorina Lira-1471.58
855809-Lurdes Cotrim-8542.15
15697-Flamednia Leiria-154.53
638047-Augusta Paio-10287.65
345409-Telma Villalobos-11439.19
754962-Nuno Balsemeo-660.11
562905-Jorgina Bogalho-13979.01
389961-Nuno Balsemeo-15531.11
260556-Angelica Aranha-4312.58
742905-Ermelinda Quintela-16999.37
118742-Danilo Olaio-7596.88
33845-Clara Alcantara-20055.43
808807-Zulmira Becerra-8740.75
568902-Flamednia Leiria-11847.13
517818-Quintiliano Sousa de Arronches-7505.75
353008-Neuza Francia-7733.30
110730-Emedlia Silvera-13478.93
60883-Cassandra Varejo-877.99
527153-Ermelinda Quintela-1590.60
137812-Oliveira Carmona-14068.03
828801-Camila Gabeira-3254.38
161727-Clarindo Areosa-4694.72
226449-Quintiliano Sousa de Arronches-20822.81
260299-Danilo Olaio-7513.66
542543-Tarrataca Soares-17848.84
260220-Manuel Capiperibe-9377.53
504940-Tibefarcio Colao-17338.64
134175-Sara Lameiras-4504.41
906747-Dulce Froes-20999.68
936836-Sara Lameiras-7206.22
903711-Romo Paranage-7784.51
74481-Oliveira Carmona-2731.29
304957-Daniel Vieyra-588.72
610834-Quintino Alcantara-1511.32
146513-Almerinda Palmeira-15786.75
257402-Elisa Themes-11904.51
214816-Guaraci Damasceno-11999.56
65308-Fulvio Villegas-8576.07
715191-Guida Juca-17165.14
425022-Augusta Paio-20604.50
454058-Dulce Froes-14418.71
921040-Delfim Higuera-6204.61
859814-Daniel Vieyra-16017.66
111891-Clara Alcantara-9648.93
213469-Artur Grillo-20420.40
231423-Quintino Alcantara-12888.14
2409-Domingos Pas-16260.29
637156-Manuel Capiperibe-1066.10
229253-Telma Villalobos-11133.25
305853-Angelica Aranha-5102.67
4768-Sofras Cuaresma-18517.21
671152-Fulvio Villegas-11681.58
950379-Augusta Paio-10765.34
617956-Carminda Morais-15116.46
417830-Tabalipa Duarte-10773.76
892544-Antonio Castelo-15586.08
851374-Henrique Bento-17456.10
250205-Ximena Castilho-12247.63
772267-Emedlia Silvera-4465.09
324309-Adelina Quadros-15108.15
843167-Odete Vasques-8433.36
232552-Silvio Mata-13700.07
599650-Augusta Paio-12164.74
733065-Spnia ou Sonia Guerreiro-4416.08
276336-Rodolfo Paz-13440.26
375976-Gaudancio Fiees-12074.35
805739-Odilia Bello-12222.86
264089-Angelica Aranha-4410.53
332686-Taercio Mafra-18688.25
243073-Tabalipa Duarte-7796.66
420274-Henrique Bento-13815.09
834697-Basilio Pedroso-8212.58
923736-Lurdes Cotrim-18668.58
547203-Augusta Paio-18251.07
816991-Joaquim Rufino-16609.00
979272-Sofras Cuaresma-12687.92
265470-Eurico Siqueira-19375.98
677994-Jorgina Bogalho-9983.78
854000-Sofras Cuaresma-7052.27
55447-Quintino Alcantara-239.87
71835-Spnia ou Sonia Guerreiro-16124.07
940637-Jorgina Bogalho-8797.58
