408477-Delfim Higuera-13275.78
983561-Oliveira Carmona-18285.56
120310-Camila Gabeira-10250.61
973904-Henrique Bento-17083.02
613539-Zulmira Becerra-2858.21
199018-Andreia Moita-11073.23
605515-Taercio Mafra-6983.49
825808-Neeamia Arruda-1036.09
683965-Jorgina Bogalho-18230.99
980267-Zungela Ipiranga-9180.82
694264-Elisa Themes-13034.91
848991-Manuel Capiperibe-10559.90
338518-Mercia Caeira-18641.11
623736-Clara Alcantara-6636.01
553486-Guaraci Damasceno-4147.31
418136-Melinda Roserio-1054.46
16593-Telma Villalobos-13330.52
501987-Polibe Olivares-20038.78
634257-Guaraci Damasceno-20365.62
582610-Oliveira Senchez-530.58
261810-Delfina Perdigon-6897.52
35695-Guaraci Damasceno-1171.18
882309-Polibe Olivares-6974.56
789476-Antonio Viegas-17950.80
515050-Emiliana Foquio-11661.50
61697-Delfina Perdigon-680.84
931562-Tibofarcio Camacho-7411.01
666504-Manuel Capiperibe-16356.03
10733-Zulmira Becerra-7987.54
970632-Adelino Barra-21193.36
12608-Neuza Francia-16171.14
61489-Rebeca Neto-6196.66
100836-Anind Zarco-9555.49
767313-Daniel Vieyra-15023.38
551175-Regina Barcellos-18208.53
549609-Odete Vasques-494.31
510691-Jussara Varanda-15903.63
523582-Rebeca Neto-6995.46
446796-Liana Cardim-17755.56
931594-Almerinda Palmeira-1990.43
474595-Angilica Galante-11830.56
286416-Angilica Galante-17361.18
699695-Neuza Francia-7667.35
85656-Angelica Aranha-1390.18
68033-Filomena Barrios-5165.70
200314-Delfim Higuera-1666.35
933337-Delfim Higuera-13421.46
250993-Dulce Froes-10811.86
204324-Cassandra Varejo-13876.33
911235-Feledcia Peassego-30.81
954338-Clarindo Areosa-12755.55
144497-Trajano Fagundes-15998.42
1057-Adelina Quadros-10930.58
406325-Odilia Bello-4526.60
666131-Carminda Morais-14737.28
295525-Delfina Garcia de Gondim-10274.45
356205-Rebeca Neto-13293.78
779732-Micaela Chavez-9731.45
265315-Urbano Rodrigues-15943.50
823687-Odilia Camello-18442.61
425480-Ximena Castilho-16947.31
83303-Esperada Cardoso-6153.92
891349-Oliveira Carmona-13733.94
917749-Camila Gabeira-6293.16
478874-Guaraci Damasceno-20329.82
609545-Tibofarcio Camacho-9627.94
375725-Cleusa Goes-17631.50
288105-Almerinda Palmeira-17294.46
902970-Joaquim Rufino-15612.28
667118-Tarrataca Soares-8865.68
512143-Branco Saraba-20519.94
912641-Filomena Barrios-19455.93
671379-Polibe Olivares-1560.01
4405-Emedlia Silvera-17449.19
997375-Quintino Alcantara-4089.14
718322-Zungela Ipiranga-9595.24
400265-Odilia Bello-14158.99
976541-Romo Paranage-9727.04
698143-Leonidas Mafra-7111.23
769395-Clara Alcantara-20187.90
134237-Camila Gabeira-6038.19
230654-Neeamia Arruda-20367.31
235848-Nuno Balsemeo-14749.19
150876-Odilia Bello-114.40
865711-Guida Juca-2464.37
595542-Celeste Duarte-15061.56
119541-Neuza Francia-5230.72
310265-Cleusa Goes-7740.49
947447-Honorina Lira-10847.47
845458-Guida Juca-9020.33
795280-Tabalipa Duarte-20701.67
771450-Clara Alcantara-19889.14
857271-Silvio Mata-12736.66
944093-Jonatas Felgueiras-12978.17
949665-Adelina Quadros-5431.99
385565-Carminda Morais-10427.94
344987-Aludsio Sosa-16119.14
720007-Domingos Pas-18662.24
798732-Honorina Lira-13876.88
516835-Neuza Francia-17375.34
