194537-Angilica Galante-12848.34
376226-Camila Gabeira-4452.31
84866-Oliveira Senchez-1234.82
63223-Leonidas Mafra-18418.94
531189-Armindo Castalo-3569.09
235575-Odilia Bello-10257.21
993413-Cassandra Varejo-7353.83
239023-Silvio Mata-8294.78
259446-Angelica Aranha-16919.24
509991-Judite Damasceno-1845.88
327314-Polibe Olivares-2207.82
347421-Antonio Castelo-17331.58
434839-Delfina Garcia de Gondim-3517.60
778766-Joaquim Rufino-753.39
97076-Estanislau Beserra-8188.70
422842-Nuno Balsemeo-7456.22
976666-Anind Zarco-17026.16
722987-Almerinda Palmeira-13913.71
417225-Danilo Olaio-13351.47
614531-Delfim Higuera-9721.73
592685-Melinda Roserio-9735.01
920813-Regina Barcellos-6183.64
480076-Marilda Leio-5323.15
520905-Cassandra Varejo-4226.11
971709-Mercia Caeira-9427.08
331448-Filomena Barrios-11261.31
412018-Rodolfo Paz-12821.07
392379-Urbano Rodrigues-3733.47
850881-Antonio Viegas-8897.64
750108-Augusta Paio-14123.78
236935-Emiliana Foquio-1434.87
22251-Quintino Alcantara-5154.08
965932-Lurdes Cotrim-8258.88
669195-Manuel Capiperibe-11984.09
711615-Tibefarcio Colao-13273.81
140735-Armanda Amorim-15697.12
192129-Honorina Lira-8036.41
375562-Polibe Olivares-19120.33
930059-Delfim Higuera-14294.00
147769-Manuel Capiperibe-10476.67
538684-Romo Paranage-9514.20
946470-Augusta Paio-13614.42
234900-Quintiliano Sousa de Arronches-18634.08
322461-Tibefarcio Colao-6615.94
536975-Neeamia Arruda-21263.05
459168-Taercio Mafra-6339.62
28232-Ermelinda Quintela-12251.55
704483-Armanda Amorim-13075.30
727260-Cassandra Varejo-1249.77
30139-Emedlio Pimentel-11601.24
711301-Estanislau Beserra-10901.79
396135-Fulvio Villegas-8886.42
489103-Sidfnio Frois-11738.77
470280-Branco Saraba-3307.16
376925-Camila Gabeira-9292.53
664394-Angelica Aranha-17647.12
180488-Odete Vasques-18157.40
853577-Honorina Lira-2169.61
559689-Tarrataca Soares-16366.88
182409-Ximena Castilho-5222.35
471845-Tibefarcio Colao-4334.62
697636-Leonidas Mafra-15138.59
882034-Oliveira Senchez-21313.48
474618-Judite Damasceno-9643.34
177287-Anind Zarco-13587.11
701658-Romo Paranage-3468.92
188464-Tabalipa Duarte-16460.73
829836-Quintino Alcantara-17649.26
34039-Regina Barcellos-4680.02
698428-Clara Alcantara-13321.85
3477-Branco Saraba-11101.73
487870-Zungela Ipiranga-7533.87
130780-Sofras Cuaresma-16232.69
650755-Honorina Lira-12882.60
402961-Taercio Mafra-4099.53
891669-Dulce Froes-11146.55
125103-Anind Zarco-18888.44
615144-Manuel Capiperibe-18101.90
549922-Angelica Aranha-387.40
205755-Armanda Amorim-9944.39
580077-Marilda Leio-15424.42
933246-Judite Damasceno-6254.46
661397-Delfina Garcia de Gondim-12795.77
737282-Clarindo Areosa-3837.44
663885-Angelica Aranha-4161.47
818131-Zungela Ipiranga-1585.55
864414-Letedcia Gago-13756.80
983222-Henrique Bento-15882.95
544485-Emedlia Silvera-10133.62
624243-Adelina Quadros-12875.67
888555-Filomena Barrios-7856.64
841970-Jussara Varanda-20885.97
182125-Guaraci Damasceno-2677.75
307405-Zungela Ipiranga-17495.12
692428-Lurdes Cotrim-10556.92
547187-Flor Portella-16925.11
56986-Romo Paranage-18593.75
926643-Armindo Castalo-10548.74
502346-Nuno Balsemeo-10439.35
818133-Domingos Pas-1470.76
