511840-Branco Saraba-12590.12
477413-Clarindo Areosa-3869.16
742579-Zulmira Becerra-4018.31
145428-Delfina Garcia de Gondim-6649.59
650180-Esperada Cardoso-4178.42
689189-Esperada Cardoso-10161.60
141436-Jonatas Felgueiras-8581.97
204706-Delfim Higuera-13930.12
144810-Judite Damasceno-12768.35
786937-Liana Cardim-1520.41
479112-Angilica Galante-7465.53
551782-Zungela Ipiranga-7425.46
530057-Urbano Rodrigues-13042.89
877507-Guida Juca-12769.51
944487-Flamednia Leiria-19126.01
16625-Telma Villalobos-19068.06
185063-Camila Gabeira-11264.64
311219-Fulvio Villegas-5391.85
253299-Almerinda Palmeira-12613.30
920005-Odete Vasques-4156.33
687764-Elisa Themes-996.29
983723-Anind Zarco-18201.81
196175-Artur Grillo-3792.27
239671-Heleedsa Marins-7571.05
242420-Basilio Pedroso-7600.49
603215-Daniel Vieyra-10780.66
124305-Clara Alcantara-20742.51
842623-Daniel Vieyra-18020.78
605921-Esperada Cardoso-5378.48
688023-Trajano Fagundes-9967.68
327246-Lina Andrade-18384.56
519079-Anfnia Seixas-269.56
773639-Carminda Morais-2441.52
317154-Sidfnio Frois-7443.92
327755-Emedlio Pimentel-451.50
939272-Micaela Chavez-7117.54
389949-Letedcia Gago-16128.78
304871-Cassandra Varejo-14592.37
405096-Sara Lameiras-16438.43
351786-Henrique Bento-12960.47
931879-Emiliana Foquio-5678.91
140839-Filomena Barrios-2059.26
46800-Cleusa Goes-9527.00
179819-Domingos Pas-19650.17
933755-Jonatas Felgueiras-2248.61
220391-Ximena Castilho-19398.00
605408-Urbano Rodrigues-4267.07
241165-Camila Gabeira-11070.12
471586-Armindo Castalo-2249.33
66321-Sara Lameiras-11892.85
912671-Zungela Ipiranga-1207.33
247458-Guaraci Damasceno-14138.74
538052-Spnia ou Sonia Guerreiro-4464.37
980628-Regina Barcellos-18926.17
814859-Delfina Perdigon-670.67
799515-Almerinda Palmeira-248.04
54165-Cleusa Goes-6964.09
186761-Branco Saraba-20086.50
72631-Leonidas Mafra-14686.38
317696-Esperada Cardoso-17617.04
609979-Ximena Castilho-17371.34
309430-Guaraci Damasceno-10858.97
418778-Zulmira Becerra-19824.36
744365-Celeste Duarte-3759.32
603345-Zungela Ipiranga-13057.47
839827-Cassandra Varejo-5220.63
876729-Henrique Bento-8841.17
620354-Zulmira Becerra-18573.04
891923-Sara Lameiras-6058.93
96534-Telma Villalobos-9212.11
585972-Neuza Francia-19518.21
324821-Anind Zarco-21181.30
937568-Adelina Quadros-16260.65
987367-Cassandra Varejo-14283.26
170388-Joaquim Rufino-13424.46
936739-Zungela Ipiranga-15932.86
990459-Antonio Castelo-19731.62
453310-Emedlio Pimentel-7612.99
599160-Tibefarcio Colao-12121.91
383243-Urbano Rodrigues-14032.87
388233-Rebeca Neto-3763.90
43153-Tibefarcio Colao-3997.15
595461-Sidfnio Frois-7396.52
615913-Flor Portella-18426.39
52434-Almerinda Palmeira-13063.26
752586-Emedlia Silvera-13452.63
32237-Henrique Bento-19842.54
912848-Nuno Balsemeo-17722.23
130236-Manuel Capiperibe-5703.39
240680-Eurico Siqueira-19947.22
561876-Telma Villalobos-13646.26
220155-Lurdes Cotrim-4171.86
524947-Jorgina Bogalho-2382.98
411383-Antonio Castelo-6629.14
140180-Leonidas Mafra-20669.66
314682-Ubaldo Mainha-14612.35
291070-Tibefarcio Colao-15152.67
946072-Honorina Lira-9656.96
900042-Nuno Balsemeo-16698.27
561257-Sofras Cuaresma-20860.67
