882177-Angilica Galante-4616.07
666694-Estanislau Beserra-8732.70
970883-Jussara Varanda-9324.99
67823-Flor Portella-9973.93
522432-Dulce Froes-10408.44
933087-Carminda Morais-17216.19
50282-Sara Lameiras-19593.97
782925-Rebeca Neto-14570.18
326505-Antonio Castelo-20805.68
471181-Esperada Cardoso-5826.57
150597-Branco Saraba-18415.39
756804-Polibe Olivares-9067.22
939596-Ximena Castilho-7942.09
305351-Daniel Vieyra-1267.94
251547-Fulvio Villegas-6143.16
945178-Domingos Pas-19892.49
328597-Lina Andrade-11288.16
746933-Joaquim Rufino-14355.99
543912-Flor Portella-20469.25
700524-Elisa Themes-5799.13
875862-Henrique Bento-11760.63
174831-Artur Grillo-2693.36
743960-Lina Andrade-11192.76
811757-Romo Paranage-8590.98
788734-Emedlia Silvera-10963.49
609980-Delfina Garcia de Gondim-18062.95
566310-Judite Damasceno-6001.39
435923-Judite Damasceno-15388.86
839827-Antonio Castelo-7539.47
811471-Adelino Barra-1571.64
956456-Ermelinda Quintela-525.56
156959-Domingos Pas-9017.31
79673-Nuno Balsemeo-14304.75
211833-Manuel Capiperibe-4238.03
653967-Joaquim Rufino-10265.91
412155-Celeste Duarte-21322.01
935835-Tabalipa Duarte-11672.84
275289-Estanislau Beserra-912.36
729795-Almor Caiado-3610.76
625858-Flamednia Leiria-19098.88
434660-Ximena Castilho-10253.60
823149-Emedlia Silvera-16965.17
548131-Regina Barcellos-5351.13
549202-Emedlia Silvera-4828.42
164416-Polibe Olivares-16664.96
128968-Ximena Castilho-4054.24
904390-Delfina Garcia de Gondim-8363.60
335630-Emedlia Silvera-19406.35
653269-Cassandra Varejo-8588.81
433925-Daniel Vieyra-17855.07
861768-Tibofarcio Camacho-10054.58
361718-Augusta Paio-18422.81
592253-Armindo Castalo-2703.46
297333-Urbano Rodrigues-17038.95
321420-Zulmira Becerra-5595.76
453248-Jonatas Felgueiras-812.21
786445-Adelina Quadros-20751.26
920026-Romo Paranage-6989.77
289913-Melinda Roserio-17866.31
735933-Aludsio Sosa-17970.65
585911-Aludsio Sosa-8874.43
796302-Andreia Moita-12578.05
556769-Esperada Cardoso-16623.97
914282-Daniel Vieyra-13842.10
629730-Delfina Garcia de Gondim-8470.48
840729-Joaquim Rufino-10775.01
992137-Branco Saraba-20602.88
503437-Micaela Chavez-6677.24
166272-Domingos Pas-12860.14
226788-Odilia Bello-21287.50
794492-Emiliana Foquio-8108.52
820396-Marilda Leio-5051.65
160353-Urbano Rodrigues-7607.22
846144-Augusta Paio-21126.36
426969-Jussara Varanda-7487.82
99950-Ubaldo Mainha-4831.39
994054-Regina Barcellos-17211.31
13671-Tibefarcio Colao-10041.51
527136-Basilio Pedroso-2728.34
187718-Danilo Olaio-3860.61
429342-Zungela Ipiranga-9818.55
113777-Oliveira Carmona-9181.92
119092-Carminda Morais-20373.52
521188-Zulmira Becerra-3147.15
166456-Liana Cardim-17491.42
343611-Henrique Bento-4577.58
538606-Delfina Perdigon-8167.52
537886-Gaudancio Fiees-6062.82
777830-Spnia ou Sonia Guerreiro-5253.26
515647-Neuza Francia-2130.30
36325-Tarrataca Soares-14664.59
925777-Leonidas Mafra-8780.89
463951-Elisa Themes-18532.08
240322-Honorina Lira-17592.46
169172-Tibofarcio Camacho-19804.12
880232-Elisa Themes-12162.72
730582-Quintiliano Sousa de Arronches-5443.27
745063-Fulvio Villegas-20248.65
394410-Adelino Barra-20306.43
393949-Rebeca Neto-18476.75
