136696-Neuza Francia-7424.40
662119-Manuel Capiperibe-21179.53
745470-Leonidas Mafra-10822.83
826502-Antonio Viegas-15362.00
505088-Moaci Mendoa-6104.31
469389-Delfim Higuera-319.15
521302-Clarindo Areosa-6476.07
36425-Tibofarcio Camacho-20457.19
913671-Elisa Themes-7716.73
185284-Feledcia Peassego-17147.10
194657-Angelica Aranha-12463.62
133777-Branco Saraba-14540.25
569392-Neeamia Arruda-18517.70
350750-Anind Zarco-17611.13
213960-Nuno Balsemeo-10161.34
841379-Armindo Castalo-5161.20
890458-Oliveira Carmona-20236.41
675081-Eurico Siqueira-10411.94
729972-Andreia Moita-4166.24
709457-Angelica Aranha-12638.10
377698-Anind Zarco-10835.21
1857-Delfina Garcia de Gondim-17246.54
95526-Mercia Caeira-807.40
988848-Armanda Amorim-13250.91
82156-Ximena Castilho-10008.21
606326-Odilia Bello-1211.79
561391-Adelina Quadros-9170.69
607465-Judite Damasceno-18997.44
405357-Sara Lameiras-14859.91
876062-Flor Portella-18827.00
572621-Mercia Caeira-14425.94
148081-Mercia Caeira-9081.12
748209-Liana Cardim-2497.24
634828-Adelino Barra-5497.13
150792-Anind Zarco-11967.95
801190-Taercio Mafra-6539.18
571762-Esperada Cardoso-11004.79
16514-Augusta Paio-10366.03
655521-Branco Saraba-3605.25
918804-Polibe Olivares-19914.01
508001-Elisa Themes-12014.90
617768-Joaquim Rufino-13846.38
898235-Ximena Castilho-18473.86
918794-Telma Villalobos-1465.37
546547-Tibofarcio Camacho-1906.88
995456-Carminda Morais-8484.89
623250-Estanislau Beserra-4885.78
836741-Delfina Garcia de Gondim-11345.94
794656-Oliveira Carmona-16802.50
259673-Emedlia Silvera-3946.85
457601-Neeamia Arruda-6891.93
733435-Edgar Carvalheiro-14998.11
154439-Letedcia Gago-2562.25
783436-Antonio Viegas-13341.44
125626-Jussara Varanda-17636.90
295869-Flamednia Leiria-3982.02
867789-Tibefarcio Colao-16538.26
435480-Jonatas Felgueiras-51.79
606408-Trajano Fagundes-16469.73
818634-Emedlia Silvera-16227.49
431870-Delfina Perdigon-18152.07
567791-Eurico Siqueira-15194.57
825424-Ermelinda Quintela-16436.11
502033-Rodolfo Paz-2899.11
716095-Odilia Bello-1555.53
102050-Carminda Morais-2898.49
493793-Neuza Francia-13467.17
979438-Liana Cardim-1316.68
59146-Leonidas Mafra-19762.75
388440-Domingos Pas-7986.10
918827-Jonatas Felgueiras-7375.58
641956-Neeamia Arruda-8471.26
691948-Celeste Duarte-3644.68
967038-Anfnia Seixas-11369.70
902371-Oliveira Senchez-11636.86
528143-Antonio Castelo-6353.04
872514-Spnia ou Sonia Guerreiro-4003.14
42382-Flor Portella-9472.94
907193-Lina Andrade-12633.53
745251-Antonio Castelo-8812.58
848934-Sidfnio Frois-1956.93
675842-Adelino Barra-20433.35
959412-Feledcia Peassego-14815.43
370433-Augusta Paio-9140.26
208695-Emedlia Silvera-16749.29
83470-Angelica Aranha-12329.73
323333-Oliveira Senchez-21338.46
279721-Delfina Perdigon-17364.04
904465-Romo Paranage-458.28
320325-Oliveira Senchez-8565.73
862289-Guaraci Damasceno-14964.22
962225-Delfina Garcia de Gondim-16330.98
187926-Anfnia Seixas-6385.74
397520-Delfina Garcia de Gondim-1564.61
576687-Nuno Balsemeo-4766.69
441522-Jussara Varanda-17547.53
126781-Angelica Aranha-21330.76
126256-Tibofarcio Camacho-8108.72
419385-Nuno Balsemeo-672.93
581668-Jorgina Bogalho-18786.13
