600255-Lurdes Cotrim-3146.32
724666-Delfina Garcia de Gondim-16678.30
41253-Joaquim Rufino-8092.99
294968-Zulmira Becerra-1069.84
854367-Taercio Mafra-17795.92
24014-Elisa Themes-14179.77
789992-Tibefarcio Colao-21472.51
764554-Anfnia Seixas-9871.90
43935-Basilio Pedroso-15629.41
363938-Trajano Fagundes-14890.67
614893-Daniel Vieyra-1391.84
142406-Lurdes Cotrim-6329.08
490234-Polibe Olivares-1964.66
534087-Silvio Mata-832.77
193337-Spnia ou Sonia Guerreiro-6671.32
347983-Nuno Balsemeo-5826.72
708016-Antonio Castelo-14554.62
447461-Moaci Mendoa-17892.27
723770-Filomena Barrios-7297.87
893386-Lina Andrade-20041.51
505679-Sofras Cuaresma-12912.82
265856-Delfina Garcia de Gondim-13904.25
855670-Daniel Vieyra-18029.15
744946-Feledcia Peassego-15819.65
618432-Daniel Vieyra-12316.75
600719-Polibe Olivares-13340.23
76142-Nuno Balsemeo-1552.47
318805-Carminda Morais-5146.95
267323-Aludsio Sosa-20384.19
156365-Quintino Alcantara-17978.28
112625-Zulmira Becerra-16328.50
769062-Odilia Bello-18581.16
333991-Edgar Carvalheiro-19939.72
881368-Edgar Carvalheiro-7022.33
189809-Celeste Duarte-2373.68
630035-Feledcia Peassego-2314.85
258763-Domingos Pas-21025.61
865985-Regina Barcellos-15553.96
699905-Joaquim Rufino-17246.63
837161-Manuel Capiperibe-20258.20
125339-Almor Caiado-18004.49
728389-Adelino Barra-11877.34
239661-Neuza Francia-8205.85
698446-Romo Paranage-8954.66
122478-Rodolfo Paz-14956.56
254151-Honorina Lira-11408.02
892392-Augusta Paio-4135.77
294275-Emedlio Pimentel-7694.43
390907-Rodolfo Paz-18501.43
422412-Tibefarcio Colao-904.97
282174-Regina Barcellos-17896.22
24930-Domingos Pas-17963.50
883831-Polibe Olivares-15011.07
747251-Ermelinda Quintela-5593.21
327434-Lina Andrade-5529.60
791867-Camila Gabeira-5662.14
741270-Tibofarcio Camacho-19331.07
251785-Almerinda Palmeira-5139.17
191273-Branco Saraba-11183.08
794355-Taercio Mafra-14897.31
250099-Antonio Viegas-12785.29
154779-Mercia Caeira-21175.54
793809-Esperada Cardoso-15699.54
533885-Jussara Varanda-16297.01
256375-Judite Damasceno-8515.45
634735-Joaquim Rufino-16203.37
331706-Ubaldo Mainha-20200.79
606049-Armanda Amorim-20058.46
323751-Ermelinda Quintela-9855.54
701069-Danilo Olaio-6838.65
575163-Filomena Barrios-9791.15
587725-Spnia ou Sonia Guerreiro-15242.70
467144-Melinda Roserio-13595.80
969435-Flor Portella-13056.30
276690-Antonio Viegas-1104.03
60445-Tibofarcio Camacho-14170.38
574849-Taercio Mafra-20713.69
195944-Emiliana Foquio-3394.92
734357-Zungela Ipiranga-12858.16
97346-Cassandra Varejo-3180.33
707325-Estanislau Beserra-18216.08
846467-Telma Villalobos-11437.12
56054-Almerinda Palmeira-806.96
736270-Zungela Ipiranga-1336.65
634366-Cleusa Goes-18619.42
77776-Emedlio Pimentel-15235.19
374719-Judite Damasceno-18320.93
266465-Celeste Duarte-4258.06
521151-Tibefarcio Colao-21135.40
330051-Edgar Carvalheiro-15711.54
3871-Spnia ou Sonia Guerreiro-2883.77
309062-Mercia Caeira-16912.24
400404-Flor Portella-14547.96
71706-Jussara Varanda-11490.49
889558-Anfnia Seixas-2562.00
110334-Lina Andrade-17752.77
885122-Lurdes Cotrim-8841.69
545628-Angelica Aranha-17504.35
181549-Lina Andrade-20849.56
665694-Armanda Amorim-7258.03
