60615-Leonidas Mafra-15728.91
683891-Armanda Amorim-10995.91
518234-Lurdes Cotrim-21431.57
803244-Lurdes Cotrim-9171.71
622057-Micaela Chavez-3973.89
405038-Judite Damasceno-5449.96
342642-Guida Juca-11745.58
667726-Jorgina Bogalho-14651.83
553574-Clarindo Areosa-4767.14
315377-Aludsio Sosa-19156.64
378902-Joaquim Rufino-12722.41
983060-Rodolfo Paz-6804.41
693424-Cleusa Goes-2664.76
827786-Fulvio Villegas-12292.79
158099-Mercia Caeira-20029.01
59816-Angilica Galante-11038.22
914671-Joaquim Rufino-5266.81
620319-Moaci Mendoa-15753.49
714325-Fulvio Villegas-3864.19
370548-Lurdes Cotrim-14527.34
468353-Fulvio Villegas-2516.30
973957-Cassandra Varejo-18236.13
587090-Rodolfo Paz-18613.06
356815-Estanislau Beserra-16716.50
813412-Jussara Varanda-8323.25
659379-Anind Zarco-13773.85
18138-Jonatas Felgueiras-1358.16
934543-Sara Lameiras-10674.36
34109-Sara Lameiras-15031.50
363606-Armindo Castalo-5580.37
873420-Fulvio Villegas-1400.22
624165-Telma Villalobos-18219.96
332437-Liana Cardim-2610.99
118-Moaci Mendoa-18954.56
979510-Odilia Bello-11997.86
859965-Guaraci Damasceno-7189.62
79225-Trajano Fagundes-9979.80
979934-Liana Cardim-10639.14
229817-Adelino Barra-2344.65
415152-Tibefarcio Colao-11338.28
851318-Tabalipa Duarte-13827.02
400863-Trajano Fagundes-1058.42
595905-Tarrataca Soares-1311.75
97164-Honorina Lira-17251.75
281482-Quintino Alcantara-18221.54
274255-Sidfnio Frois-2775.31
168002-Regina Barcellos-3426.10
393748-Neuza Francia-3965.90
539107-Basilio Pedroso-20148.20
867460-Clarindo Areosa-12887.51
233005-Zulmira Becerra-18186.03
620445-Telma Villalobos-17085.20
3739-Carminda Morais-6346.32
2680-Carminda Morais-4582.45
974083-Delfina Garcia de Gondim-7035.27
731361-Almor Caiado-553.18
450245-Almor Caiado-20384.86
665226-Tarrataca Soares-3463.96
310846-Eurico Siqueira-3414.51
421214-Guaraci Damasceno-13793.19
359938-Odilia Camello-18705.52
516788-Artur Grillo-19551.72
999579-Lina Andrade-13076.92
173450-Clarindo Areosa-1892.11
38521-Celeste Duarte-4951.85
574302-Odilia Camello-12779.17
124405-Regina Barcellos-11088.83
800760-Emedlia Silvera-9860.65
66949-Heleedsa Marins-19733.76
669141-Cleusa Goes-103.13
538840-Jussara Varanda-5256.73
11013-Edgar Carvalheiro-6071.90
519227-Adelina Quadros-3607.06
175740-Guida Juca-20648.79
77715-Regina Barcellos-10024.34
506636-Daniel Vieyra-11430.08
253110-Augusta Paio-6166.49
1490-Emedlio Pimentel-19134.50
145526-Almerinda Palmeira-11350.33
740675-Sara Lameiras-2962.19
170751-Almerinda Palmeira-6857.58
668759-Antonio Viegas-19747.69
855143-Guida Juca-15768.04
733644-Tarrataca Soares-1264.96
339644-Aludsio Sosa-2295.74
614524-Neuza Francia-4420.81
838701-Filomena Barrios-8193.34
429717-Oliveira Senchez-12523.35
118205-Leonidas Mafra-20874.81
182307-Elisa Themes-15187.38
559591-Adelino Barra-9254.25
126345-Dulce Froes-306.10
366655-Tibefarcio Colao-7894.65
829156-Trajano Fagundes-2147.15
687297-Anfnia Seixas-6430.55
979601-Artur Grillo-4221.86
796722-Quintiliano Sousa de Arronches-8300.24
263064-Sara Lameiras-8279.70
695739-Manuel Capiperibe-14020.89
678049-Celeste Duarte-2307.87
