992247-Tarrataca Soares-5318.22
147974-Ximena Castilho-1012.01
88280-Delfina Perdigon-15173.99
630269-Sofras Cuaresma-11403.87
420647-Joaquim Rufino-10674.51
478370-Branco Saraba-18002.79
541496-Celeste Duarte-18211.11
408892-Tibofarcio Camacho-6899.67
353945-Manuel Capiperibe-10558.00
215752-Cassandra Varejo-15212.51
99059-Polibe Olivares-21222.44
103600-Sofras Cuaresma-5229.08
634649-Flor Portella-11029.96
481978-Emedlio Pimentel-19766.26
634815-Sidfnio Frois-6095.63
736920-Flor Portella-21040.42
281537-Zulmira Becerra-521.00
787111-Leonidas Mafra-4565.09
451702-Neuza Francia-13318.62
388017-Telma Villalobos-7365.95
148137-Armanda Amorim-6352.10
246766-Anind Zarco-15903.14
546003-Emedlio Pimentel-2944.65
760499-Elisa Themes-16019.47
362035-Quintino Alcantara-570.98
414220-Fulvio Villegas-1328.35
778116-Anfnia Seixas-8721.16
253015-Melinda Roserio-15229.03
695073-Branco Saraba-12928.71
453941-Clarindo Areosa-1727.76
980484-Tibofarcio Camacho-1644.40
266948-Anind Zarco-17996.87
461308-Rebeca Neto-8847.49
651844-Polibe Olivares-10845.10
501529-Eurico Siqueira-13918.72
914660-Daniel Vieyra-7268.02
369605-Zungela Ipiranga-8895.81
440566-Sidfnio Frois-15538.34
20083-Odete Vasques-12620.45
462100-Delfina Garcia de Gondim-10700.15
15075-Oliveira Carmona-3515.12
778067-Esperada Cardoso-12287.79
371027-Letedcia Gago-20772.40
428606-Clarindo Areosa-18524.09
949134-Polibe Olivares-3834.26
567427-Henrique Bento-4273.41
20404-Eurico Siqueira-19407.11
589603-Ximena Castilho-6806.68
578487-Rebeca Neto-13986.88
955110-Almerinda Palmeira-11316.66
107490-Manuel Capiperibe-6161.98
183764-Celeste Duarte-4874.92
979754-Tarrataca Soares-1883.79
525111-Joaquim Rufino-133.24
580334-Fulvio Villegas-15642.74
540163-Zulmira Becerra-6033.57
786113-Anfnia Seixas-15583.78
129005-Silvio Mata-10064.84
821854-Zulmira Becerra-4705.79
559733-Manuel Capiperibe-12435.34
829287-Almerinda Palmeira-13506.41
611001-Lurdes Cotrim-9563.41
171823-Adelina Quadros-18603.21
489412-Ximena Castilho-6523.62
248316-Regina Barcellos-5644.59
917362-Tibofarcio Camacho-8409.99
443912-Letedcia Gago-613.02
681221-Delfim Higuera-12624.31
102559-Spnia ou Sonia Guerreiro-17032.53
728009-Angelica Aranha-4983.29
19672-Neuza Francia-8651.58
508974-Taercio Mafra-10077.69
6688-Danilo Olaio-74.57
883840-Nuno Balsemeo-20889.46
569037-Jorgina Bogalho-5147.11
560469-Gaudancio Fiees-21106.29
392860-Andreia Moita-8615.89
635670-Cassandra Varejo-8557.86
362149-Esperada Cardoso-6264.05
667136-Tibefarcio Colao-15721.33
22095-Romo Paranage-5296.69
18163-Danilo Olaio-2626.95
871809-Tibefarcio Colao-12587.01
46435-Clarindo Areosa-15585.85
99858-Nuno Balsemeo-11756.71
612411-Dulce Froes-16742.31
640609-Aludsio Sosa-15101.40
970566-Almor Caiado-942.92
731287-Manuel Capiperibe-5806.54
260977-Romo Paranage-12923.22
119369-Oliveira Carmona-13253.44
652104-Tibefarcio Colao-20303.62
953830-Honorina Lira-687.50
712722-Ximena Castilho-15957.96
934545-Sofras Cuaresma-8214.13
867615-Filomena Barrios-4575.41
945646-Liana Cardim-13451.82
128903-Zungela Ipiranga-13981.53
98606-Estanislau Beserra-18788.84
990020-Melinda Roserio-1956.61
