527817-Esperada Cardoso-4961.67
394589-Eurico Siqueira-3001.55
174937-Zungela Ipiranga-21094.15
386704-Liana Cardim-1320.69
331804-Zulmira Becerra-14371.40
735242-Sofras Cuaresma-9976.32
634775-Zungela Ipiranga-4674.65
731212-Basilio Pedroso-10621.79
512878-Dulce Froes-18319.96
165669-Lina Andrade-9370.63
693210-Domingos Pas-11795.91
395449-Taercio Mafra-5795.02
516041-Domingos Pas-18416.77
740640-Domingos Pas-8355.80
971999-Danilo Olaio-9659.12
184350-Ubaldo Mainha-13896.47
52835-Antonio Castelo-15952.82
262987-Clarindo Areosa-4555.29
10403-Jonatas Felgueiras-3925.58
445486-Moaci Mendoa-6097.24
432647-Fulvio Villegas-6234.17
586477-Armindo Castalo-17368.13
411723-Nuno Balsemeo-20413.29
651953-Edgar Carvalheiro-6185.86
477836-Honorina Lira-4060.74
444062-Liana Cardim-13342.58
559109-Ubaldo Mainha-7068.28
139272-Flamednia Leiria-18290.91
898696-Oliveira Carmona-11396.17
686504-Celeste Duarte-17630.63
20970-Rebeca Neto-5810.12
462615-Esperada Cardoso-2371.15
922380-Esperada Cardoso-10315.26
58851-Rebeca Neto-7786.95
291435-Odete Vasques-17581.72
435586-Micaela Chavez-11121.33
742898-Taercio Mafra-19856.92
848145-Marilda Leio-5513.48
482541-Spnia ou Sonia Guerreiro-187.63
675315-Fulvio Villegas-724.49
592136-Jussara Varanda-16494.70
442568-Filomena Barrios-16344.49
105706-Joaquim Rufino-6068.88
613945-Cassandra Varejo-4084.63
224276-Cleusa Goes-18747.54
908699-Telma Villalobos-16767.07
851564-Branco Saraba-12039.66
138410-Branco Saraba-20518.14
32225-Melinda Roserio-3808.13
543412-Basilio Pedroso-8784.88
633810-Tibofarcio Camacho-20070.80
736065-Elisa Themes-950.39
953007-Jussara Varanda-11741.45
212711-Rodolfo Paz-8432.75
167132-Taercio Mafra-18684.99
810456-Fulvio Villegas-3609.24
103099-Ubaldo Mainha-19497.76
87816-Filomena Barrios-8994.31
936585-Romo Paranage-11864.63
548102-Sofras Cuaresma-18030.06
608870-Polibe Olivares-2171.57
139861-Emedlio Pimentel-13048.93
636394-Judite Damasceno-10083.62
537202-Branco Saraba-3590.91
901135-Anind Zarco-1357.75
19629-Zulmira Becerra-20965.85
877326-Aludsio Sosa-9112.04
700773-Cassandra Varejo-7128.09
854467-Artur Grillo-20527.45
820949-Celeste Duarte-6548.10
275534-Ermelinda Quintela-8864.19
843063-Carminda Morais-1020.75
933399-Antonio Castelo-20837.11
684953-Augusta Paio-9957.65
228022-Almor Caiado-15416.66
270530-Adelina Quadros-13012.02
753880-Guaraci Damasceno-19510.79
13284-Antonio Castelo-4002.96
219856-Armindo Castalo-8481.51
889471-Basilio Pedroso-15279.72
81892-Filomena Barrios-11707.64
947281-Domingos Pas-17836.07
189000-Melinda Roserio-13140.56
825464-Adelina Quadros-9362.58
36679-Clarindo Areosa-14934.86
538835-Oliveira Senchez-5592.73
142387-Andreia Moita-6420.27
950434-Anfnia Seixas-15440.40
567146-Elisa Themes-20172.60
445459-Angelica Aranha-11006.65
649827-Armindo Castalo-5972.64
272770-Emedlio Pimentel-7242.11
970500-Anfnia Seixas-6389.16
895764-Emedlio Pimentel-13497.42
585764-Emedlio Pimentel-10682.95
974339-Mercia Caeira-20778.34
48414-Quintiliano Sousa de Arronches-324.92
234371-Cleusa Goes-1384.43
716633-Delfim Higuera-9610.10
349666-Adelino Barra-2579.72
