15507-Almerinda Palmeira-2117.52
910889-Honorina Lira-9668.15
488554-Esperada Cardoso-5378.72
677159-Lurdes Cotrim-361.39
785941-Antonio Castelo-16898.26
448434-Quintino Alcantara-7219.74
914578-Branco Saraba-6443.85
536237-Tabalipa Duarte-4219.23
678063-Clara Alcantara-17776.97
756192-Polibe Olivares-11529.53
821038-Zungela Ipiranga-17259.68
522241-Gaudancio Fiees-4203.95
123392-Anind Zarco-6528.84
868631-Antonio Viegas-13285.61
885044-Mercia Caeira-15873.47
660255-Ermelinda Quintela-17887.95
869033-Tabalipa Duarte-2882.26
967002-Zulmira Becerra-15177.63
456690-Lina Andrade-9049.57
55864-Fulvio Villegas-10887.13
435941-Ermelinda Quintela-13325.34
84092-Camila Gabeira-2795.73
547138-Judite Damasceno-17156.96
882146-Adelino Barra-13150.81
872409-Ermelinda Quintela-13799.66
688576-Liana Cardim-9061.43
478914-Liana Cardim-5125.28
170154-Heleedsa Marins-8714.95
784405-Jussara Varanda-584.68
611917-Adelino Barra-7545.24
391963-Ermelinda Quintela-4264.76
656400-Augusta Paio-14335.60
832471-Ermelinda Quintela-4476.24
376025-Telma Villalobos-1540.22
996926-Estanislau Beserra-5888.95
481115-Flamednia Leiria-12945.83
277026-Sidfnio Frois-8455.79
299237-Polibe Olivares-20337.49
600339-Antonio Castelo-9860.50
858394-Antonio Viegas-16276.62
345947-Judite Damasceno-8165.70
367684-Esperada Cardoso-2787.43
962199-Armanda Amorim-4345.75
769236-Sofras Cuaresma-19369.51
173778-Carminda Morais-18194.64
544517-Quintino Alcantara-16694.62
574412-Judite Damasceno-11282.55
132497-Sofras Cuaresma-4840.71
702125-Celeste Duarte-12546.71
223636-Delfim Higuera-500.46
785598-Ubaldo Mainha-1063.92
823952-Basilio Pedroso-6087.60
939142-Lina Andrade-18367.22
678307-Delfina Perdigon-12110.07
439944-Cleusa Goes-466.97
96464-Esperada Cardoso-18712.42
852794-Domingos Pas-11483.33
187848-Lina Andrade-5379.82
788134-Delfina Garcia de Gondim-9116.84
954407-Ubaldo Mainha-1804.24
782234-Jonatas Felgueiras-12462.09
696282-Almerinda Palmeira-2405.50
352950-Adelina Quadros-7444.89
584711-Emiliana Foquio-10581.67
283940-Zulmira Becerra-13356.07
963917-Edgar Carvalheiro-182.20
622107-Dulce Froes-5480.73
535538-Danilo Olaio-16232.60
519798-Guaraci Damasceno-9825.65
691578-Letedcia Gago-17595.19
909273-Branco Saraba-12868.18
518830-Delfina Perdigon-3810.31
404284-Sidfnio Frois-14683.83
11484-Zulmira Becerra-6884.85
142370-Letedcia Gago-21257.69
454369-Rebeca Neto-11572.49
41053-Urbano Rodrigues-15998.71
960484-Armindo Castalo-2869.23
377863-Melinda Roserio-19974.43
478962-Oliveira Carmona-15436.51
3771-Odete Vasques-11230.76
737888-Henrique Bento-8421.11
537970-Regina Barcellos-13095.16
826806-Cleusa Goes-670.43
282705-Anfnia Seixas-4731.86
861962-Antonio Castelo-4271.57
661041-Odilia Camello-18001.98
49089-Odilia Bello-14456.75
697602-Clara Alcantara-20490.52
427418-Almerinda Palmeira-2270.48
676593-Jussara Varanda-4550.51
260064-Flamednia Leiria-18317.89
874115-Marilda Leio-3028.44
388047-Carminda Morais-9076.70
386571-Zulmira Becerra-4094.69
669981-Gaudancio Fiees-1438.48
718544-Adelina Quadros-1290.25
154369-Esperada Cardoso-9130.74
996642-Tibofarcio Camacho-19717.72
314216-Angelica Aranha-21401.99
