471694-Fulvio Villegas-2033.49
419723-Carminda Morais-3636.89
15752-Neeamia Arruda-2489.46
451076-Almerinda Palmeira-9633.21
575413-Moaci Mendoa-13627.57
539794-Tibefarcio Colao-20042.90
50293-Anfnia Seixas-13534.29
590765-Tibofarcio Camacho-12236.93
557577-Branco Saraba-7860.82
264854-Flamednia Leiria-9411.28
840006-Fulvio Villegas-11855.99
723804-Zulmira Becerra-15570.19
412323-Delfim Higuera-13485.51
417593-Sidfnio Frois-5365.19
431447-Esperada Cardoso-3526.10
845014-Fulvio Villegas-14441.50
763458-Elisa Themes-8857.17
710668-Tibefarcio Colao-6468.24
41159-Jorgina Bogalho-8663.81
538576-Celeste Duarte-7351.63
716271-Edgar Carvalheiro-485.19
243468-Camila Gabeira-5072.43
459366-Anind Zarco-10906.55
620893-Oliveira Carmona-10385.89
620130-Angelica Aranha-10500.21
376468-Sara Lameiras-9233.82
939414-Judite Damasceno-9471.45
447599-Filomena Barrios-14218.56
648392-Lina Andrade-9394.14
447997-Edgar Carvalheiro-8814.68
375218-Manuel Capiperibe-2967.01
418103-Ximena Castilho-15359.45
480021-Angilica Galante-6679.20
609430-Antonio Viegas-890.58
773756-Armanda Amorim-7626.78
32062-Delfina Perdigon-19040.54
956846-Jonatas Felgueiras-12225.10
114752-Zungela Ipiranga-714.74
96547-Andreia Moita-18221.22
459807-Spnia ou Sonia Guerreiro-8180.87
502091-Tibefarcio Colao-1479.78
547053-Branco Saraba-9973.96
351202-Anfnia Seixas-6283.93
810509-Guaraci Damasceno-3895.18
375271-Moaci Mendoa-8172.92
476936-Judite Damasceno-1168.41
444165-Jonatas Felgueiras-18797.97
589473-Antonio Viegas-5494.29
590824-Angilica Galante-10675.25
5729-Judite Damasceno-55.01
405468-Carminda Morais-2460.03
989960-Spnia ou Sonia Guerreiro-18375.50
551729-Delfina Garcia de Gondim-9924.18
33791-Aludsio Sosa-9487.45
573390-Sidfnio Frois-5976.36
790656-Quintino Alcantara-9891.13
578411-Odete Vasques-8990.74
392419-Basilio Pedroso-12746.63
680281-Lina Andrade-13902.54
90389-Antonio Castelo-377.76
103443-Jorgina Bogalho-2461.82
611014-Adelina Quadros-1646.88
998501-Henrique Bento-13292.40
294981-Manuel Capiperibe-1127.90
109885-Heleedsa Marins-8993.63
216969-Cassandra Varejo-1566.70
681000-Lina Andrade-19362.49
942471-Celeste Duarte-10181.58
148839-Leonidas Mafra-17688.38
880299-Cleusa Goes-17154.45
113010-Leonidas Mafra-16760.64
349063-Aludsio Sosa-17986.75
651863-Dulce Froes-9331.90
888966-Henrique Bento-18554.85
870880-Leonidas Mafra-6601.11
489229-Oliveira Senchez-3118.45
220949-Jussara Varanda-9275.26
59261-Angilica Galante-919.85
44582-Tabalipa Duarte-5021.33
316792-Manuel Capiperibe-10780.14
848916-Dulce Froes-18251.27
79126-Artur Grillo-8419.92
481030-Zulmira Becerra-21136.44
639061-Augusta Paio-1900.49
587011-Camila Gabeira-3149.20
414622-Ubaldo Mainha-9384.09
912549-Carminda Morais-9021.47
659205-Mercia Caeira-11052.06
596064-Jorgina Bogalho-6747.67
370704-Tibofarcio Camacho-10010.84
589866-Esperada Cardoso-21219.33
906049-Heleedsa Marins-21360.12
897563-Oliveira Senchez-12080.09
595613-Mercia Caeira-6671.65
778828-Estanislau Beserra-6262.68
589799-Tibefarcio Colao-19846.82
761846-Taercio Mafra-6041.11
943265-Anfnia Seixas-5682.87
625584-Angelica Aranha-7478.83
924938-Ubaldo Mainha-7642.54
