500174-Andreia Moita-216.34
497376-Eurico Siqueira-16333.81
800769-Filomena Barrios-12770.32
110627-Angelica Aranha-14961.23
791269-Danilo Olaio-13824.04
37277-Zungela Ipiranga-9427.15
442388-Heleedsa Marins-1775.91
897774-Mercia Caeira-5630.15
382579-Honorina Lira-14163.81
723325-Tabalipa Duarte-411.95
993745-Heleedsa Marins-2466.95
900102-Odilia Bello-2941.93
248594-Filomena Barrios-18349.93
155537-Henrique Bento-2826.20
536643-Adelino Barra-9304.12
660021-Almerinda Palmeira-12544.49
438320-Tibefarcio Colao-5494.08
91469-Polibe Olivares-1798.22
368388-Moaci Mendoa-11122.04
656291-Oliveira Carmona-16289.28
642080-Jonatas Felgueiras-3474.38
261629-Artur Grillo-9743.38
778854-Trajano Fagundes-14215.86
327896-Zungela Ipiranga-20587.42
32299-Oliveira Senchez-9517.95
624100-Rodolfo Paz-10164.55
963654-Oliveira Senchez-18328.93
378246-Ubaldo Mainha-5735.01
323975-Gaudancio Fiees-14488.70
650541-Clara Alcantara-18205.26
172115-Flamednia Leiria-3556.84
905223-Mercia Caeira-13709.46
314537-Esperada Cardoso-572.41
749882-Fulvio Villegas-19865.69
289182-Urbano Rodrigues-651.18
756409-Carminda Morais-21177.42
188842-Marilda Leio-4972.22
28869-Polibe Olivares-18236.00
690616-Delfina Perdigon-2174.40
556662-Clara Alcantara-13900.91
866684-Zungela Ipiranga-10877.79
130780-Judite Damasceno-17046.85
216347-Artur Grillo-13875.15
921037-Clarindo Areosa-19712.65
367683-Dulce Froes-15910.71
125631-Tibefarcio Colao-11773.44
338550-Angilica Galante-19845.32
477465-Cassandra Varejo-2670.78
601141-Anfnia Seixas-4997.68
110671-Tibofarcio Camacho-16473.25
662345-Eurico Siqueira-10437.08
898245-Lurdes Cotrim-11838.39
596351-Cleusa Goes-8945.71
535517-Neeamia Arruda-15974.92
559993-Guida Juca-10563.76
185724-Emedlio Pimentel-2230.19
585868-Carminda Morais-1138.73
207727-Odilia Bello-4143.51
945900-Trajano Fagundes-16979.52
124361-Cleusa Goes-11185.79
910004-Flor Portella-4967.58
474944-Tibefarcio Colao-1881.72
240758-Tibefarcio Colao-15637.69
521982-Quintiliano Sousa de Arronches-3858.21
584851-Heleedsa Marins-7883.81
751251-Joaquim Rufino-6890.83
744887-Letedcia Gago-581.85
303659-Delfina Garcia de Gondim-15403.93
940083-Trajano Fagundes-5168.55
344776-Regina Barcellos-14999.79
590752-Armindo Castalo-15848.89
544697-Flamednia Leiria-18593.64
853741-Polibe Olivares-18806.05
734233-Delfim Higuera-8886.43
623562-Nuno Balsemeo-8547.44
889411-Filomena Barrios-12224.96
690115-Sara Lameiras-10217.57
364225-Honorina Lira-895.77
872853-Clarindo Areosa-8405.17
366198-Aludsio Sosa-16268.62
438579-Feledcia Peassego-19484.53
785044-Clara Alcantara-7015.14
787488-Manuel Capiperibe-12173.67
74964-Sara Lameiras-956.18
699343-Lina Andrade-10812.42
187914-Emedlia Silvera-9356.47
275456-Almerinda Palmeira-20293.37
547839-Delfina Garcia de Gondim-1812.18
729142-Ermelinda Quintela-1006.07
765265-Oliveira Carmona-13379.73
296921-Melinda Roserio-7169.28
717762-Henrique Bento-8817.13
535437-Domingos Pas-20205.01
957999-Flor Portella-14020.92
540134-Cassandra Varejo-15597.92
866694-Antonio Castelo-11344.96
688930-Moaci Mendoa-8152.88
784432-Henrique Bento-6603.52
456861-Tabalipa Duarte-625.97
162650-Cleusa Goes-16863.62
