60615-Leonidas Mafra-15728.91
683891-Armanda Amorim-10995.91
518234-Lurdes Cotrim-21431.57
803244-Lurdes Cotrim-9171.71
622057-Micaela Chavez-3973.89
405038-Judite Damasceno-5449.96
342642-Guida Juca-11745.58
667726-Jorgina Bogalho-14651.83
553574-Clarindo Areosa-4767.14
315377-Aludsio Sosa-19156.64
378902-Joaquim Rufino-12722.41
983060-Rodolfo Paz-6804.41
693424-Cleusa Goes-2664.76
827786-Fulvio Villegas-12292.79
158099-Mercia Caeira-20029.01
59816-Angilica Galante-11038.22
914671-Joaquim Rufino-5266.81
620319-Moaci Mendoa-15753.49
714325-Fulvio Villegas-3864.19
370548-Lurdes Cotrim-14527.34
468353-Fulvio Villegas-2516.30
973957-Cassandra Varejo-18236.13
587090-Rodolfo Paz-18613.06
356815-Estanislau Beserra-16716.50
813412-Jussara Varanda-8323.25
659379-Anind Zarco-13773.85
18138-Jonatas Felgueiras-1358.16
934543-Sara Lameiras-10674.36
34109-Sara Lameiras-15031.50
363606-Armindo Castalo-5580.37
873420-Fulvio Villegas-1400.22
624165-Telma Villalobos-18219.96
332437-Liana Cardim-2610.99
118-Moaci Mendoa-18954.56
979510-Odilia Bello-11997.86
859965-Guaraci Damasceno-7189.62
79225-Trajano Fagundes-9979.80
979934-Liana Cardim-10639.14
229817-Adelino Barra-2344.65
415152-Tibefarcio Colao-11338.28
851318-Tabalipa Duarte-13827.02
400863-Trajano Fagundes-1058.42
595905-Tarrataca Soares-1311.75
97164-Honorina Lira-17251.75
281482-Quintino Alcantara-18221.54
274255-Sidfnio Frois-2775.31
168002-Regina Barcellos-3426.10
393748-Neuza Francia-3965.90
539107-Basilio Pedroso-20148.20
867460-Clarindo Areosa-12887.51
233005-Zulmira Becerra-18186.03
620445-Telma Villalobos-17085.20
3739-Carminda Morais-6346.32
2680-Carminda Morais-4582.45
974083-Delfina Garcia de Gondim-7035.27
731361-Almor Caiado-553.18
450245-Almor Caiado-20384.86
665226-Tarrataca Soares-3463.96
310846-Eurico Siqueira-3414.51
421214-Guaraci Damasceno-13793.19
359938-Odilia Camello-18705.52
516788-Artur Grillo-19551.72
999579-Lina Andrade-13076.92
173450-Clarindo Areosa-1892.11
38521-Celeste Duarte-4951.85
574302-Odilia Camello-12779.17
124405-Regina Barcellos-11088.83
800760-Emedlia Silvera-9860.65
66949-Heleedsa Marins-19733.76
669141-Cleusa Goes-103.13
538840-Jussara Varanda-5256.73
11013-Edgar Carvalheiro-6071.90
519227-Adelina Quadros-3607.06
175740-Guida Juca-20648.79
77715-Regina Barcellos-10024.34
506636-Daniel Vieyra-11430.08
253110-Augusta Paio-6166.49
1490-Emedlio Pimentel-19134.50
145526-Almerinda Palmeira-11350.33
740675-Sara Lameiras-2962.19
170751-Almerinda Palmeira-6857.58
668759-Antonio Viegas-19747.69
855143-Guida Juca-15768.04
733644-Tarrataca Soares-1264.96
339644-Aludsio Sosa-2295.74
614524-Neuza Francia-4420.81
838701-Filomena Barrios-8193.34
429717-Oliveira Senchez-12523.35
118205-Leonidas Mafra-20874.81
182307-Elisa Themes-15187.38
559591-Adelino Barra-9254.25
126345-Dulce Froes-306.10
366655-Tibefarcio Colao-7894.65
829156-Trajano Fagundes-2147.15
687297-Anfnia Seixas-6430.55
979601-Artur Grillo-4221.86
796722-Quintiliano Sousa de Arronches-8300.24
263064-Sara Lameiras-8279.70
695739-Manuel Capiperibe-14020.89
678049-Celeste Duarte-2307.87
879135-Sidfnio Frois-16193.47
837836-Andreia Moita-17984.73
81519-Nuno Balsemeo-13753.56
129411-Dulce Froes-7107.02
189956-Ermelinda Quintela-18693.89
824518-Odete Vasques-15588.85
539732-Judite Damasceno-9221.98
588710-Angilica Galante-5759.78
489293-Basilio Pedroso-2861.90
387007-Elisa Themes-11878.68
538881-Trajano Fagundes-14297.47
115665-Zungela Ipiranga-16975.85
302470-Lina Andrade-18186.66
470793-Rodolfo Paz-12223.12
837924-Zungela Ipiranga-350.18
776213-Carminda Morais-6338.43
900184-Micaela Chavez-13133.82
564891-Oliveira Senchez-7454.88
200050-Quintiliano Sousa de Arronches-1824.93
923866-Regina Barcellos-17118.80
951352-Moaci Mendoa-4099.35
325745-Eurico Siqueira-14970.51
689744-Emiliana Foquio-7088.70
926356-Tibefarcio Colao-9823.41
864737-Angelica Aranha-3846.95
708537-Esperada Cardoso-17064.71
953708-Almerinda Palmeira-10748.88
396974-Rodolfo Paz-14674.53
334101-Joaquim Rufino-15646.53
944478-Sara Lameiras-6210.93
455210-Ubaldo Mainha-10150.44
196376-Cleusa Goes-708.86
554869-Cleusa Goes-17345.76
95855-Basilio Pedroso-9390.19
948747-Ermelinda Quintela-5424.00
819853-Cassandra Varejo-2666.25
533691-Tibofarcio Camacho-16705.79
146346-Jorgina Bogalho-13814.92
246527-Armindo Castalo-21228.26
356231-Flamednia Leiria-20332.87
346115-Oliveira Carmona-1532.58
271410-Almerinda Palmeira-599.71
764135-Danilo Olaio-13035.26
643111-Angilica Galante-14076.22
862779-Domingos Pas-15945.71
777417-Tarrataca Soares-18993.90
163237-Letedcia Gago-8084.40
469480-Almor Caiado-17825.87
228333-Honorina Lira-12723.50
156198-Delfina Perdigon-16077.06
176941-Branco Saraba-2055.68
241915-Emiliana Foquio-17708.40
709569-Odilia Bello-13581.20
753296-Artur Grillo-18237.63
332155-Jussara Varanda-20026.26
310885-Heleedsa Marins-1319.20
914375-Emedlia Silvera-655.99
612684-Carminda Morais-7310.69
319140-Romo Paranage-14482.97
851491-Quintiliano Sousa de Arronches-16344.54
703272-Silvio Mata-19106.30
296989-Angelica Aranha-11443.89
378076-Micaela Chavez-15540.98
985048-Emedlia Silvera-5793.68
730114-Sofras Cuaresma-13067.00
562021-Honorina Lira-21310.11
784271-Angilica Galante-11714.42
963258-Filomena Barrios-985.71
245330-Marilda Leio-2938.90
877012-Rodolfo Paz-17327.41
730889-Feledcia Peassego-59.61
153076-Branco Saraba-17092.58
931334-Artur Grillo-4601.52
346152-Angilica Galante-18571.38
524287-Angilica Galante-8653.84
361224-Trajano Fagundes-12269.46
601676-Judite Damasceno-5462.47
957935-Joaquim Rufino-17792.10
383129-Feledcia Peassego-2659.71
105592-Nuno Balsemeo-15738.48
797874-Clara Alcantara-8680.96
636915-Basilio Pedroso-5017.65
380984-Silvio Mata-982.13
739650-Letedcia Gago-10155.59
949857-Taercio Mafra-7826.00
892817-Adelina Quadros-14019.61
846710-Domingos Pas-8580.79
758617-Nuno Balsemeo-13640.37
241221-Eurico Siqueira-15034.20
613662-Oliveira Carmona-5770.42
727432-Henrique Bento-2193.56
318507-Almerinda Palmeira-1935.09
683875-Feledcia Peassego-16438.90
201614-Dulce Froes-18296.30
856771-Armindo Castalo-13300.96
412165-Neuza Francia-14519.89
429817-Almerinda Palmeira-313.52
693999-Cassandra Varejo-3871.11
684321-Carminda Morais-4703.52
646113-Antonio Viegas-5749.66
456388-Delfina Garcia de Gondim-2862.09
878738-Armindo Castalo-17575.28
582593-Emiliana Foquio-2557.28
982934-Angelica Aranha-5359.30
458617-Tabalipa Duarte-1603.03
533931-Emiliana Foquio-21417.15
570099-Flamednia Leiria-12646.61
717853-Celeste Duarte-2228.72
386073-Neuza Francia-7955.56
506944-Quintino Alcantara-11012.02
669707-Odilia Bello-5661.75
188587-Daniel Vieyra-585.70
216852-Jorgina Bogalho-801.52
135486-Urbano Rodrigues-7291.35
716845-Lurdes Cotrim-8735.94
394433-Flor Portella-12961.28
577419-Urbano Rodrigues-12512.14
112515-Guaraci Damasceno-15969.32
758336-Odilia Bello-15498.35
756105-Liana Cardim-4658.58
235835-Sofras Cuaresma-10695.28
924959-Almerinda Palmeira-14327.16
141984-Armanda Amorim-17489.33
603489-Anind Zarco-15145.85
994737-Nuno Balsemeo-4118.18
688851-Artur Grillo-19182.12
614347-Leonidas Mafra-10433.06
201043-Angilica Galante-21134.19
175642-Rodolfo Paz-12206.93
706115-Adelina Quadros-9829.66
438574-Danilo Olaio-19752.02
862111-Tibofarcio Camacho-1886.43
855466-Anind Zarco-16757.85
1230-Melinda Roserio-2499.05
282339-Melinda Roserio-7419.00
673761-Henrique Bento-11645.89
193075-Jussara Varanda-15122.03
443085-Delfim Higuera-9019.20
625292-Spnia ou Sonia Guerreiro-17040.96
674826-Jorgina Bogalho-4193.18
65926-Andreia Moita-2962.73
501005-Branco Saraba-19011.35
168648-Melinda Roserio-9975.07
769357-Adelino Barra-19605.08
471321-Polibe Olivares-12243.07
507737-Jorgina Bogalho-18099.81
756687-Quintino Alcantara-7186.90
828294-Fulvio Villegas-13491.33
318721-Angilica Galante-10032.75
535361-Sidfnio Frois-12309.50
201614-Spnia ou Sonia Guerreiro-3505.32
102371-Judite Damasceno-15790.33
646240-Esperada Cardoso-20542.02
975205-Jorgina Bogalho-13774.88
725458-Angilica Galante-10634.75
375386-Oliveira Carmona-15239.83
130192-Branco Saraba-3822.56
87870-Ximena Castilho-8290.84
482167-Neeamia Arruda-6829.19
972375-Cassandra Varejo-11644.55
297311-Ximena Castilho-11091.73
379199-Dulce Froes-3447.91
629205-Armindo Castalo-12074.38
386443-Jorgina Bogalho-10779.29
168497-Branco Saraba-2061.71
774056-Carminda Morais-14815.46
360531-Anfnia Seixas-17736.77
153700-Trajano Fagundes-4472.81
596649-Almerinda Palmeira-5517.63
314670-Celeste Duarte-16437.35
982590-Letedcia Gago-19950.33
699039-Micaela Chavez-19019.28
448670-Artur Grillo-11180.74
916484-Odete Vasques-6409.77
388189-Spnia ou Sonia Guerreiro-2836.61
