617209-Henrique Bento-9199.70
941035-Celeste Duarte-18930.36
959303-Henrique Bento-7097.52
228537-Silvio Mata-21028.26
831040-Estanislau Beserra-14417.09
772546-Mercia Caeira-15131.81
220491-Jussara Varanda-17845.14
772813-Elisa Themes-3300.28
37587-Tibofarcio Camacho-9266.76
517683-Judite Damasceno-10429.39
343605-Emiliana Foquio-20605.56
444456-Camila Gabeira-12430.13
41429-Honorina Lira-4264.89
362131-Henrique Bento-5147.18
282417-Tibofarcio Camacho-8665.49
536508-Joaquim Rufino-5618.38
222228-Fulvio Villegas-21310.58
866835-Clara Alcantara-5153.47
873568-Zulmira Becerra-13333.85
271359-Quintiliano Sousa de Arronches-3514.19
558065-Branco Saraba-8827.62
815200-Flor Portella-7497.23
625018-Oliveira Senchez-20747.65
186770-Flamednia Leiria-12276.43
606872-Honorina Lira-5884.42
736263-Anfnia Seixas-14399.78
562667-Liana Cardim-16432.01
903212-Celeste Duarte-16950.67
788186-Clarindo Areosa-18659.41
349485-Angilica Galante-13267.29
365914-Ximena Castilho-1788.03
938332-Guaraci Damasceno-14896.18
40476-Oliveira Carmona-7097.60
148003-Emedlio Pimentel-6964.63
456746-Augusta Paio-14050.70
830449-Jussara Varanda-21298.06
41659-Clara Alcantara-888.85
343570-Daniel Vieyra-13617.88
476291-Flamednia Leiria-19835.76
510114-Daniel Vieyra-7334.42
479074-Odilia Bello-8018.08
694071-Odete Vasques-21017.46
148619-Tabalipa Duarte-15813.03
884145-Delfina Garcia de Gondim-18144.51
779134-Tibefarcio Colao-11684.24
116001-Carminda Morais-5097.71
431256-Artur Grillo-4003.29
463479-Oliveira Carmona-8236.73
595856-Cassandra Varejo-1476.65
669251-Honorina Lira-18531.76
471376-Urbano Rodrigues-19966.55
593000-Danilo Olaio-14608.65
332971-Sidfnio Frois-9955.30
349012-Fulvio Villegas-5279.31
827892-Andreia Moita-12857.10
376484-Augusta Paio-17098.26
763755-Emedlia Silvera-10927.73
36022-Danilo Olaio-10777.53
96496-Lina Andrade-12123.49
249716-Lina Andrade-12150.18
361519-Emedlia Silvera-2650.06
281467-Elisa Themes-6885.99
464245-Henrique Bento-18279.32
950329-Basilio Pedroso-977.97
920427-Micaela Chavez-4896.25
314932-Mercia Caeira-1135.18
480647-Quintiliano Sousa de Arronches-10992.82
491935-Mercia Caeira-13883.18
659661-Melinda Roserio-1949.31
9173-Lurdes Cotrim-16501.80
50585-Spnia ou Sonia Guerreiro-450.58
262972-Micaela Chavez-4763.40
340405-Manuel Capiperibe-7508.04
464207-Cleusa Goes-3022.71
518524-Delfina Perdigon-9451.91
798841-Carminda Morais-17005.06
421160-Melinda Roserio-9305.03
816737-Sara Lameiras-11829.95
965404-Zulmira Becerra-11341.71
979369-Rodolfo Paz-9316.96
527882-Sara Lameiras-2812.63
82321-Joaquim Rufino-11795.26
235686-Mercia Caeira-7923.83
837301-Basilio Pedroso-1153.64
236177-Estanislau Beserra-18238.82
260206-Guaraci Damasceno-7611.97
802225-Almor Caiado-7846.19
142341-Fulvio Villegas-8394.35
800224-Heleedsa Marins-20034.01
905074-Delfina Perdigon-11938.96
190255-Ubaldo Mainha-17734.24
533638-Emiliana Foquio-18595.07
733043-Romo Paranage-21407.42
736362-Ermelinda Quintela-1500.96
10278-Neeamia Arruda-2803.32
475218-Feledcia Peassego-8735.92
962465-Oliveira Carmona-20433.95
469020-Urbano Rodrigues-5940.53
970466-Clara Alcantara-613.70
159167-Camila Gabeira-6402.75
