965071-Cassandra Varejo-18573.62
97095-Angilica Galante-3554.98
155977-Esperada Cardoso-9949.26
25135-Clarindo Areosa-17535.85
224649-Odilia Camello-603.33
204438-Zulmira Becerra-12477.61
137222-Spnia ou Sonia Guerreiro-1770.07
27620-Domingos Pas-18886.13
759926-Polibe Olivares-900.06
940820-Branco Saraba-4749.27
395451-Liana Cardim-19218.92
543471-Leonidas Mafra-13965.06
545678-Anfnia Seixas-1691.78
701268-Oliveira Carmona-817.20
356443-Feledcia Peassego-3549.44
436868-Ubaldo Mainha-5621.49
907467-Andreia Moita-8622.86
702354-Emedlio Pimentel-20833.13
315436-Ermelinda Quintela-1455.90
38312-Gaudancio Fiees-19475.31
701830-Rebeca Neto-9514.42
760341-Liana Cardim-2015.02
316651-Branco Saraba-19970.48
798660-Lurdes Cotrim-14752.66
381935-Jussara Varanda-601.38
298076-Spnia ou Sonia Guerreiro-945.75
491923-Trajano Fagundes-14154.83
176129-Carminda Morais-10427.01
505917-Odilia Bello-13480.17
842006-Urbano Rodrigues-19850.55
588952-Odilia Bello-19832.73
260884-Nuno Balsemeo-10525.50
954895-Zungela Ipiranga-16958.67
310612-Guaraci Damasceno-6131.82
902226-Estanislau Beserra-17055.63
921681-Adelina Quadros-7383.78
606120-Rebeca Neto-11068.70
576413-Armindo Castalo-8405.62
892884-Emedlio Pimentel-18280.68
282756-Odete Vasques-20119.10
719553-Tabalipa Duarte-18670.16
115077-Gaudancio Fiees-11677.93
12799-Angilica Galante-13107.48
474750-Delfina Perdigon-3175.75
202198-Esperada Cardoso-4174.77
584289-Clarindo Areosa-19653.99
25189-Sidfnio Frois-12285.21
465069-Odilia Camello-12166.14
122634-Edgar Carvalheiro-18655.07
796970-Urbano Rodrigues-11733.06
42741-Micaela Chavez-10875.42
594481-Camila Gabeira-4121.73
179827-Carminda Morais-14961.86
664487-Edgar Carvalheiro-20416.61
814416-Odete Vasques-13763.79
560607-Flamednia Leiria-17079.63
684782-Spnia ou Sonia Guerreiro-9835.05
678866-Flor Portella-6184.87
751692-Ermelinda Quintela-16556.09
892824-Estanislau Beserra-11479.22
976972-Taercio Mafra-10804.82
76738-Domingos Pas-12890.76
485708-Artur Grillo-6787.72
158779-Adelina Quadros-9454.37
890211-Emedlio Pimentel-5547.67
614934-Lurdes Cotrim-12123.28
254629-Polibe Olivares-15090.13
931768-Armanda Amorim-4042.08
706412-Emedlia Silvera-8859.60
20502-Regina Barcellos-4873.69
156793-Moaci Mendoa-12203.46
318488-Silvio Mata-6569.39
686070-Emiliana Foquio-21124.25
723284-Cassandra Varejo-4551.00
453936-Clarindo Areosa-2975.06
563872-Elisa Themes-20571.21
670086-Quintino Alcantara-12568.92
765062-Tarrataca Soares-12728.24
862927-Flor Portella-11740.47
86314-Clarindo Areosa-6785.84
232194-Oliveira Carmona-9597.41
376012-Neuza Francia-9575.75
595899-Nuno Balsemeo-10842.62
588033-Honorina Lira-6885.01
49605-Urbano Rodrigues-18119.55
762329-Delfina Garcia de Gondim-15360.35
319514-Feledcia Peassego-15687.05
889592-Nuno Balsemeo-7459.87
184133-Basilio Pedroso-18338.50
438477-Melinda Roserio-454.52
578152-Leonidas Mafra-8236.85
63779-Estanislau Beserra-9540.61
488447-Flamednia Leiria-17256.56
854217-Edgar Carvalheiro-16697.61
836220-Anfnia Seixas-17318.10
808317-Leonidas Mafra-3190.89
934497-Gaudancio Fiees-7914.09
953038-Urbano Rodrigues-3628.15
312060-Daniel Vieyra-15849.99
717977-Neuza Francia-10489.54
