554024-Manuel Capiperibe-1121.05
890860-Emedlio Pimentel-11047.71
991588-Leonidas Mafra-4507.53
801745-Estanislau Beserra-21141.98
13439-Zungela Ipiranga-10642.27
473906-Oliveira Carmona-16066.78
451881-Judite Damasceno-568.61
851700-Jussara Varanda-16692.86
652134-Jussara Varanda-1200.61
322659-Esperada Cardoso-15215.08
936130-Armindo Castalo-5025.78
548593-Filomena Barrios-5504.69
465281-Judite Damasceno-2119.77
786639-Neeamia Arruda-21287.79
724530-Tibefarcio Colao-9903.08
599929-Lina Andrade-1772.99
96204-Armanda Amorim-19237.51
460858-Ubaldo Mainha-13011.19
502965-Leonidas Mafra-2092.87
524720-Aludsio Sosa-18406.10
616611-Quintiliano Sousa de Arronches-9270.62
296824-Liana Cardim-7941.27
264618-Rodolfo Paz-10635.92
985172-Adelina Quadros-4148.96
419741-Liana Cardim-12906.20
597285-Delfina Garcia de Gondim-7497.36
452946-Danilo Olaio-3003.49
170058-Delfina Perdigon-2973.26
205906-Mercia Caeira-6198.29
785964-Basilio Pedroso-20873.54
390120-Ubaldo Mainha-54.87
572398-Odilia Bello-9287.84
223657-Quintiliano Sousa de Arronches-16670.48
368191-Oliveira Carmona-5235.50
291391-Judite Damasceno-17599.69
39402-Marilda Leio-21455.67
86130-Regina Barcellos-11395.36
399809-Jussara Varanda-9462.22
348490-Urbano Rodrigues-10874.28
67957-Antonio Viegas-16832.14
429925-Emiliana Foquio-21076.04
854173-Sara Lameiras-7156.93
405645-Almor Caiado-2054.33
65974-Ubaldo Mainha-7888.01
621801-Regina Barcellos-2996.09
314007-Honorina Lira-18756.48
226170-Cassandra Varejo-13992.51
519902-Guida Juca-7941.67
623357-Elisa Themes-13615.16
555854-Sara Lameiras-11631.00
874816-Almerinda Palmeira-20395.30
164150-Clara Alcantara-6229.00
753386-Adelina Quadros-20023.06
907141-Neeamia Arruda-7988.88
610588-Romo Paranage-17225.10
799820-Heleedsa Marins-17688.24
555772-Zulmira Becerra-16875.67
880444-Letedcia Gago-17790.87
911192-Leonidas Mafra-1932.26
402978-Neuza Francia-18447.82
109061-Joaquim Rufino-2311.73
935915-Armindo Castalo-18003.38
455938-Carminda Morais-10386.07
409138-Adelina Quadros-17605.14
680060-Elisa Themes-1946.41
560094-Oliveira Carmona-2484.41
604995-Sidfnio Frois-19199.97
900893-Heleedsa Marins-20538.77
880302-Odete Vasques-15963.05
891712-Zungela Ipiranga-16347.08
3081-Flamednia Leiria-17048.17
160685-Tarrataca Soares-17667.53
218699-Oliveira Carmona-3887.25
99118-Guaraci Damasceno-20711.34
867918-Armindo Castalo-11603.31
179604-Guaraci Damasceno-1034.07
315478-Andreia Moita-7760.12
534414-Angilica Galante-2824.29
356315-Almerinda Palmeira-15643.10
404538-Delfim Higuera-16882.01
234937-Artur Grillo-18172.04
755032-Basilio Pedroso-18433.65
128974-Jonatas Felgueiras-2421.00
110148-Silvio Mata-11631.99
122047-Quintiliano Sousa de Arronches-11105.84
775260-Armindo Castalo-18067.63
869607-Ximena Castilho-7255.95
477212-Oliveira Carmona-17021.29
478520-Andreia Moita-730.02
301074-Ximena Castilho-3264.07
347854-Clara Alcantara-121.58
211568-Elisa Themes-15089.13
344484-Filomena Barrios-1745.58
718892-Clara Alcantara-13426.68
227578-Celeste Duarte-3313.07
583307-Oliveira Senchez-16300.82
346173-Anind Zarco-11924.68
121170-Angilica Galante-9384.62
325544-Celeste Duarte-7744.56
355949-Oliveira Carmona-1492.74
