74278-Ermelinda Quintela-14330.05
398046-Rodolfo Paz-2086.95
730090-Odilia Camello-9226.40
681180-Neuza Francia-21098.52
159613-Anfnia Seixas-13479.00
994483-Joaquim Rufino-2229.64
223741-Almor Caiado-20952.33
570842-Zungela Ipiranga-12932.47
848231-Joaquim Rufino-3512.22
725153-Regina Barcellos-1716.62
459097-Camila Gabeira-10367.36
237035-Manuel Capiperibe-16681.34
485316-Anfnia Seixas-12743.80
483641-Camila Gabeira-18790.62
801109-Dulce Froes-18497.38
214618-Andreia Moita-3492.48
755222-Oliveira Carmona-12864.72
677626-Lurdes Cotrim-825.59
676877-Mercia Caeira-20014.08
93681-Emedlia Silvera-11646.49
433861-Elisa Themes-14921.08
294932-Quintiliano Sousa de Arronches-4868.62
850846-Armanda Amorim-17423.47
46356-Rebeca Neto-18458.30
610074-Antonio Castelo-11551.48
589957-Delfim Higuera-4768.79
533962-Emedlia Silvera-5276.34
227136-Silvio Mata-18123.12
683649-Cassandra Varejo-6815.05
361669-Anind Zarco-9475.99
701356-Fulvio Villegas-15930.33
776990-Branco Saraba-19033.28
502967-Letedcia Gago-20871.78
125731-Estanislau Beserra-9197.41
326462-Dulce Froes-5108.67
264774-Fulvio Villegas-609.74
967853-Delfina Perdigon-19405.08
143088-Tibefarcio Colao-18022.51
877675-Dulce Froes-9394.51
52547-Joaquim Rufino-18508.13
360155-Spnia ou Sonia Guerreiro-4130.31
808652-Jorgina Bogalho-19578.08
118721-Moaci Mendoa-17108.27
775679-Emedlia Silvera-9464.69
295870-Romo Paranage-15437.95
447701-Silvio Mata-10575.77
511198-Aludsio Sosa-19845.45
692528-Antonio Viegas-13162.04
702020-Moaci Mendoa-12825.98
732903-Filomena Barrios-17376.50
362508-Oliveira Senchez-16985.27
24695-Henrique Bento-5098.52
47100-Fulvio Villegas-8059.71
247867-Odete Vasques-342.63
706054-Antonio Castelo-405.59
548089-Danilo Olaio-19800.06
847575-Fulvio Villegas-20345.18
171180-Andreia Moita-7317.26
262390-Eurico Siqueira-20314.29
321208-Oliveira Senchez-1726.78
192951-Branco Saraba-3980.40
95326-Antonio Castelo-55.81
838029-Rebeca Neto-8986.28
407674-Danilo Olaio-8693.93
962697-Flor Portella-8376.15
313208-Augusta Paio-13141.63
756686-Sidfnio Frois-2125.27
260984-Romo Paranage-16206.98
969189-Honorina Lira-8984.77
791682-Cleusa Goes-11327.98
781009-Andreia Moita-20269.91
297326-Elisa Themes-18466.03
181989-Artur Grillo-4019.57
553721-Lurdes Cotrim-15513.65
671847-Augusta Paio-19463.27
348591-Antonio Viegas-9831.57
548006-Rodolfo Paz-18669.14
781291-Sara Lameiras-1396.91
257325-Polibe Olivares-14126.60
161776-Domingos Pas-5259.68
260253-Emiliana Foquio-13647.49
882558-Branco Saraba-13325.63
602444-Delfina Perdigon-9392.61
950658-Mercia Caeira-9908.15
691419-Henrique Bento-15214.87
563487-Gaudancio Fiees-4243.52
114949-Delfina Garcia de Gondim-18269.00
677030-Taercio Mafra-13211.97
969966-Heleedsa Marins-17864.55
739794-Tibofarcio Camacho-9591.33
307724-Tarrataca Soares-11593.93
383059-Camila Gabeira-6377.92
577476-Emedlio Pimentel-15473.95
729006-Delfim Higuera-4918.62
761673-Micaela Chavez-4880.69
638176-Ubaldo Mainha-2261.49
188074-Sidfnio Frois-10202.64
651702-Marilda Leio-9354.58
806396-Cassandra Varejo-15924.28
137697-Andreia Moita-17421.67
