20378-Moaci Mendoa-6257.76
312801-Sara Lameiras-2592.60
411626-Clarindo Areosa-12165.17
539357-Lurdes Cotrim-4149.82
556522-Dulce Froes-627.93
701164-Lurdes Cotrim-21396.39
646162-Clara Alcantara-16013.87
24390-Manuel Capiperibe-5810.65
955181-Adelina Quadros-21187.63
253111-Jonatas Felgueiras-2745.47
318946-Rodolfo Paz-13745.67
367665-Leonidas Mafra-19018.80
2348-Honorina Lira-2888.08
824071-Guida Juca-5803.47
380584-Filomena Barrios-11389.04
234867-Letedcia Gago-20836.05
525380-Melinda Roserio-21232.51
159003-Trajano Fagundes-13467.92
380217-Spnia ou Sonia Guerreiro-4582.63
108517-Odilia Camello-18825.16
76425-Silvio Mata-12863.52
819907-Joaquim Rufino-13197.19
823265-Flor Portella-722.38
859668-Fulvio Villegas-20730.62
878168-Branco Saraba-10269.59
689463-Andreia Moita-15161.94
655772-Jussara Varanda-19417.19
524888-Guaraci Damasceno-7553.95
458633-Celeste Duarte-11827.75
155121-Leonidas Mafra-10784.00
431046-Feledcia Peassego-4189.93
757732-Filomena Barrios-19778.12
997036-Telma Villalobos-17191.52
44232-Manuel Capiperibe-8595.28
438678-Camila Gabeira-19614.06
736895-Trajano Fagundes-7926.12
672752-Heleedsa Marins-16402.68
859707-Anind Zarco-18107.93
354854-Emedlio Pimentel-18852.51
629727-Romo Paranage-18349.23
421085-Letedcia Gago-19343.54
80579-Estanislau Beserra-14106.28
459521-Silvio Mata-181.41
76611-Andreia Moita-1931.86
788625-Tibefarcio Colao-3686.24
459795-Flamednia Leiria-16833.61
324989-Camila Gabeira-19260.34
942290-Rodolfo Paz-10724.10
954351-Danilo Olaio-4692.81
741387-Urbano Rodrigues-5749.11
444621-Armindo Castalo-11243.32
140478-Artur Grillo-12564.13
165217-Honorina Lira-1433.89
858455-Celeste Duarte-49.81
79860-Neeamia Arruda-7667.70
223953-Melinda Roserio-13082.30
496548-Antonio Castelo-9980.71
37066-Micaela Chavez-17780.13
886747-Quintino Alcantara-1084.84
504226-Moaci Mendoa-14672.26
560974-Estanislau Beserra-4901.87
488039-Flor Portella-18913.27
43153-Neeamia Arruda-12060.09
256057-Leonidas Mafra-1533.83
138278-Odilia Camello-17404.63
161200-Emedlia Silvera-14862.04
545364-Silvio Mata-1832.17
996228-Rebeca Neto-16192.54
857145-Cleusa Goes-11626.57
999323-Anind Zarco-6986.77
52489-Armindo Castalo-20622.38
954081-Heleedsa Marins-7452.43
268325-Jussara Varanda-3058.02
487446-Basilio Pedroso-7620.58
171705-Tarrataca Soares-1597.13
142430-Basilio Pedroso-10148.74
859417-Filomena Barrios-7159.36
647655-Spnia ou Sonia Guerreiro-11889.32
449434-Dulce Froes-13587.89
251810-Adelino Barra-16947.88
796170-Ximena Castilho-6243.57
527136-Elisa Themes-14193.11
585185-Oliveira Senchez-10410.96
168240-Daniel Vieyra-17805.83
651108-Judite Damasceno-14952.72
597298-Sara Lameiras-9519.30
747114-Rodolfo Paz-14587.90
629808-Judite Damasceno-18664.37
282447-Daniel Vieyra-18054.03
591778-Cassandra Varejo-13841.71
94731-Aludsio Sosa-20699.68
835929-Celeste Duarte-580.11
336114-Marilda Leio-15345.96
638441-Almor Caiado-12632.81
998967-Adelino Barra-15449.32
72321-Delfina Garcia de Gondim-19725.29
536057-Daniel Vieyra-18847.93
935538-Polibe Olivares-14649.39
783344-Manuel Capiperibe-1847.38
420270-Marilda Leio-13543.29
