897492-Mercia Caeira-15389.22
359722-Neeamia Arruda-14192.48
437406-Anind Zarco-6135.02
847142-Clara Alcantara-21271.23
601088-Micaela Chavez-2832.10
51511-Edgar Carvalheiro-21173.01
423366-Delfina Perdigon-15681.53
852201-Odete Vasques-2305.76
611864-Gaudancio Fiees-14131.63
853740-Polibe Olivares-17033.20
168785-Basilio Pedroso-3037.34
439052-Gaudancio Fiees-19880.94
940473-Branco Saraba-2290.48
628733-Angilica Galante-14618.95
851755-Edgar Carvalheiro-12950.12
806273-Branco Saraba-15640.64
21705-Ermelinda Quintela-9440.04
288734-Almor Caiado-15018.56
685506-Ubaldo Mainha-9239.84
268504-Antonio Castelo-13158.38
453280-Carminda Morais-12475.23
76796-Adelino Barra-11884.78
464795-Tarrataca Soares-20474.19
354864-Odilia Bello-815.64
883923-Flor Portella-13494.16
623155-Quintino Alcantara-19312.22
180173-Dulce Froes-6967.60
406862-Edgar Carvalheiro-21330.49
209317-Almerinda Palmeira-19822.51
691065-Lina Andrade-9460.35
493176-Angilica Galante-6110.05
545847-Angelica Aranha-3685.98
692448-Domingos Pas-16380.63
403089-Spnia ou Sonia Guerreiro-7379.34
8562-Honorina Lira-19428.18
142658-Tarrataca Soares-12409.58
340536-Dulce Froes-7496.54
58267-Lina Andrade-20370.61
148052-Guaraci Damasceno-10387.87
221754-Telma Villalobos-13154.78
649466-Armindo Castalo-2754.87
599973-Sofras Cuaresma-3700.33
545031-Almor Caiado-14397.25
425113-Silvio Mata-15661.29
868952-Fulvio Villegas-636.53
728303-Antonio Castelo-3747.96
842144-Henrique Bento-19161.37
199476-Almor Caiado-13367.11
638088-Oliveira Carmona-1383.76
843488-Manuel Capiperibe-13925.97
84178-Danilo Olaio-21202.47
329792-Ermelinda Quintela-14213.63
689829-Guida Juca-4844.25
112732-Heleedsa Marins-13568.50
986071-Antonio Castelo-19727.19
677416-Edgar Carvalheiro-15339.63
842627-Feledcia Peassego-19718.05
178229-Branco Saraba-18355.21
574732-Henrique Bento-11106.76
274159-Sidfnio Frois-17795.19
967573-Ermelinda Quintela-4931.20
631800-Artur Grillo-99.66
845389-Clarindo Areosa-6986.56
300790-Urbano Rodrigues-20497.68
884739-Clara Alcantara-5062.71
122150-Honorina Lira-1584.65
672034-Polibe Olivares-998.24
358575-Domingos Pas-10800.02
272745-Cleusa Goes-8410.93
562595-Judite Damasceno-4218.83
966231-Moaci Mendoa-11378.51
616768-Odete Vasques-11169.99
663235-Aludsio Sosa-7293.61
617958-Clara Alcantara-14146.62
938754-Antonio Castelo-4440.63
494576-Neuza Francia-287.01
530079-Aludsio Sosa-5433.73
887408-Celeste Duarte-17567.32
282390-Odete Vasques-7105.21
353114-Dulce Froes-18380.84
459420-Branco Saraba-895.66
685486-Almor Caiado-18801.83
877457-Sara Lameiras-413.63
725162-Adelina Quadros-14999.81
374036-Lurdes Cotrim-11704.36
777448-Odilia Bello-10254.46
161868-Branco Saraba-4514.93
369925-Telma Villalobos-14203.80
579846-Anind Zarco-14726.63
399069-Odilia Camello-17190.16
101753-Nuno Balsemeo-17914.75
655470-Spnia ou Sonia Guerreiro-356.77
724726-Estanislau Beserra-7565.55
154909-Adelino Barra-3577.96
763161-Branco Saraba-8891.70
434222-Artur Grillo-7094.64
322946-Tibofarcio Camacho-21246.26
68664-Oliveira Senchez-9395.12
62654-Almerinda Palmeira-3816.08
94015-Filomena Barrios-12920.07
