756198-Heleedsa Marins-16175.29
513771-Jussara Varanda-8317.48
956867-Leonidas Mafra-783.23
549904-Carminda Morais-244.48
946329-Jonatas Felgueiras-21230.98
286391-Fulvio Villegas-5891.68
393375-Sara Lameiras-10473.04
51112-Feledcia Peassego-12943.21
401119-Urbano Rodrigues-6566.26
826419-Anfnia Seixas-15923.69
949382-Rodolfo Paz-20911.25
105531-Mercia Caeira-9291.55
484538-Oliveira Carmona-5566.28
91996-Odete Vasques-6211.78
400668-Almerinda Palmeira-16611.24
209924-Odete Vasques-1429.27
180521-Armindo Castalo-20123.20
491304-Andreia Moita-17768.88
100098-Armanda Amorim-17758.05
228246-Ermelinda Quintela-441.48
410855-Armanda Amorim-3130.98
638536-Antonio Castelo-17632.03
131056-Quintiliano Sousa de Arronches-3712.04
429930-Guida Juca-20872.96
693153-Zungela Ipiranga-662.13
54155-Filomena Barrios-3614.23
99679-Armanda Amorim-4996.03
448892-Gaudancio Fiees-18950.95
635250-Joaquim Rufino-8877.11
964114-Polibe Olivares-13939.39
145151-Sara Lameiras-5208.67
483615-Odilia Bello-20335.05
493279-Adelina Quadros-3211.53
614656-Polibe Olivares-19045.83
430356-Cassandra Varejo-3657.92
886708-Tabalipa Duarte-21228.46
270102-Quintiliano Sousa de Arronches-13224.62
973914-Clara Alcantara-11594.27
598312-Camila Gabeira-7805.79
28064-Angilica Galante-8425.43
122293-Jonatas Felgueiras-7902.05
797676-Feledcia Peassego-5672.05
192448-Romo Paranage-11026.98
307500-Andreia Moita-8058.29
718476-Romo Paranage-2977.76
858748-Mercia Caeira-12396.62
905536-Domingos Pas-16269.32
72065-Telma Villalobos-13244.23
849640-Adelina Quadros-21090.21
338358-Polibe Olivares-14615.65
282817-Almor Caiado-15736.88
93873-Zulmira Becerra-6110.02
926414-Clarindo Areosa-3367.11
427848-Andreia Moita-11220.18
511754-Urbano Rodrigues-7592.53
387636-Gaudancio Fiees-14621.12
626003-Zungela Ipiranga-14445.33
842886-Micaela Chavez-12061.22
487176-Urbano Rodrigues-4944.88
226829-Flor Portella-1973.43
509605-Sidfnio Frois-17086.25
513361-Adelino Barra-12542.36
205359-Camila Gabeira-8676.78
627934-Spnia ou Sonia Guerreiro-8701.06
363040-Elisa Themes-10186.18
390088-Regina Barcellos-16790.06
595786-Marilda Leio-6791.48
733885-Augusta Paio-14889.91
294651-Anind Zarco-9729.94
909099-Antonio Viegas-20592.21
605295-Romo Paranage-12952.47
989180-Regina Barcellos-16187.61
374781-Tibefarcio Colao-14494.82
987251-Joaquim Rufino-18901.10
617738-Carminda Morais-15989.90
501072-Clara Alcantara-8738.96
12352-Delfina Garcia de Gondim-9544.92
573467-Odilia Camello-13202.26
772834-Taercio Mafra-11480.37
943742-Urbano Rodrigues-3994.62
973605-Jussara Varanda-5360.67
628887-Cleusa Goes-9840.57
552519-Jussara Varanda-2069.48
638211-Celeste Duarte-6889.35
346516-Rebeca Neto-14045.53
672835-Daniel Vieyra-9655.70
521157-Antonio Viegas-8340.99
33837-Delfina Garcia de Gondim-3071.89
537410-Adelino Barra-5909.62
551756-Odilia Camello-324.22
787352-Feledcia Peassego-9763.95
786508-Feledcia Peassego-8365.41
62584-Clara Alcantara-8670.93
337291-Judite Damasceno-19357.31
722213-Quintiliano Sousa de Arronches-6175.94
129444-Odete Vasques-787.83
916370-Clara Alcantara-19983.04
711480-Estanislau Beserra-6128.55
248660-Tibofarcio Camacho-17063.92
