999518-Danilo Olaio-5774.37
72699-Micaela Chavez-6536.36
711981-Lina Andrade-5419.09
900994-Rodolfo Paz-2055.24
293255-Flamednia Leiria-6810.79
854353-Ubaldo Mainha-10550.26
171054-Marilda Leio-230.62
541468-Leonidas Mafra-12992.97
23856-Spnia ou Sonia Guerreiro-17190.06
721459-Mercia Caeira-3195.73
793946-Sara Lameiras-18025.72
972672-Angilica Galante-1871.62
706138-Jorgina Bogalho-8278.74
810150-Basilio Pedroso-20267.75
88883-Lurdes Cotrim-21030.68
518078-Antonio Viegas-74.38
440074-Zungela Ipiranga-17196.09
229189-Emiliana Foquio-6056.67
415548-Urbano Rodrigues-7096.91
768735-Lurdes Cotrim-10214.13
81555-Urbano Rodrigues-1707.23
831590-Domingos Pas-16106.96
217497-Ximena Castilho-13839.18
512650-Liana Cardim-922.45
847918-Oliveira Senchez-5933.33
262331-Fulvio Villegas-9688.52
702941-Neeamia Arruda-1448.08
205740-Micaela Chavez-11850.37
521726-Moaci Mendoa-959.69
359574-Delfim Higuera-17517.38
770387-Ermelinda Quintela-3343.36
753683-Neuza Francia-7161.67
414865-Feledcia Peassego-14033.85
949563-Melinda Roserio-7904.14
775122-Nuno Balsemeo-12302.62
701149-Angilica Galante-12565.24
549294-Branco Saraba-19242.27
523315-Branco Saraba-11089.49
164681-Branco Saraba-1099.87
497247-Andreia Moita-6463.47
758826-Guaraci Damasceno-8901.17
743364-Edgar Carvalheiro-4963.87
939884-Lurdes Cotrim-17998.02
570878-Fulvio Villegas-13332.68
930142-Taercio Mafra-11235.59
139265-Delfim Higuera-11262.61
199972-Almerinda Palmeira-13488.10
68689-Branco Saraba-13633.33
490959-Antonio Viegas-17754.98
882328-Domingos Pas-11475.11
527885-Silvio Mata-5007.87
509185-Quintiliano Sousa de Arronches-60.46
657817-Sofras Cuaresma-12739.86
707630-Anfnia Seixas-13935.57
171275-Judite Damasceno-4570.04
413022-Adelino Barra-12051.43
178849-Tibofarcio Camacho-3118.59
688051-Guida Juca-694.44
662720-Silvio Mata-16629.35
624583-Odete Vasques-8933.34
933213-Spnia ou Sonia Guerreiro-16598.62
875351-Mercia Caeira-18.87
204680-Edgar Carvalheiro-9305.45
336066-Danilo Olaio-15542.53
768127-Marilda Leio-5159.40
243281-Branco Saraba-11933.54
11735-Flamednia Leiria-5480.49
590078-Antonio Castelo-5042.53
501626-Tarrataca Soares-234.32
427412-Urbano Rodrigues-13630.57
381035-Feledcia Peassego-8745.06
637675-Nuno Balsemeo-15953.82
424342-Branco Saraba-18745.86
197274-Gaudancio Fiees-13644.39
560053-Henrique Bento-13982.07
410116-Delfina Perdigon-9519.67
435786-Letedcia Gago-11519.78
804329-Tabalipa Duarte-11995.68
617140-Tibefarcio Colao-3105.86
881530-Dulce Froes-2605.30
996178-Sidfnio Frois-494.27
972619-Eurico Siqueira-1780.65
352742-Polibe Olivares-6524.89
761659-Dulce Froes-5992.03
456057-Lina Andrade-14117.63
90859-Oliveira Senchez-13996.90
79088-Odilia Camello-17681.25
115945-Adelino Barra-6814.46
922186-Jussara Varanda-3565.80
160530-Odilia Camello-3089.77
455562-Rebeca Neto-14319.74
773198-Liana Cardim-10904.63
988790-Romo Paranage-14338.15
790666-Sidfnio Frois-12450.93
547597-Silvio Mata-20785.49
27710-Anfnia Seixas-1551.57
474285-Camila Gabeira-9632.36
415411-Letedcia Gago-7558.68
924812-Tabalipa Duarte-373.07
20468-Adelino Barra-9784.67
