127590-Urbano Rodrigues-6101.99
134877-Almor Caiado-10731.63
98634-Flor Portella-2658.62
618289-Andreia Moita-9641.00
243499-Quintiliano Sousa de Arronches-8379.47
29431-Nuno Balsemeo-7726.67
446965-Henrique Bento-6770.53
101034-Cleusa Goes-19472.79
591633-Odilia Camello-20149.22
476055-Anfnia Seixas-17653.29
209689-Telma Villalobos-14659.73
734785-Manuel Capiperibe-14911.08
213989-Nuno Balsemeo-14267.23
831985-Emedlia Silvera-15593.41
829390-Jorgina Bogalho-18495.84
181919-Fulvio Villegas-12071.30
370389-Sofras Cuaresma-9110.93
314691-Carminda Morais-17041.94
483067-Zulmira Becerra-7253.02
480240-Tabalipa Duarte-19897.79
40001-Cassandra Varejo-4095.05
282792-Quintiliano Sousa de Arronches-17612.39
205054-Odilia Bello-12079.70
505676-Letedcia Gago-20998.02
906764-Feledcia Peassego-17161.47
254517-Jonatas Felgueiras-5638.46
269162-Eurico Siqueira-20052.16
853600-Angilica Galante-7390.47
233671-Antonio Castelo-10315.30
51821-Nuno Balsemeo-535.27
198709-Carminda Morais-665.67
350981-Andreia Moita-16808.50
610810-Regina Barcellos-16745.71
593183-Tibefarcio Colao-3135.93
432740-Guaraci Damasceno-7095.00
889333-Clara Alcantara-15527.54
959689-Esperada Cardoso-14685.40
156181-Ximena Castilho-11339.10
547141-Odilia Bello-3486.60
240552-Eurico Siqueira-11277.12
228823-Anfnia Seixas-9414.27
721642-Clara Alcantara-12557.78
486499-Feledcia Peassego-14143.88
704679-Emedlio Pimentel-6964.98
757223-Urbano Rodrigues-6614.47
473523-Cleusa Goes-10113.36
35497-Mercia Caeira-8058.12
813535-Antonio Viegas-9559.69
671384-Polibe Olivares-10185.16
543057-Basilio Pedroso-17187.56
457849-Micaela Chavez-7515.02
423058-Guaraci Damasceno-6737.39
270532-Tabalipa Duarte-10992.26
688973-Basilio Pedroso-10884.47
700409-Sidfnio Frois-5937.21
727957-Ermelinda Quintela-13311.94
26134-Rebeca Neto-17172.29
864101-Almor Caiado-16095.60
611812-Carminda Morais-17472.31
535640-Tabalipa Duarte-10142.90
171056-Regina Barcellos-16117.48
749473-Moaci Mendoa-14586.88
105521-Almor Caiado-884.74
366361-Carminda Morais-13231.63
641530-Marilda Leio-11813.80
847414-Quintiliano Sousa de Arronches-3726.24
906052-Feledcia Peassego-4496.51
293483-Tibofarcio Camacho-7335.15
649538-Danilo Olaio-2106.43
521358-Camila Gabeira-13771.79
665846-Antonio Castelo-10658.66
828179-Artur Grillo-2181.32
729997-Heleedsa Marins-897.54
857801-Letedcia Gago-20951.20
948972-Rebeca Neto-4882.78
760735-Leonidas Mafra-2256.42
282965-Odete Vasques-1710.64
551158-Sofras Cuaresma-11303.58
378849-Basilio Pedroso-19120.07
953776-Emedlia Silvera-13870.45
335346-Artur Grillo-12742.27
465058-Mercia Caeira-1775.72
798672-Trajano Fagundes-9183.01
606722-Elisa Themes-3006.76
94531-Almerinda Palmeira-15606.25
962510-Esperada Cardoso-9969.02
454968-Quintino Alcantara-20881.85
114391-Judite Damasceno-1092.52
288529-Neuza Francia-9646.31
105545-Eurico Siqueira-21065.85
617432-Manuel Capiperibe-2544.37
995246-Melinda Roserio-13149.02
504814-Marilda Leio-3042.17
284359-Mercia Caeira-16058.23
183892-Tibofarcio Camacho-1004.34
877647-Jussara Varanda-12643.97
696685-Sidfnio Frois-11753.68
96116-Odete Vasques-2829.99
853070-Anind Zarco-14682.87
133438-Odilia Bello-6469.09
