765592-Clara Alcantara-5805.81
733654-Fulvio Villegas-11651.27
612978-Emedlio Pimentel-3333.63
558850-Delfim Higuera-60.41
56480-Melinda Roserio-20749.92
435301-Clarindo Areosa-8718.41
135056-Augusta Paio-21176.03
538903-Aludsio Sosa-5752.32
61735-Rebeca Neto-18488.30
977040-Quintiliano Sousa de Arronches-5165.32
783715-Judite Damasceno-3448.14
363689-Sara Lameiras-8625.47
840834-Tibofarcio Camacho-3196.77
663622-Estanislau Beserra-21342.36
978701-Branco Saraba-12268.08
229717-Zulmira Becerra-12382.44
389492-Honorina Lira-2948.95
412860-Edgar Carvalheiro-8484.34
290764-Jussara Varanda-9684.96
145644-Delfim Higuera-4129.89
991173-Ubaldo Mainha-842.89
901827-Moaci Mendoa-1616.53
455710-Moaci Mendoa-16914.94
372401-Neeamia Arruda-6866.74
846392-Andreia Moita-11066.53
312209-Tarrataca Soares-14828.82
619208-Romo Paranage-18572.72
561711-Dulce Froes-19376.85
735895-Manuel Capiperibe-11664.92
739950-Silvio Mata-7621.54
792230-Domingos Pas-8861.45
174677-Antonio Castelo-21190.47
588243-Danilo Olaio-13310.19
194962-Neuza Francia-10029.08
37331-Lina Andrade-11407.54
720888-Celeste Duarte-16720.66
131878-Oliveira Carmona-13212.02
954412-Tabalipa Duarte-582.80
727395-Moaci Mendoa-6060.16
479858-Tibefarcio Colao-5182.72
737896-Estanislau Beserra-3115.80
285226-Micaela Chavez-3307.55
485537-Jorgina Bogalho-14383.43
696016-Filomena Barrios-18065.38
96636-Oliveira Senchez-14220.92
633396-Moaci Mendoa-15118.13
85069-Neeamia Arruda-11664.61
808444-Sara Lameiras-6809.32
732732-Tibefarcio Colao-9036.59
665050-Jonatas Felgueiras-6556.56
751042-Heleedsa Marins-3499.10
981881-Cassandra Varejo-707.11
292098-Emedlia Silvera-21271.97
621051-Marilda Leio-17684.09
857493-Oliveira Senchez-18285.06
880520-Polibe Olivares-12666.56
453287-Judite Damasceno-15657.41
260408-Heleedsa Marins-2880.66
830892-Tabalipa Duarte-15187.98
933336-Emedlio Pimentel-21294.63
307692-Elisa Themes-7347.31
262542-Anfnia Seixas-3682.29
488914-Oliveira Carmona-10015.21
58701-Angilica Galante-18181.42
683217-Polibe Olivares-16735.16
399792-Taercio Mafra-17083.96
445668-Domingos Pas-14473.66
469075-Armindo Castalo-641.43
424424-Quintiliano Sousa de Arronches-19119.74
555464-Filomena Barrios-11544.23
825701-Almerinda Palmeira-4572.48
522086-Filomena Barrios-1320.26
929847-Rodolfo Paz-5095.15
50873-Clara Alcantara-8805.74
97532-Anfnia Seixas-9042.57
166461-Basilio Pedroso-20026.57
891055-Antonio Viegas-13926.19
872737-Melinda Roserio-2406.04
919951-Marilda Leio-13750.29
281780-Henrique Bento-14045.84
623274-Delfina Perdigon-9849.26
695476-Almor Caiado-4659.65
996619-Tibofarcio Camacho-20658.95
335152-Edgar Carvalheiro-14694.62
815774-Estanislau Beserra-4450.76
845035-Telma Villalobos-8212.42
270751-Lurdes Cotrim-17171.33
578913-Anind Zarco-4035.22
29930-Dulce Froes-14634.42
971045-Moaci Mendoa-21207.24
335595-Angilica Galante-2098.64
463976-Emiliana Foquio-7605.59
102379-Lina Andrade-19935.56
772422-Lina Andrade-6154.07
16455-Ximena Castilho-5917.39
34046-Filomena Barrios-14485.84
224988-Ubaldo Mainha-5993.72
34949-Silvio Mata-16389.51
449357-Rebeca Neto-3364.97
408988-Jorgina Bogalho-7514.68
