285942-Filomena Barrios-20460.82
940360-Romo Paranage-17493.05
250550-Tibefarcio Colao-12581.18
851582-Angelica Aranha-10589.60
259200-Adelina Quadros-5080.34
93855-Emedlia Silvera-17511.12
150496-Eurico Siqueira-12565.83
922630-Ermelinda Quintela-11524.39
701862-Moaci Mendoa-12541.40
867648-Fulvio Villegas-21100.31
197656-Estanislau Beserra-8208.34
953098-Nuno Balsemeo-422.90
84732-Augusta Paio-16615.41
589525-Antonio Viegas-19013.93
955383-Romo Paranage-8041.68
85183-Ermelinda Quintela-17042.62
168818-Tibofarcio Camacho-9059.29
399910-Lurdes Cotrim-8433.68
521547-Oliveira Carmona-20120.70
883666-Oliveira Carmona-18324.54
390863-Basilio Pedroso-5301.68
496354-Nuno Balsemeo-16851.21
907025-Delfim Higuera-17382.06
468492-Moaci Mendoa-5523.11
473202-Angelica Aranha-7962.67
28184-Joaquim Rufino-15283.52
211574-Guaraci Damasceno-12800.37
494417-Odilia Bello-18884.37
699678-Antonio Castelo-12854.75
78004-Henrique Bento-18463.59
4130-Fulvio Villegas-932.66
247646-Telma Villalobos-2197.62
297968-Neuza Francia-18276.69
405648-Nuno Balsemeo-18801.38
422266-Jonatas Felgueiras-14361.27
607024-Polibe Olivares-10036.72
53777-Mercia Caeira-1864.00
945724-Branco Saraba-2408.94
721849-Camila Gabeira-1721.10
567660-Sofras Cuaresma-12341.88
899863-Augusta Paio-12421.92
883408-Adelina Quadros-10169.56
20451-Manuel Capiperibe-6007.71
363019-Basilio Pedroso-16551.76
16989-Odilia Camello-17865.98
454097-Camila Gabeira-17992.05
759526-Ermelinda Quintela-12497.76
102093-Odilia Camello-10442.38
398062-Estanislau Beserra-20259.60
168980-Lurdes Cotrim-19120.44
331217-Lurdes Cotrim-3874.60
242933-Antonio Castelo-1298.60
433185-Delfina Perdigon-6768.80
292648-Guida Juca-16192.43
322516-Elisa Themes-13617.76
479641-Filomena Barrios-7007.47
308559-Delfina Perdigon-11645.06
53548-Flor Portella-18856.08
176321-Anind Zarco-4575.23
925612-Edgar Carvalheiro-3132.08
379425-Cleusa Goes-11515.39
509186-Cleusa Goes-9182.99
627949-Oliveira Senchez-19807.32
979-Ximena Castilho-18715.41
582979-Anind Zarco-3233.80
763512-Celeste Duarte-9198.59
665954-Anind Zarco-3696.84
860435-Feledcia Peassego-10067.38
292679-Emedlio Pimentel-9244.31
200887-Augusta Paio-2948.73
669072-Lina Andrade-3522.52
597096-Filomena Barrios-1912.77
901072-Leonidas Mafra-8289.05
568747-Daniel Vieyra-7184.23
995844-Anfnia Seixas-15150.06
715704-Spnia ou Sonia Guerreiro-7102.86
698778-Cleusa Goes-1034.68
671886-Lurdes Cotrim-9443.28
286179-Cassandra Varejo-21296.21
423367-Flor Portella-13903.38
768783-Trajano Fagundes-6385.24
169995-Regina Barcellos-2616.37
869938-Neeamia Arruda-3895.38
818148-Ermelinda Quintela-16991.07
307273-Emedlio Pimentel-15146.19
692535-Guaraci Damasceno-11978.51
453574-Micaela Chavez-14495.50
382598-Nuno Balsemeo-12867.38
565859-Judite Damasceno-4475.41
696032-Danilo Olaio-15369.64
182376-Oliveira Carmona-5732.49
437021-Camila Gabeira-8554.19
969153-Emiliana Foquio-11542.89
406723-Heleedsa Marins-13031.07
783412-Anind Zarco-10259.31
165849-Polibe Olivares-6461.40
350248-Celeste Duarte-10835.93
486213-Jorgina Bogalho-5604.92
466883-Branco Saraba-835.75
584938-Adelina Quadros-5772.71
