726455-Emedlio Pimentel-3978.92
499233-Estanislau Beserra-1147.35
980148-Angelica Aranha-4257.61
152438-Gaudancio Fiees-2880.17
797725-Cassandra Varejo-21154.38
592354-Tibofarcio Camacho-17433.33
234-Ermelinda Quintela-17326.77
66866-Polibe Olivares-7951.65
660165-Almerinda Palmeira-5267.61
704235-Emedlia Silvera-1331.78
193051-Henrique Bento-12569.05
205787-Camila Gabeira-6259.20
583878-Delfim Higuera-4754.17
868185-Rebeca Neto-14205.69
66431-Augusta Paio-11128.83
557603-Augusta Paio-10529.92
355947-Daniel Vieyra-1235.09
389284-Tibefarcio Colao-17925.75
402513-Taercio Mafra-7167.52
263615-Sofras Cuaresma-16134.56
585950-Edgar Carvalheiro-15861.66
316252-Basilio Pedroso-15658.88
781322-Guida Juca-19784.72
490750-Odete Vasques-4538.56
733981-Camila Gabeira-3024.39
931148-Cleusa Goes-20849.97
977715-Melinda Roserio-12378.69
217092-Nuno Balsemeo-4207.75
621936-Gaudancio Fiees-9421.77
787931-Jonatas Felgueiras-15994.41
132216-Camila Gabeira-10295.43
897600-Odete Vasques-17778.59
583316-Almerinda Palmeira-18116.41
202217-Carminda Morais-15566.48
390388-Camila Gabeira-13008.98
461906-Odilia Camello-10123.46
41831-Delfim Higuera-2868.40
130395-Moaci Mendoa-8570.57
310818-Branco Saraba-13706.79
759616-Emedlio Pimentel-2069.83
664672-Letedcia Gago-17941.15
735390-Domingos Pas-9465.29
726613-Oliveira Carmona-4376.29
189516-Odilia Bello-7428.31
24987-Aludsio Sosa-11352.21
299457-Sidfnio Frois-5802.00
570531-Dulce Froes-1307.58
743210-Clarindo Areosa-20578.88
174076-Adelina Quadros-17117.15
298346-Liana Cardim-19564.75
379634-Spnia ou Sonia Guerreiro-1106.56
3891-Neuza Francia-20553.91
3721-Micaela Chavez-7666.34
160448-Rebeca Neto-3703.40
481172-Elisa Themes-13203.65
699876-Trajano Fagundes-17716.65
264060-Ermelinda Quintela-16617.52
184144-Delfina Garcia de Gondim-810.11
160867-Tarrataca Soares-17451.85
332519-Moaci Mendoa-11540.00
487031-Augusta Paio-20543.79
272970-Angilica Galante-11809.00
587938-Armindo Castalo-3114.20
531603-Silvio Mata-12575.80
822534-Zungela Ipiranga-12810.61
334767-Neeamia Arruda-16827.61
562913-Clara Alcantara-13275.42
548802-Sofras Cuaresma-5022.42
422830-Daniel Vieyra-639.19
528519-Augusta Paio-13832.52
141837-Estanislau Beserra-3722.55
894752-Judite Damasceno-9725.28
555360-Ubaldo Mainha-19831.16
366625-Dulce Froes-16941.64
518063-Tibefarcio Colao-8485.03
34662-Domingos Pas-5813.54
732231-Delfina Garcia de Gondim-14729.17
697653-Clara Alcantara-15064.66
674139-Emedlia Silvera-5924.05
352116-Cassandra Varejo-4424.50
546284-Emedlio Pimentel-8655.92
119923-Oliveira Senchez-19724.87
109630-Joaquim Rufino-15235.58
519125-Edgar Carvalheiro-2854.41
25208-Honorina Lira-7759.59
592701-Esperada Cardoso-205.10
437831-Tarrataca Soares-19382.43
341011-Tibofarcio Camacho-17484.57
486385-Danilo Olaio-16796.47
34820-Rodolfo Paz-13295.16
867893-Odilia Bello-18520.62
956281-Neuza Francia-10066.98
572956-Polibe Olivares-21218.08
822208-Anfnia Seixas-12138.43
751993-Angelica Aranha-16878.68
184844-Branco Saraba-5299.77
488234-Antonio Castelo-15704.15
708724-Antonio Castelo-18417.56
911467-Almerinda Palmeira-18462.43
519293-Manuel Capiperibe-16477.94
