118369-Angilica Galante-13476.99
74399-Flamednia Leiria-16479.17
507823-Zungela Ipiranga-184.38
321492-Telma Villalobos-5821.03
294538-Tarrataca Soares-576.53
308695-Emiliana Foquio-16268.62
310103-Fulvio Villegas-13677.31
467479-Daniel Vieyra-3322.81
597048-Flamednia Leiria-7571.03
525674-Regina Barcellos-3576.72
63041-Emedlia Silvera-14987.90
674900-Rebeca Neto-11393.81
264795-Jorgina Bogalho-3774.05
134146-Emedlio Pimentel-14707.27
303136-Andreia Moita-5855.37
928125-Anind Zarco-6328.46
701411-Esperada Cardoso-16021.56
464408-Emedlia Silvera-20526.24
234233-Andreia Moita-15957.37
477628-Adelina Quadros-18182.63
134508-Melinda Roserio-11558.42
6244-Dulce Froes-19505.17
311575-Celeste Duarte-21327.82
55081-Jussara Varanda-534.32
901317-Delfina Garcia de Gondim-7077.35
400422-Urbano Rodrigues-281.80
278282-Carminda Morais-11098.81
887421-Celeste Duarte-17533.46
294008-Clarindo Areosa-3100.96
803514-Zungela Ipiranga-7945.74
984714-Branco Saraba-372.25
472331-Spnia ou Sonia Guerreiro-15332.31
857114-Joaquim Rufino-4880.59
130536-Melinda Roserio-12151.14
163143-Armindo Castalo-15.32
216771-Estanislau Beserra-11999.32
632819-Delfina Garcia de Gondim-21422.10
721390-Danilo Olaio-20486.14
433611-Leonidas Mafra-12514.25
399234-Camila Gabeira-5077.44
660286-Esperada Cardoso-1752.46
247103-Jussara Varanda-17527.18
383642-Guaraci Damasceno-20845.75
301994-Odilia Bello-15482.22
169011-Artur Grillo-16143.85
771476-Quintino Alcantara-7211.18
553867-Polibe Olivares-16487.51
217595-Guida Juca-17044.72
259774-Regina Barcellos-7934.22
881932-Danilo Olaio-5113.38
594402-Esperada Cardoso-5289.98
531692-Emiliana Foquio-20022.45
700047-Flor Portella-4391.45
443746-Filomena Barrios-1199.64
301518-Dulce Froes-10981.33
207384-Urbano Rodrigues-19339.04
529062-Rodolfo Paz-5079.74
93891-Aludsio Sosa-777.08
789291-Filomena Barrios-2489.68
425623-Augusta Paio-13318.50
290049-Oliveira Carmona-19734.44
916339-Tabalipa Duarte-634.92
260473-Flor Portella-14301.92
212269-Guaraci Damasceno-1191.53
385911-Armanda Amorim-16404.54
460895-Judite Damasceno-17006.62
170343-Manuel Capiperibe-14997.07
630724-Camila Gabeira-10323.17
79780-Guida Juca-1996.23
951123-Manuel Capiperibe-2530.48
160338-Quintino Alcantara-17003.38
884065-Spnia ou Sonia Guerreiro-4217.71
369405-Flamednia Leiria-3175.48
2-Heleedsa Marins-13247.60
77849-Clara Alcantara-6966.62
321013-Edgar Carvalheiro-476.40
468267-Jonatas Felgueiras-988.10
106182-Odete Vasques-3514.41
936000-Delfina Perdigon-3625.21
250201-Antonio Viegas-9254.72
930715-Tibefarcio Colao-4041.48
55594-Armindo Castalo-14750.32
672881-Armanda Amorim-18454.02
998976-Delfina Perdigon-19544.02
477625-Lurdes Cotrim-19219.96
926700-Tabalipa Duarte-6988.33
553584-Leonidas Mafra-2188.18
887340-Jorgina Bogalho-9899.24
54563-Delfina Perdigon-9423.77
328192-Delfim Higuera-3251.43
166554-Neuza Francia-4700.74
859698-Clara Alcantara-12031.29
323963-Emiliana Foquio-4403.19
336176-Guaraci Damasceno-17593.18
624957-Manuel Capiperibe-9843.12
576218-Telma Villalobos-19032.38
167206-Ermelinda Quintela-19217.92
568264-Carminda Morais-3921.96
410118-Adelino Barra-4942.50
288899-Emedlio Pimentel-2800.95
