606521-Flamednia Leiria-9677.78
654800-Angelica Aranha-12938.54
488428-Tabalipa Duarte-7515.29
62954-Augusta Paio-15025.32
648517-Urbano Rodrigues-1629.75
339467-Romo Paranage-3724.99
657450-Basilio Pedroso-7829.98
889362-Odilia Bello-1628.90
602946-Jorgina Bogalho-4432.84
50728-Jonatas Felgueiras-13535.48
770058-Elisa Themes-19241.54
672201-Anfnia Seixas-1673.26
139707-Henrique Bento-19308.14
2748-Armanda Amorim-17673.93
818915-Quintiliano Sousa de Arronches-18230.42
110011-Letedcia Gago-20063.81
273193-Camila Gabeira-275.55
10662-Ermelinda Quintela-12194.44
405786-Delfina Garcia de Gondim-3545.64
952539-Delfim Higuera-9686.14
99047-Guaraci Damasceno-15303.84
23880-Mercia Caeira-2305.73
318941-Mercia Caeira-16567.13
142591-Celeste Duarte-6632.32
14655-Flor Portella-13870.51
345533-Emiliana Foquio-21261.61
692142-Oliveira Senchez-16389.50
553313-Dulce Froes-134.77
788150-Elisa Themes-918.83
823830-Marilda Leio-673.52
407357-Aludsio Sosa-13794.51
661604-Fulvio Villegas-7009.91
241371-Gaudancio Fiees-14733.10
667790-Ubaldo Mainha-1529.69
971111-Armanda Amorim-3899.84
348907-Eurico Siqueira-1998.46
624293-Armindo Castalo-21025.38
454721-Heleedsa Marins-4386.08
729552-Nuno Balsemeo-18133.96
84437-Sara Lameiras-2277.36
537400-Flamednia Leiria-13301.43
407556-Spnia ou Sonia Guerreiro-6023.21
850754-Celeste Duarte-3590.79
6700-Honorina Lira-3837.47
910848-Sidfnio Frois-2962.34
382112-Almerinda Palmeira-19195.83
14152-Artur Grillo-8177.24
112865-Eurico Siqueira-13131.78
205266-Mercia Caeira-3304.24
664437-Daniel Vieyra-3715.09
475620-Tibofarcio Camacho-2575.62
254215-Manuel Capiperibe-15189.70
24102-Jussara Varanda-913.37
620576-Estanislau Beserra-19263.44
186227-Sofras Cuaresma-12447.71
252063-Tibofarcio Camacho-15811.53
647265-Filomena Barrios-7666.84
96679-Manuel Capiperibe-4403.13
669971-Silvio Mata-6155.18
638939-Zungela Ipiranga-13841.83
343764-Armanda Amorim-6661.75
224507-Romo Paranage-19884.29
910069-Leonidas Mafra-17569.69
674525-Spnia ou Sonia Guerreiro-14451.06
702016-Augusta Paio-12058.09
963653-Jonatas Felgueiras-14290.61
324696-Guida Juca-1672.24
409438-Leonidas Mafra-16703.21
672600-Emedlia Silvera-20819.91
876438-Adelina Quadros-10681.46
589037-Silvio Mata-10040.07
864150-Esperada Cardoso-10722.31
625684-Fulvio Villegas-18751.41
724395-Regina Barcellos-16243.32
683334-Filomena Barrios-7035.50
413349-Carminda Morais-15565.14
329257-Lurdes Cotrim-18078.39
412506-Emedlia Silvera-1277.64
325016-Regina Barcellos-21244.37
755703-Melinda Roserio-16858.30
369004-Basilio Pedroso-13309.35
673242-Clarindo Areosa-13173.16
922632-Joaquim Rufino-10164.58
657630-Leonidas Mafra-5196.99
498810-Regina Barcellos-17533.82
665105-Anind Zarco-16673.12
408576-Edgar Carvalheiro-18426.41
860138-Taercio Mafra-8985.70
665525-Anfnia Seixas-14228.95
462005-Augusta Paio-18836.50
921221-Leonidas Mafra-15175.36
386937-Jussara Varanda-9907.25
600012-Emedlio Pimentel-1441.64
470517-Branco Saraba-7348.22
672975-Rebeca Neto-20603.21
942108-Ubaldo Mainha-10315.02
241568-Neeamia Arruda-12249.11
379700-Adelina Quadros-6602.87
798646-Urbano Rodrigues-10079.53
654656-Guida Juca-549.31
