755021-Sofras Cuaresma-16074.95
794243-Emiliana Foquio-8261.75
625149-Almor Caiado-12153.53
483527-Odete Vasques-433.83
190222-Micaela Chavez-14771.74
982265-Judite Damasceno-17603.43
585976-Esperada Cardoso-661.91
716224-Celeste Duarte-2512.91
150759-Odilia Bello-18170.86
82654-Flor Portella-10567.26
761733-Adelina Quadros-16084.81
518070-Honorina Lira-15127.92
620856-Flamednia Leiria-3399.33
837859-Flamednia Leiria-8694.17
289482-Anfnia Seixas-5721.23
597847-Estanislau Beserra-856.22
953501-Odete Vasques-6252.08
684092-Artur Grillo-524.40
34665-Liana Cardim-1155.91
48538-Branco Saraba-2956.74
483334-Guida Juca-20704.36
929486-Oliveira Carmona-7884.70
550337-Henrique Bento-14570.91
524480-Judite Damasceno-6214.45
398075-Dulce Froes-8637.34
445985-Danilo Olaio-20363.32
869976-Heleedsa Marins-13738.02
968347-Urbano Rodrigues-19964.86
357662-Almor Caiado-3950.37
349721-Melinda Roserio-17090.86
584090-Antonio Viegas-7610.85
299438-Danilo Olaio-13060.15
839064-Henrique Bento-20225.65
795415-Elisa Themes-19786.06
168369-Henrique Bento-12175.21
180852-Artur Grillo-12164.83
815130-Rebeca Neto-15883.53
173531-Tarrataca Soares-2518.38
455928-Melinda Roserio-17531.95
329431-Delfina Perdigon-14670.61
393047-Regina Barcellos-4501.62
892157-Moaci Mendoa-3109.78
377535-Filomena Barrios-4148.17
470037-Henrique Bento-11016.12
491170-Sofras Cuaresma-10932.97
279472-Angelica Aranha-9619.94
400086-Jussara Varanda-7933.25
839217-Honorina Lira-12124.99
764606-Manuel Capiperibe-1244.71
243622-Fulvio Villegas-19398.01
324803-Carminda Morais-5117.10
491484-Romo Paranage-581.19
673150-Antonio Viegas-13674.96
452844-Andreia Moita-16019.66
355046-Neeamia Arruda-13829.74
777832-Telma Villalobos-15742.53
683538-Feledcia Peassego-20646.53
974845-Clarindo Areosa-20804.92
587396-Esperada Cardoso-14707.73
427910-Dulce Froes-6305.33
329756-Polibe Olivares-12688.58
393375-Quintiliano Sousa de Arronches-19993.50
434557-Artur Grillo-19805.39
808720-Estanislau Beserra-10875.08
794925-Spnia ou Sonia Guerreiro-12988.63
77895-Judite Damasceno-16846.41
871185-Lina Andrade-13138.41
506278-Sara Lameiras-17748.16
640353-Melinda Roserio-11719.20
245691-Neuza Francia-12583.48
168075-Delfina Garcia de Gondim-13536.77
800551-Odete Vasques-19080.71
551628-Branco Saraba-10850.22
315194-Anind Zarco-14468.30
44934-Ximena Castilho-19476.25
781073-Camila Gabeira-15332.20
254027-Quintiliano Sousa de Arronches-11656.07
412939-Elisa Themes-16381.13
580674-Ermelinda Quintela-20157.54
38191-Adelina Quadros-2755.16
29111-Odete Vasques-5046.84
878239-Branco Saraba-10674.84
593411-Celeste Duarte-20220.36
880480-Urbano Rodrigues-4408.68
675940-Ximena Castilho-734.29
334837-Fulvio Villegas-1552.10
151355-Quintino Alcantara-1129.80
325384-Feledcia Peassego-20113.93
831769-Leonidas Mafra-14884.90
257907-Moaci Mendoa-150.45
548059-Heleedsa Marins-3690.74
515631-Emedlia Silvera-16719.52
70348-Heleedsa Marins-16280.62
163121-Leonidas Mafra-704.59
86318-Jorgina Bogalho-2341.35
667567-Celeste Duarte-12704.70
468413-Neeamia Arruda-5691.37
392743-Anind Zarco-15914.63
430485-Odilia Camello-18172.95
738343-Domingos Pas-2710.69
