319609-Tibefarcio Colao-2046.54
441366-Urbano Rodrigues-3685.36
30960-Carminda Morais-9059.70
41411-Antonio Viegas-16842.14
518762-Emedlio Pimentel-19203.64
596975-Henrique Bento-3654.18
869933-Delfina Perdigon-5154.50
940892-Gaudancio Fiees-13544.63
886812-Basilio Pedroso-4477.16
750326-Ubaldo Mainha-15421.98
706296-Filomena Barrios-15835.17
465588-Marilda Leio-19309.59
956784-Odilia Bello-55.06
14555-Anfnia Seixas-13075.48
608017-Nuno Balsemeo-18520.66
261753-Antonio Castelo-6401.80
981804-Cleusa Goes-15560.50
843085-Antonio Castelo-19569.90
609984-Celeste Duarte-12353.94
915000-Telma Villalobos-11616.60
431547-Basilio Pedroso-17003.67
602341-Lina Andrade-9813.48
309505-Micaela Chavez-7048.22
503329-Edgar Carvalheiro-11938.36
911138-Manuel Capiperibe-14814.44
199708-Mercia Caeira-8412.22
906720-Letedcia Gago-6717.20
580396-Estanislau Beserra-19765.64
717607-Elisa Themes-8796.90
87080-Letedcia Gago-1551.21
654370-Quintino Alcantara-11985.53
255438-Spnia ou Sonia Guerreiro-20671.55
815299-Edgar Carvalheiro-9819.81
397616-Sofras Cuaresma-9964.84
43800-Jonatas Felgueiras-16473.96
756262-Regina Barcellos-5601.12
164681-Lina Andrade-2475.35
622638-Quintiliano Sousa de Arronches-12251.15
587377-Dulce Froes-5523.49
462062-Sidfnio Frois-8244.36
997020-Sofras Cuaresma-14360.90
414898-Rebeca Neto-18233.46
697637-Domingos Pas-17696.77
802021-Leonidas Mafra-12805.92
742607-Polibe Olivares-16636.35
643763-Almerinda Palmeira-4759.08
283595-Adelino Barra-5050.73
643907-Guaraci Damasceno-11596.95
567784-Adelino Barra-1017.99
214267-Spnia ou Sonia Guerreiro-7142.61
465652-Tibofarcio Camacho-20112.58
786189-Silvio Mata-13981.89
261868-Edgar Carvalheiro-20038.87
751250-Taercio Mafra-2382.05
208608-Anfnia Seixas-15899.48
94136-Silvio Mata-10981.08
91190-Urbano Rodrigues-17513.92
106491-Trajano Fagundes-20740.36
269491-Cassandra Varejo-18951.20
265092-Lurdes Cotrim-20943.34
213079-Clara Alcantara-6793.16
767822-Rodolfo Paz-9961.02
184761-Delfina Perdigon-8168.80
279193-Zulmira Becerra-11236.32
481440-Delfim Higuera-7653.57
835301-Nuno Balsemeo-13894.51
97039-Letedcia Gago-14085.42
431335-Almerinda Palmeira-10701.65
977181-Sidfnio Frois-15994.34
321953-Emiliana Foquio-14012.16
927714-Emedlia Silvera-12999.45
307836-Quintino Alcantara-5842.29
393569-Tabalipa Duarte-10774.14
366198-Adelino Barra-2542.10
60448-Celeste Duarte-15426.91
702575-Domingos Pas-1640.43
969046-Delfina Perdigon-8891.40
143455-Carminda Morais-20755.71
869709-Jorgina Bogalho-5880.65
231946-Quintino Alcantara-8233.87
928080-Spnia ou Sonia Guerreiro-13483.14
456467-Camila Gabeira-20266.22
603297-Manuel Capiperibe-21090.16
630438-Zungela Ipiranga-14518.98
289139-Delfina Perdigon-2934.75
820712-Liana Cardim-2236.94
802942-Delfina Perdigon-1931.79
843371-Silvio Mata-19533.23
564843-Cleusa Goes-11357.09
720496-Mercia Caeira-17829.41
608126-Odilia Bello-16943.85
440813-Micaela Chavez-15493.58
19083-Delfim Higuera-1964.78
11345-Estanislau Beserra-6001.08
729497-Zungela Ipiranga-17363.97
138626-Spnia ou Sonia Guerreiro-757.34
590385-Odilia Camello-13025.37
698166-Moaci Mendoa-3828.97
376952-Celeste Duarte-5344.62
636628-Celeste Duarte-12091.82
