603448-Artur Grillo-6065.57
31788-Zulmira Becerra-4383.66
209862-Zulmira Becerra-12437.92
543841-Judite Damasceno-16593.01
363747-Elisa Themes-842.84
175775-Antonio Viegas-969.57
415889-Guaraci Damasceno-5232.28
279230-Gaudancio Fiees-6564.72
475516-Jorgina Bogalho-17348.18
143967-Guida Juca-3547.70
647170-Basilio Pedroso-10323.73
189584-Cleusa Goes-6879.21
924534-Celeste Duarte-9471.31
208132-Oliveira Senchez-19276.75
571338-Silvio Mata-20840.39
360171-Tarrataca Soares-5937.31
967882-Oliveira Senchez-18391.47
133281-Liana Cardim-18099.43
749227-Flamednia Leiria-3239.34
335680-Clarindo Areosa-7000.78
445380-Honorina Lira-18247.26
112496-Odete Vasques-9654.31
145821-Almerinda Palmeira-20863.56
487194-Danilo Olaio-10620.80
645621-Zulmira Becerra-12276.52
87960-Flor Portella-1215.28
970549-Edgar Carvalheiro-18694.96
597176-Almerinda Palmeira-20946.29
211687-Tarrataca Soares-16368.95
643731-Flamednia Leiria-13017.47
845654-Carminda Morais-5237.09
937257-Dulce Froes-20568.21
950328-Quintiliano Sousa de Arronches-20444.83
94731-Jussara Varanda-17304.87
947009-Cleusa Goes-6266.49
838207-Micaela Chavez-9647.37
976804-Estanislau Beserra-6942.24
262336-Ubaldo Mainha-3383.37
6739-Quintiliano Sousa de Arronches-5535.49
201880-Flor Portella-9271.93
475375-Tibofarcio Camacho-18140.38
474394-Silvio Mata-20989.76
421225-Jussara Varanda-3224.42
240402-Nuno Balsemeo-17265.37
656409-Angelica Aranha-17964.84
724234-Jussara Varanda-4688.39
320399-Joaquim Rufino-4848.16
929138-Quintino Alcantara-15360.78
683733-Tibofarcio Camacho-11376.01
849763-Spnia ou Sonia Guerreiro-17608.03
279259-Ermelinda Quintela-19582.78
901250-Flor Portella-14072.69
377288-Rebeca Neto-10732.07
336843-Zulmira Becerra-8949.63
816165-Oliveira Carmona-19346.20
428172-Lurdes Cotrim-11248.60
809879-Adelino Barra-7346.97
899131-Delfina Perdigon-4861.43
842161-Urbano Rodrigues-3263.43
817952-Ubaldo Mainha-18921.92
19291-Neeamia Arruda-429.88
259128-Ermelinda Quintela-17448.89
991072-Emiliana Foquio-4647.83
165452-Elisa Themes-3946.36
393350-Trajano Fagundes-11174.52
621776-Eurico Siqueira-11123.97
688937-Sofras Cuaresma-13442.07
87990-Celeste Duarte-3596.22
564919-Ubaldo Mainha-6444.64
642815-Rebeca Neto-6047.99
556262-Oliveira Senchez-11678.18
747931-Odilia Bello-20000.77
724920-Leonidas Mafra-9055.84
908454-Tibefarcio Colao-3542.66
571639-Estanislau Beserra-20726.60
370885-Manuel Capiperibe-14147.98
30425-Armanda Amorim-9970.03
903362-Fulvio Villegas-13040.91
918836-Tibefarcio Colao-17246.56
276931-Tibefarcio Colao-12488.15
343762-Emedlia Silvera-16373.71
398589-Angelica Aranha-5536.36
859014-Henrique Bento-15523.61
102324-Zulmira Becerra-14117.85
981716-Guida Juca-10268.73
313355-Danilo Olaio-1847.61
74469-Filomena Barrios-103.07
525881-Adelina Quadros-12382.11
115779-Quintiliano Sousa de Arronches-596.46
686323-Nuno Balsemeo-10959.23
539115-Quintino Alcantara-19442.67
726150-Branco Saraba-5001.82
506557-Delfina Garcia de Gondim-6560.41
387759-Gaudancio Fiees-7291.43
18858-Aludsio Sosa-11141.25
342258-Zulmira Becerra-7809.54
463385-Nuno Balsemeo-8420.29
103879-Jonatas Felgueiras-4940.71
835379-Quintino Alcantara-967.03
739156-Dulce Froes-2943.89
