939785-Odete Vasques-2183.25
720806-Ubaldo Mainha-14591.07
881483-Mercia Caeira-5858.55
88329-Jonatas Felgueiras-12011.84
299973-Ermelinda Quintela-20153.70
118258-Quintino Alcantara-9836.44
158057-Neeamia Arruda-2874.95
878045-Sofras Cuaresma-20970.80
362175-Elisa Themes-11178.79
145369-Judite Damasceno-18724.47
2175-Aludsio Sosa-19573.86
132098-Jussara Varanda-1466.24
747894-Armanda Amorim-20405.05
130861-Flamednia Leiria-5601.10
369169-Cleusa Goes-18834.10
705906-Eurico Siqueira-21155.28
207384-Delfina Perdigon-602.02
819605-Angelica Aranha-11980.80
793242-Tarrataca Soares-19084.43
845375-Leonidas Mafra-13561.04
34730-Armindo Castalo-11266.23
548634-Oliveira Carmona-12257.55
685941-Nuno Balsemeo-6470.19
194505-Ubaldo Mainha-1556.66
370549-Fulvio Villegas-3200.36
949625-Judite Damasceno-15727.42
172765-Cassandra Varejo-9314.65
890994-Sara Lameiras-18662.85
722153-Clara Alcantara-5855.94
916242-Delfina Perdigon-17854.40
589652-Basilio Pedroso-11179.91
165817-Heleedsa Marins-9490.56
849191-Regina Barcellos-5902.58
70313-Odilia Bello-6274.53
401160-Elisa Themes-1143.40
141706-Joaquim Rufino-10662.89
442912-Jussara Varanda-1719.78
946484-Augusta Paio-20138.69
530467-Branco Saraba-991.08
73389-Gaudancio Fiees-19880.24
236971-Leonidas Mafra-9631.30
23387-Almor Caiado-11292.96
81088-Filomena Barrios-4856.61
157968-Esperada Cardoso-10727.32
417592-Sara Lameiras-13031.33
196425-Jorgina Bogalho-9127.91
233077-Eurico Siqueira-20172.34
251284-Oliveira Carmona-3816.97
554299-Lurdes Cotrim-14992.27
968068-Filomena Barrios-8358.17
337966-Delfina Garcia de Gondim-18950.54
698724-Rebeca Neto-15085.94
115328-Odilia Camello-9021.91
306422-Elisa Themes-7228.65
950160-Almerinda Palmeira-11262.83
933443-Regina Barcellos-2849.96
722248-Odete Vasques-19192.29
489340-Fulvio Villegas-5179.96
125715-Estanislau Beserra-950.67
386228-Clarindo Areosa-12360.35
187123-Delfina Perdigon-14313.73
118051-Oliveira Senchez-17990.72
344830-Anind Zarco-11407.04
749355-Manuel Capiperibe-465.26
885589-Liana Cardim-12914.76
671043-Romo Paranage-6949.26
763775-Elisa Themes-14706.48
90346-Neeamia Arruda-16431.38
113592-Jussara Varanda-10787.80
396683-Manuel Capiperibe-20241.66
980306-Sara Lameiras-248.70
650488-Regina Barcellos-3389.88
914263-Leonidas Mafra-19483.33
369071-Letedcia Gago-10435.98
205585-Branco Saraba-8450.00
841397-Clarindo Areosa-5081.88
956579-Danilo Olaio-9459.51
333264-Celeste Duarte-20280.42
190033-Sara Lameiras-19886.72
630241-Odilia Camello-1795.85
621955-Spnia ou Sonia Guerreiro-17315.65
470438-Honorina Lira-20972.15
423470-Zulmira Becerra-6376.46
596380-Adelina Quadros-4025.31
779238-Ubaldo Mainha-21147.37
954907-Elisa Themes-4580.95
56830-Gaudancio Fiees-125.68
323608-Leonidas Mafra-5499.01
244581-Artur Grillo-4406.07
945464-Judite Damasceno-19272.38
845190-Joaquim Rufino-19508.60
98177-Esperada Cardoso-19428.46
338828-Spnia ou Sonia Guerreiro-15547.86
428326-Antonio Castelo-19273.83
632378-Celeste Duarte-9596.78
836573-Delfina Garcia de Gondim-20906.33
744658-Moaci Mendoa-17202.06
87705-Neeamia Arruda-13190.46
505115-Letedcia Gago-3828.07
110482-Esperada Cardoso-21377.53
