270193-Letedcia Gago-9366.78
852699-Neeamia Arruda-16697.20
419849-Sara Lameiras-13127.98
792520-Dulce Froes-12636.08
737330-Carminda Morais-4386.54
701754-Trajano Fagundes-15039.06
559596-Flor Portella-8360.99
535008-Regina Barcellos-19636.47
503885-Adelino Barra-13273.47
911121-Sidfnio Frois-10584.84
830732-Esperada Cardoso-17297.54
166089-Adelina Quadros-5431.24
951658-Quintino Alcantara-18575.43
414893-Taercio Mafra-5428.52
805177-Adelino Barra-3691.06
984648-Camila Gabeira-17498.08
345941-Aludsio Sosa-15178.84
122937-Estanislau Beserra-13349.35
535518-Antonio Castelo-7879.55
382571-Guaraci Damasceno-21208.66
625307-Quintiliano Sousa de Arronches-562.13
546245-Angilica Galante-15893.80
703597-Ermelinda Quintela-12548.47
175728-Tabalipa Duarte-8547.79
256122-Celeste Duarte-14595.84
990023-Lina Andrade-16805.69
146442-Guida Juca-7444.31
918498-Flamednia Leiria-8065.54
337438-Delfina Garcia de Gondim-1546.06
620101-Emedlia Silvera-15599.88
903400-Oliveira Carmona-2821.30
941178-Judite Damasceno-15526.76
102485-Trajano Fagundes-5988.96
839874-Domingos Pas-8810.72
913162-Tibofarcio Camacho-15153.28
608735-Jorgina Bogalho-7928.34
628348-Letedcia Gago-2174.97
531596-Henrique Bento-6254.16
886191-Lurdes Cotrim-18327.53
712372-Ubaldo Mainha-8718.90
404907-Emedlio Pimentel-9487.93
310881-Clara Alcantara-16457.34
112735-Antonio Viegas-13583.53
278481-Oliveira Carmona-19441.93
223011-Armindo Castalo-17986.22
267854-Oliveira Senchez-12907.47
881308-Dulce Froes-228.92
442017-Ermelinda Quintela-16604.24
72919-Domingos Pas-10958.26
793180-Delfim Higuera-12645.39
18075-Odilia Camello-21399.44
372911-Heleedsa Marins-16307.71
920285-Manuel Capiperibe-13264.00
363796-Henrique Bento-3341.95
395522-Adelina Quadros-16564.18
755235-Tarrataca Soares-3102.02
465662-Delfim Higuera-1236.00
673245-Armanda Amorim-18410.42
296483-Tarrataca Soares-19741.15
189165-Telma Villalobos-6774.24
971392-Zulmira Becerra-16584.42
62918-Estanislau Beserra-9043.31
888567-Basilio Pedroso-21152.52
583530-Daniel Vieyra-15951.32
504032-Zulmira Becerra-2250.44
530532-Daniel Vieyra-16677.99
337173-Armanda Amorim-2737.81
519600-Neuza Francia-5554.54
158465-Flamednia Leiria-9907.51
623606-Zulmira Becerra-12649.40
627397-Regina Barcellos-1024.28
91095-Daniel Vieyra-5994.90
358287-Jussara Varanda-1068.95
509003-Romo Paranage-21304.79
370780-Emedlia Silvera-244.99
166630-Odete Vasques-20300.30
164407-Clara Alcantara-8478.83
761771-Odete Vasques-7959.19
400739-Henrique Bento-13870.78
186934-Guaraci Damasceno-15697.01
397184-Emedlio Pimentel-4608.45
565916-Flamednia Leiria-2004.53
66041-Neeamia Arruda-2718.11
334197-Quintino Alcantara-20013.20
250531-Camila Gabeira-14282.07
210566-Flamednia Leiria-2088.90
485889-Feledcia Peassego-8010.54
542164-Flamednia Leiria-11808.16
52635-Liana Cardim-10417.33
830137-Elisa Themes-2104.37
547484-Aludsio Sosa-15118.34
692420-Oliveira Carmona-1619.16
844215-Regina Barcellos-13599.82
375085-Eurico Siqueira-7788.33
417615-Rodolfo Paz-136.00
959485-Andreia Moita-14368.10
531228-Tabalipa Duarte-2738.12
502721-Telma Villalobos-10933.54
393565-Emedlio Pimentel-1559.23
878576-Branco Saraba-5997.54
